steering_angle,speed
0.0,0.05
0.0,0.1
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0,0.2504
0.0012,0.3073
0.0062,0.5541
0.0165,0.7506
0.0316,0.8884
0.0502,0.9849
0.0709,1.0576
0.0926,1.132
0.1145,1.1932
0.1364,1.2452
0.158,0.9952
0.1794,0.7452
0.2005,0.4952
0.2215,0.2452
0.05,0.25
0.1,0.25
0.15,0.25
0.2,0.25
0.25,0.25
0.3,0.25
0.35,0.2515
0.3979,0.2501
0.3991,0.2824
0.4041,0.3632
0.4144,0.4566
0.4295,0.536
0.4481,0.6054
0.4688,0.6559
0.4905,0.6974
0.5125,0.7372
0.5343,0.7769
0.556,0.8108
0.5773,0.8441
0.5984,0.8617
0.6194,0.886
0.6404,0.9048
0.6606,0.9244
0.6781,0.9425
0.6909,0.9791
0.6987,1.0143
0.7025,1.0676
0.7021,1.1217
0.6964,1.1805
0.6848,1.2306
0.6685,1.2828
0.649,1.3226
0.6277,1.364
0.6057,1.3977
0.5837,1.4317
0.5618,1.4629
0.5402,1.496
0.519,1.5181
0.4979,1.5481
0.4769,1.5683
0.456,1.5962
0.4351,1.6152
0.4142,1.6405
0.3933,1.6568
0.3724,1.6774
0.3515,1.6925
0.3305,1.7191
0.3096,1.7386
0.2887,1.778
0.2677,1.8152
0.2468,1.8566
0.2258,1.8796
0.2049,1.9193
0.1839,1.9466
0.163,1.973
0.142,1.992
0.1211,2.0134
0.1001,2.0363
0.0792,2.0729
0.0583,2.0928
0.0373,2.1089
0.0164,2.1221
-0.0046,2.136
-0.0255,2.1499
-0.0465,2.1632
-0.0674,2.1755
-0.0883,2.1864
-0.1093,2.2018
-0.1302,2.2183
-0.1512,2.2385
-0.1721,2.2579
-0.1931,2.2799
-0.214,2.3001
-0.235,2.317
-0.2559,2.3324
-0.2768,2.3481
-0.2978,2.3613
-0.3187,2.3745
-0.3397,2.3859
-0.3606,2.3998
-0.3816,2.4092
-0.4025,2.4211
-0.4235,2.4307
-0.4444,2.4431
-0.4653,2.4502
-0.4863,2.4608
-0.5072,2.4683
-0.5282,2.4782
-0.5491,2.4851
-0.5701,2.4968
-0.591,2.5069
-0.6119,2.5218
-0.6329,2.5346
-0.6536,2.5485
-0.6724,2.5612
-0.6872,2.5742
-0.6967,2.5836
-0.7017,2.5953
-0.7036,2.6039
-0.7036,2.6154
-0.7028,2.6211
-0.7018,2.6309
-0.701,2.6371
-0.7004,2.647
-0.7,2.6514
-0.6998,2.6597
-0.6998,2.6643
-0.6998,2.6727
-0.6999,2.6765
-0.6999,2.6823
-0.7,2.6874
-0.7,2.6946
-0.7,2.7025
-0.7,2.7098
-0.7,2.7165
-0.7,2.7236
-0.6988,2.7288
-0.6938,2.7346
-0.6835,2.7386
-0.6684,2.7436
-0.6498,2.7464
-0.6291,2.7505
-0.6074,2.7529
-0.5855,2.7566
-0.5855,2.7566
-0.542,2.7612
-0.5206,2.763
-0.4995,2.7651
-0.4785,2.7664
-0.4576,2.7681
-0.4367,2.7692
-0.4158,2.7705
-0.3949,2.7715
-0.374,2.7724
-0.353,2.7736
-0.3321,2.7746
-0.3112,2.7755
-0.2902,2.7761
-0.2693,2.7765
-0.2483,2.7769
-0.2274,2.7772
-0.2064,2.7774
-0.1855,2.7774
-0.1651,2.7776
-0.1472,2.7777
-0.1332,2.7777
-0.1226,2.7777
-0.114,2.7777
-0.1067,2.7778
-0.1002,2.7778
-0.0935,2.7778
-0.0858,2.7778
-0.0772,2.7778
-0.0684,2.7778
-0.0593,2.7778
-0.0494,2.7778
-0.0385,2.7778
-0.0266,2.7778
-0.0144,2.7778
-0.0026,2.7778
0.0084,2.7778
0.0181,2.7778
0.0262,2.7778
0.0327,2.7778
0.0373,2.7778
0.0401,2.7778
0.042,2.7778
0.0437,2.7778
0.0455,2.7778
0.0473,2.7778
0.0493,2.7778
0.0515,2.7778
0.0538,2.7778
0.0562,2.7778
0.0587,2.7778
0.0612,2.7778
0.0639,2.7778
0.0656,2.7778
0.0651,2.7778
0.0634,2.7778
0.0622,2.7778
0.0621,2.7778
0.0633,2.7778
0.0653,2.7778
0.0677,2.7778
0.0699,2.7778
0.0717,2.7778
0.0729,2.7778
0.0734,2.7778
0.0734,2.7778
0.0731,2.7778
0.0726,2.7778
0.072,2.7778
0.0715,2.7778
0.0711,2.7778
0.0707,2.7778
0.0702,2.7778
0.0698,2.7778
0.0694,2.7778
0.0688,2.7778
0.0681,2.7778
0.0671,2.7778
0.0658,2.7778
0.0644,2.7778
0.063,2.7778
0.0617,2.7778
0.0607,2.7778
0.0596,2.7778
0.0586,2.7778
0.0577,2.7778
0.0569,2.7778
0.0561,2.7778
0.0553,2.7778
0.0544,2.7778
0.0535,2.7778
0.0525,2.7778
0.0514,2.7778
0.0502,2.7778
0.0489,2.7778
0.0473,2.7778
0.0454,2.7778
0.0433,2.7778
0.0411,2.7778
0.0389,2.7778
0.037,2.7778
0.0355,2.7778
0.0344,2.7778
0.0334,2.7778
0.0324,2.7778
0.0316,2.7778
0.0307,2.7778
0.0298,2.7778
0.0287,2.7778
0.0277,2.7778
0.0268,2.7778
0.0258,2.7778
0.0246,2.7778
0.0235,2.7778
0.0225,2.7778
0.0216,2.7778
0.0205,2.7778
0.0193,2.7778
0.018,2.7778
0.0166,2.7778
0.0153,2.7778
0.0142,2.7778
0.0132,2.7778
0.0123,2.7778
0.0115,2.7778
0.0107,2.7778
0.01,2.7778
0.0093,2.7778
0.0085,2.7778
0.0079,2.7778
0.0072,2.7778
0.0065,2.7778
0.0058,2.7778
0.0053,2.7778
0.0049,2.7778
0.0046,2.7778
0.0042,2.7778
0.0039,2.7778
0.0035,2.7778
0.003,2.7778
0.0024,2.7778
0.0019,2.7778
0.0015,2.7778
0.0009,2.7778
0.0004,2.7778
-0.0002,2.7778
-0.0007,2.7778
-0.0012,2.7778
-0.0018,2.7778
-0.0024,2.7778
-0.0029,2.7778
-0.0034,2.7778
-0.0038,2.7778
-0.0041,2.7778
-0.0043,2.7778
-0.0045,2.7778
-0.0046,2.7778
-0.0046,2.7778
-0.0045,2.7778
-0.0044,2.7778
-0.0042,2.7778
-0.004,2.7778
-0.0038,2.7778
-0.0037,2.7778
-0.0036,2.7778
-0.0037,2.7778
-0.0039,2.7778
-0.0041,2.7778
-0.0044,2.7778
-0.0047,2.7778
-0.005,2.7778
-0.0054,2.7778
-0.0057,2.7778
-0.006,2.7778
-0.0063,2.7778
-0.0065,2.7778
-0.0068,2.7778
-0.0071,2.7778
-0.0073,2.7778
-0.0074,2.7778
-0.0073,2.7778
-0.0071,2.7778
-0.0066,2.7778
-0.0061,2.7778
-0.0057,2.7778
-0.0055,2.7778
-0.0053,2.7778
-0.0054,2.7778
-0.0057,2.7778
-0.0061,2.7778
-0.0065,2.7778
-0.007,2.7778
-0.0074,2.7778
-0.0079,2.7778
-0.0082,2.7778
-0.0086,2.7778
-0.009,2.7778
-0.0094,2.7778
-0.0098,2.7778
-0.0104,2.7778
-0.011,2.7778
-0.0116,2.7778
-0.0122,2.7778
-0.0129,2.7778
-0.0138,2.7778
-0.0146,2.7778
-0.0154,2.7778
-0.0167,2.7778
-0.0185,2.7778
-0.0208,2.7778
-0.0234,2.7778
-0.0262,2.7778
-0.0291,2.7778
-0.0317,2.7778
-0.0342,2.7778
-0.0365,2.7778
-0.0389,2.7778
-0.0412,2.7778
-0.0437,2.7778
-0.0464,2.7778
-0.0493,2.7778
-0.0521,2.7778
-0.0549,2.7778
-0.0579,2.7778
-0.0609,2.7778
-0.0639,2.7778
-0.0669,2.7778
-0.0698,2.7778
-0.0727,2.7778
-0.0762,2.7778
-0.0807,2.7778
-0.0866,2.7778
-0.094,2.7778
-0.1024,2.7778
-0.1112,2.7778
-0.1197,2.7778
-0.1277,2.7778
-0.1347,2.7778
-0.1407,2.7778
-0.1464,2.7778
-0.1522,2.7778
-0.1578,2.7778
-0.1632,2.7778
-0.1686,2.7778
-0.1744,2.7778
-0.1811,2.7778
-0.1883,2.7778
-0.1954,2.7778
-0.2021,2.7778
-0.2088,2.7778
-0.2158,2.7778
-0.2235,2.7778
-0.2324,2.7778
-0.243,2.7778
-0.2544,2.7778
-0.2653,2.7778
-0.2754,2.7778
-0.2843,2.7778
-0.2921,2.7778
-0.2989,2.7778
-0.3045,2.7778
-0.3094,2.7778
-0.3139,2.7778
-0.3183,2.7778
-0.3227,2.7778
-0.3272,2.7778
-0.3316,2.7778
-0.3355,2.7778
-0.3391,2.7778
-0.3427,2.7778
-0.3456,2.7778
-0.3475,2.7778
-0.3487,2.7778
-0.3501,2.7778
-0.3526,2.7778
-0.3563,2.7778
-0.3604,2.7778
-0.3642,2.7778
-0.3671,2.7778
-0.369,2.7778
-0.37,2.7778
-0.3702,2.7778
-0.3695,2.7778
-0.3675,2.7778
-0.3644,2.7778
-0.3606,2.7778
-0.357,2.7778
-0.354,2.7778
-0.3519,2.7778
-0.3505,2.7778
-0.3488,2.7778
-0.3461,2.7778
-0.3418,2.7778
-0.3357,2.7778
-0.3288,2.7778
-0.3223,2.7778
-0.3171,2.7778
-0.3136,2.7778
-0.3113,2.7777
-0.3092,2.7776
-0.3073,2.7774
-0.3059,2.7772
-0.3046,2.7767
-0.3026,2.7763
-0.2995,2.7755
-0.2957,2.775
-0.2918,2.7737
-0.288,2.7728
-0.2843,2.7716
-0.2808,2.77
-0.2765,2.7675
-0.2706,2.765
-0.263,2.7611
-0.263,2.7611
-0.2459,2.7529
-0.2368,2.749
-0.2277,2.7439
-0.2195,2.7393
-0.2134,2.7338
-0.2093,2.7295
-0.207,2.7227
-0.2055,2.7173
-0.2036,2.7101
-0.2005,2.7036
-0.1959,2.6967
-0.1905,2.6904
-0.1849,2.6821
-0.1793,2.6745
-0.1741,2.6674
-0.1696,2.6595
-0.1651,2.6505
-0.1604,2.6421
-0.1551,2.6313
-0.1489,2.6195
-0.1419,2.604
-0.1344,2.588
-0.1266,2.5702
-0.119,2.5541
-0.1122,2.5368
-0.1063,2.5212
-0.1016,2.5042
-0.0981,2.4885
-0.0955,2.4711
-0.0931,2.455
-0.0907,2.4374
-0.088,2.4211
-0.085,2.4029
-0.0816,2.3862
-0.0779,2.3689
-0.0743,2.3511
-0.0706,2.3323
-0.0668,2.3134
-0.0627,2.2964
-0.0581,2.2792
-0.0533,2.26
-0.0491,2.2425
-0.0457,2.2235
-0.0432,2.2059
-0.0415,2.1864
-0.0402,2.1698
-0.039,2.1502
-0.0376,2.1284
-0.0354,2.1004
-0.0322,2.0773
-0.028,2.0327
-0.0227,1.996
-0.0169,1.9596
-0.011,1.9272
-0.0056,1.8945
-0.0011,1.8605
0.0022,1.8264
0.0044,1.7935
0.0057,1.7592
0.0068,1.7258
0.0079,1.6909
0.0091,1.657
0.0105,1.6217
0.0119,1.5873
0.0137,1.5511
0.0157,1.5161
0.0178,1.4791
0.0198,1.4431
0.0219,1.4053
0.024,1.3687
0.0263,1.3306
0.0287,1.2934
0.031,1.2548
0.033,1.2173
0.0347,1.1779
0.0358,1.1393
0.0367,1.0978
0.0373,1.0536
0.0377,1.0141
0.0379,0.9717
0.038,0.9275
0.0383,0.8798
0.0387,0.8388
0.0391,0.7938
0.0391,0.7485
0.039,0.6986
0.0392,0.6545
0.0397,0.6056
0.0402,0.5487
0.0409,0.4913
0.0417,0.433
0.0424,0.183
0.0302,0.05
0.0302,0.1
0.0302,0.25
0.0302,0.25
0.0302,0.2501
0.0302,0.25
0.0302,0.2513
0.029,0.2722
0.024,0.307
0.0137,0.403
-0.0014,0.4941
-0.02,0.5727
-0.0407,0.6379
-0.0843,0.7408
-0.1062,0.7851
-0.1271,0.8274
-0.1446,0.8662
-0.1564,0.8889
-0.1621,0.9252
-0.1622,0.9575
-0.1579,0.9876
-0.1509,1.0167
-0.1434,1.0462
-0.1366,1.0726
-0.1307,1.0986
-0.1261,1.1209
-0.1229,1.144
-0.1204,1.1799
-0.1173,1.2173
-0.1123,1.2709
