steering_angle,speed
0.0,0.05
0.0,0.1
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.31
0.01,0.55
0.02,0.75
0.03,0.89
0.05,0.98
0.07,1.06
0.09,1.13
0.11,1.19
0.14,1.25
0.16,1.0
0.18,0.75
0.2,0.5
0.22,0.25
0.05,0.25
0.1,0.25
0.15,0.25
0.2,0.25
0.25,0.25
0.3,0.25
0.35,0.25
0.4,0.25
0.4,0.28
0.4,0.36
0.41,0.46
0.43,0.54
0.45,0.61
0.47,0.66
0.49,0.7
0.51,0.74
0.53,0.78
0.56,0.81
0.58,0.84
0.6,0.86
0.62,0.89
0.64,0.9
0.66,0.92
0.68,0.94
0.69,0.98
0.7,1.01
0.7,1.07
0.7,1.12
0.7,1.18
0.68,1.23
0.67,1.28
0.65,1.32
0.63,1.36
0.61,1.4
0.58,1.43
0.56,1.46
0.54,1.5
0.52,1.52
0.5,1.55
0.48,1.57
0.46,1.6
0.44,1.62
0.41,1.64
0.39,1.66
0.37,1.68
0.35,1.69
0.33,1.72
0.31,1.74
0.29,1.78
0.27,1.82
0.25,1.86
0.23,1.88
0.2,1.92
0.18,1.95
0.16,1.97
0.14,1.99
0.12,2.01
0.1,2.04
0.08,2.07
0.06,2.09
0.04,2.11
0.02,2.12
-0.0,2.14
-0.03,2.15
-0.05,2.16
-0.07,2.18
-0.09,2.19
-0.11,2.2
-0.13,2.22
-0.15,2.24
-0.17,2.26
-0.19,2.28
-0.21,2.3
-0.24,2.32
-0.26,2.33
-0.28,2.35
-0.3,2.36
-0.32,2.37
-0.34,2.39
-0.36,2.4
-0.38,2.41
-0.4,2.42
-0.42,2.43
-0.44,2.44
-0.47,2.45
-0.49,2.46
-0.51,2.47
-0.53,2.48
-0.55,2.49
-0.57,2.5
-0.59,2.51
-0.61,2.52
-0.63,2.53
-0.65,2.55
-0.67,2.56
-0.69,2.57
-0.7,2.58
-0.7,2.6
-0.7,2.6
-0.7,2.62
-0.7,2.62
-0.7,2.63
-0.7,2.64
-0.7,2.65
-0.7,2.65
-0.7,2.66
-0.7,2.66
-0.7,2.67
-0.7,2.68
-0.7,2.68
-0.7,2.69
-0.7,2.69
-0.7,2.7
-0.7,2.71
-0.7,2.72
-0.7,2.72
-0.7,2.73
-0.69,2.73
-0.68,2.74
-0.67,2.74
-0.65,2.75
-0.63,2.75
-0.61,2.75
-0.59,2.76
-0.59,2.76
-0.54,2.76
-0.52,2.76
-0.5,2.77
-0.48,2.77
-0.46,2.77
-0.44,2.77
-0.42,2.77
-0.39,2.77
-0.37,2.77
-0.35,2.77
-0.33,2.77
-0.31,2.78
-0.29,2.78
-0.27,2.78
-0.25,2.78
-0.23,2.78
-0.21,2.78
-0.19,2.78
-0.17,2.78
-0.15,2.78
-0.13,2.78
-0.12,2.78
-0.11,2.78
-0.11,2.78
-0.1,2.78
-0.09,2.78
-0.09,2.78
-0.08,2.78
-0.07,2.78
-0.06,2.78
-0.05,2.78
-0.04,2.78
-0.03,2.78
-0.01,2.78
-0.0,2.78
0.01,2.78
0.02,2.78
0.03,2.78
0.03,2.78
0.04,2.78
0.04,2.78
0.04,2.78
0.04,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.07,2.78
0.07,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.07,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.06,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.05,2.78
0.04,2.78
0.04,2.78
0.04,2.78
0.04,2.78
0.04,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.03,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.02,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.01,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.01,2.78
-0.02,2.78
-0.02,2.78
-0.02,2.78
-0.02,2.78
-0.02,2.78
-0.03,2.78
-0.03,2.78
-0.03,2.78
-0.03,2.78
-0.04,2.78
-0.04,2.78
-0.04,2.78
-0.04,2.78
-0.05,2.78
-0.05,2.78
-0.05,2.78
-0.05,2.78
-0.06,2.78
-0.06,2.78
-0.06,2.78
-0.07,2.78
-0.07,2.78
-0.07,2.78
-0.08,2.78
-0.08,2.78
-0.09,2.78
-0.09,2.78
-0.1,2.78
-0.11,2.78
-0.12,2.78
-0.13,2.78
-0.13,2.78
-0.14,2.78
-0.15,2.78
-0.15,2.78
-0.16,2.78
-0.16,2.78
-0.17,2.78
-0.17,2.78
-0.18,2.78
-0.19,2.78
-0.2,2.78
-0.2,2.78
-0.21,2.78
-0.22,2.78
-0.22,2.78
-0.23,2.78
-0.24,2.78
-0.25,2.78
-0.27,2.78
-0.28,2.78
-0.28,2.78
-0.29,2.78
-0.3,2.78
-0.3,2.78
-0.31,2.78
-0.31,2.78
-0.32,2.78
-0.32,2.78
-0.33,2.78
-0.33,2.78
-0.34,2.78
-0.34,2.78
-0.34,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.36,2.78
-0.36,2.78
-0.36,2.78
-0.37,2.78
-0.37,2.78
-0.37,2.78
-0.37,2.78
-0.37,2.78
-0.37,2.78
-0.36,2.78
-0.36,2.78
-0.36,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.35,2.78
-0.34,2.78
-0.34,2.78
-0.33,2.78
-0.32,2.78
-0.32,2.78
-0.31,2.78
-0.31,2.78
-0.31,2.78
-0.31,2.78
-0.31,2.78
-0.3,2.78
-0.3,2.78
-0.3,2.78
-0.3,2.78
-0.29,2.77
-0.29,2.77
-0.28,2.77
-0.28,2.77
-0.28,2.77
-0.27,2.76
-0.26,2.76
-0.26,2.76
-0.25,2.75
-0.24,2.75
-0.23,2.74
-0.22,2.74
-0.21,2.73
-0.21,2.73
-0.21,2.72
-0.21,2.72
-0.2,2.71
-0.2,2.7
-0.2,2.7
-0.19,2.69
-0.18,2.68
-0.18,2.67
-0.17,2.67
-0.17,2.66
-0.17,2.65
-0.16,2.64
-0.16,2.63
-0.15,2.62
-0.14,2.6
-0.13,2.59
-0.13,2.57
-0.12,2.55
-0.11,2.54
-0.11,2.52
-0.1,2.5
-0.1,2.49
-0.1,2.47
-0.09,2.46
-0.09,2.44
-0.09,2.42
-0.08,2.4
-0.08,2.39
-0.08,2.37
-0.07,2.35
-0.07,2.33
-0.07,2.31
-0.06,2.3
-0.06,2.28
-0.05,2.26
-0.05,2.24
-0.05,2.22
-0.04,2.21
-0.04,2.19
-0.04,2.17
-0.04,2.15
-0.04,2.13
-0.04,2.1
-0.03,2.08
-0.03,2.03
-0.02,2.0
-0.02,1.96
-0.01,1.93
-0.01,1.89
-0.0,1.86
0.0,1.83
0.0,1.79
0.01,1.76
0.01,1.73
0.01,1.69
0.01,1.66
0.01,1.62
0.01,1.59
0.01,1.55
0.02,1.52
0.02,1.48
0.02,1.44
0.02,1.41
0.02,1.37
0.03,1.33
0.03,1.29
0.03,1.25
0.03,1.22
0.03,1.18
0.04,1.14
0.04,1.1
0.04,1.05
0.04,1.01
0.04,0.97
0.04,0.93
0.04,0.88
0.04,0.84
0.04,0.79
0.04,0.75
0.04,0.7
0.04,0.65
0.04,0.61
0.04,0.55
0.04,0.49
0.04,0.43
0.04,0.18
0.03,0.05
0.03,0.1
0.03,0.25
0.03,0.25
0.03,0.25
0.03,0.25
0.03,0.25
0.03,0.27
0.02,0.31
0.01,0.4
-0.0,0.49
-0.02,0.57
-0.04,0.64
-0.08,0.74
-0.11,0.79
-0.13,0.83
-0.14,0.87
-0.16,0.89
-0.16,0.93
-0.16,0.96
-0.16,0.99
-0.15,1.02
-0.14,1.05
-0.14,1.07
-0.13,1.1
-0.13,1.12
-0.12,1.14
-0.12,1.18
-0.12,1.22
-0.11,1.27
-0.1,1.3
-0.1,1.39
-0.08,1.44
-0.07,1.49
-0.05,1.53
-0.03,1.57
-0.02,1.6
-0.01,1.63
-0.0,1.67
0.01,1.69
0.01,1.72
0.02,1.75
0.02,1.77
0.03,1.8
0.03,1.82
0.04,1.84
0.04,1.87
0.04,1.89
0.05,1.9
0.05,1.92
0.05,1.95
0.06,1.97
0.06,2.0
0.07,2.03
0.07,2.07
0.08,2.11
0.09,2.14
0.09,2.16
0.1,2.19
0.1,2.21
0.1,2.23
0.1,2.25
0.1,2.27
0.1,2.29
0.1,2.31
0.1,2.33
0.1,2.34
0.1,2.36
0.1,2.37
0.1,2.39
0.1,2.4
0.1,2.41
0.1,2.43
0.1,2.44
0.1,2.46
0.1,2.48
0.1,2.5
0.1,2.52
0.09,2.54
0.09,2.56
0.09,2.57
0.09,2.59
0.09,2.6
0.09,2.61
0.09,2.62
0.09,2.63
0.09,2.64
0.09,2.65
0.09,2.66
0.09,2.66
0.09,2.67
0.09,2.68
0.09,2.69
0.08,2.69
0.08,2.7
0.08,2.7
0.07,2.71
0.07,2.72
0.07,2.73
0.06,2.73
0.05,2.74
0.05,2.74
0.04,2.75
0.04,2.75
0.04,2.76
0.04,2.76
0.03,2.76
0.03,2.76
0.03,2.77
0.02,2.77
0.02,2.77
0.01,2.77
0.01,2.77
0.01,2.77
0.0,2.77
0.0,2.77
-0.0,2.78
-0.01,2.78
-0.01,2.78
-0.02,2.78
-0.02,2.78
-0.03,2.78
-0.04,2.78
-0.05,2.78
-0.06,2.78
-0.07,2.78
-0.08,2.78
-0.1,2.78
-0.11,2.78
-0.12,2.78
-0.13,2.78
-0.13,2.78
-0.14,2.78
-0.15,2.78
-0.15,2.78
-0.16,2.78
-0.17,2.78
-0.18,2.78
-0.19,2.78
-0.2,2.78
-0.21,2.78
-0.22,2.78
-0.23,2.78
-0.25,2.78
-0.27,2.78
-0.29,2.78
-0.3,2.78
-0.32,2.78
-0.34,2.78
-0.35,2.78
-0.35,2.78
-0.36,2.78
-0.37,2.78
-0.37,2.78
-0.38,2.78
-0.39,2.78
