steering_angle,speed
0.0,0.05
0.0,0.1
0.0,0.15
0.0,0.2
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.26
0.0,0.28
0.573,0.36
0.573,0.5
-0.0,0.65
-1.1459,0.79
-2.2918,0.94
-4.0107,1.0
-5.7296,1.19
-7.4485,1.21
-8.5944,1.27
-8.5944,1.29
-8.5944,1.39
-8.0214,1.4
-6.8755,1.44
-6.3025,1.46
-5.7296,1.49
-5.1566,1.59
-4.5837,1.58
-4.0107,1.59
-4.0107,1.62
-4.0107,1.68
-4.0107,1.73
-3.4377,1.78
-2.8648,1.81
-2.2918,1.84
-1.1459,1.89
-0.0,1.95
0.573,2.0
1.1459,2.04
1.1459,2.08
1.1459,2.04
1.1459,2.07
0.573,2.1
-0.0,2.06
-0.573,2.02
-1.1459,2.06
-1.1459,2.02
-1.1459,2.04
-1.1459,2.01
-1.1459,2.05
-0.573,2.0
-0.0,2.01
0.0,2.03
0.0,2.03
0.573,2.04
0.573,2.07
0.573,2.05
1.1459,2.09
1.1459,2.11
1.7189,2.14
1.7189,2.11
1.7189,2.14
1.7189,2.11
1.7189,2.14
1.7189,2.14
1.7189,2.18
2.2918,2.17
2.2918,2.19
2.8648,2.2
3.4377,2.22
3.4377,2.22
4.0107,2.24
4.0107,2.25
3.4377,2.28
3.4377,2.3
3.4377,2.32
4.0107,2.35
4.0107,2.38
4.0107,2.4
4.5837,2.43
4.5837,2.44
4.5837,2.47
4.0107,2.48
4.0107,2.5
4.0107,2.51
4.0107,2.52
4.0107,2.53
4.0107,2.54
4.0107,2.55
4.0107,2.56
4.5837,2.58
4.5837,2.59
4.5837,2.6
4.0107,2.61
4.0107,2.63
4.0107,2.64
3.4377,2.66
3.4377,2.67
2.8648,2.68
2.8648,2.69
2.8648,2.7
2.8648,2.71
2.8648,2.72
2.8648,2.72
2.8648,2.72
2.8648,2.73
2.8648,2.73
2.8648,2.74
3.4377,2.74
3.4377,2.74
3.4377,2.74
3.4377,2.75
3.4377,2.75
3.4377,2.75
2.8648,2.76
2.8648,2.76
2.8648,2.76
2.2918,2.77
2.2918,2.77
1.7189,2.77
1.7189,2.77
1.1459,2.77
1.1459,2.77
1.1459,2.77
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.7189,2.78
1.7189,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
0.573,2.78
0.573,2.78
0.573,2.78
0.0,2.78
0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.0,2.78
-0.573,2.78
-0.573,2.78
-0.573,2.78
-0.573,2.78
-0.573,2.78
-0.573,2.78
-1.1459,2.78
-1.1459,2.78
-1.1459,2.78
-1.1459,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-1.7189,2.78
-2.2918,2.78
-2.2918,2.78
-2.2918,2.78
-2.2918,2.78
-2.8648,2.78
-2.8648,2.78
-2.8648,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-4.0107,2.78
-4.0107,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.7296,2.78
-5.7296,2.78
-5.7296,2.78
-5.7296,2.78
-5.7296,2.78
-6.3025,2.78
-6.3025,2.78
-6.3025,2.78
-5.7296,2.78
-5.7296,2.78
-5.7296,2.78
-5.1566,2.78
-5.1566,2.78
-4.5837,2.78
-4.5837,2.78
-4.5837,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.7296,2.78
-5.7296,2.78
-6.3025,2.78
-6.3025,2.78
-6.3025,2.78
-6.8755,2.78
-6.8755,2.78
-6.8755,2.78
-6.8755,2.78
-6.8755,2.78
-6.8755,2.78
-6.8755,2.78
-6.3025,2.78
-5.7296,2.78
-5.1566,2.78
-4.5837,2.78
-4.5837,2.78
-4.0107,2.78
-4.0107,2.78
-4.0107,2.78
-4.0107,2.78
-4.5837,2.78
-4.5837,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-5.1566,2.78
-4.5837,2.78
-4.5837,2.78
-4.0107,2.78
-3.4377,2.78
-2.8648,2.78
-1.7189,2.78
-0.573,2.78
0.0,2.78
0.573,2.78
1.1459,2.78
1.7189,2.78
1.7189,2.78
1.7189,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.7189,2.78
1.7189,2.78
2.2918,2.78
2.8648,2.78
3.4377,2.78
4.5837,2.78
5.1566,2.78
6.3025,2.78
8.0214,2.78
8.0214,2.78
9.7403,2.78
10.8862,2.78
11.4592,2.78
12.0321,2.78
12.6051,2.78
13.178,2.78
13.178,2.78
13.178,2.78
13.178,2.78
13.751,2.78
13.751,2.78
14.3239,2.78
14.8969,2.78
16.0428,2.78
16.6158,2.78
17.7617,2.78
18.3346,2.78
19.4806,2.78
20.0535,2.78
21.1994,2.78
21.7724,2.78
22.3454,2.78
22.3454,2.78
22.9183,2.78
22.9183,2.78
22.9183,2.78
22.9183,2.78
22.9183,2.78
23.4913,2.78
23.4913,2.78
24.0642,2.78
24.0642,2.78
24.0642,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.2101,2.78
25.7831,2.78
25.7831,2.78
25.7831,2.78
25.7831,2.78
25.7831,2.78
25.7831,2.78
25.2101,2.78
25.2101,2.78
24.6372,2.78
24.0642,2.78
23.4913,2.78
23.4913,2.78
22.9183,2.78
22.3454,2.78
21.7724,2.78
21.7724,2.78
21.1994,2.78
20.6265,2.78
20.0535,2.78
19.4806,2.78
18.9076,2.78
18.3346,2.78
17.1887,2.78
16.6158,2.78
15.4699,2.78
14.8969,2.78
13.751,2.78
13.178,2.78
12.6051,2.78
11.4592,2.78
10.8862,2.78
9.7403,2.78
9.1673,2.78
8.5944,2.78
8.0214,2.78
7.4485,2.78
6.8755,2.78
6.3025,2.78
6.3025,2.78
5.7296,2.78
5.1566,2.78
4.5837,2.78
4.0107,2.78
4.0107,2.78
3.4377,2.78
3.4377,2.78
3.4377,2.78
3.4377,2.78
3.4377,2.78
4.0107,2.78
4.5837,2.78
5.1566,2.78
5.1566,2.78
5.1566,2.78
5.1566,2.78
5.1566,2.78
4.5837,2.78
4.5837,2.78
4.5837,2.78
4.5837,2.78
4.5837,2.78
4.5837,2.78
5.1566,2.78
5.1566,2.78
5.7296,2.78
6.3025,2.78
6.3025,2.78
6.8755,2.78
7.4485,2.78
8.0214,2.78
8.5944,2.78
9.1673,2.78
9.1673,2.78
9.7403,2.78
9.7403,2.78
9.7403,2.78
9.1673,2.78
9.1673,2.78
9.1673,2.78
9.1673,2.78
9.7403,2.78
10.3132,2.78
10.8862,2.78
10.8862,2.78
11.4592,2.78
12.0321,2.78
12.0321,2.78
12.6051,2.78
12.6051,2.78
13.178,2.78
13.178,2.78
13.751,2.78
13.751,2.78
13.751,2.78
14.3239,2.78
14.3239,2.78
14.3239,2.78
14.8969,2.78
14.8969,2.78
15.4699,2.78
15.4699,2.78
16.0428,2.78
16.0428,2.78
16.6158,2.78
16.6158,2.78
17.1887,2.78
17.7617,2.78
17.7617,2.78
18.3346,2.78
18.3346,2.78
18.3346,2.78
17.7617,2.78
17.7617,2.78
17.1887,2.78
16.6158,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
16.0428,2.78
15.4699,2.78
14.8969,2.78
14.3239,2.78
13.178,2.78
12.0321,2.78
10.8862,2.78
9.7403,2.78
8.5944,2.78
8.0214,2.78
7.4485,2.78
7.4485,2.78
7.4485,2.78
7.4485,2.78
7.4485,2.78
6.8755,2.78
6.8755,2.78
6.8755,2.78
6.3025,2.78
5.7296,2.78
5.7296,2.78
5.7296,2.78
4.5837,2.78
4.0107,2.78
2.8648,2.78
2.2918,2.78
1.7189,2.78
0.573,2.78
0.0,2.78
-0.573,2.78
-0.573,2.78
-1.1459,2.78
-1.1459,2.78
-1.7189,2.78
-1.7189,2.78
-2.2918,2.78
-2.2918,2.78
-2.2918,2.78
-2.8648,2.78
-2.8648,2.78
-2.8648,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-4.0107,2.78
-4.0107,2.78
-4.0107,2.78
-4.0107,2.78
-3.4377,2.78
-3.4377,2.78
-3.4377,2.78
-2.8648,2.78
-2.8648,2.78
-2.8648,2.78
-2.2918,2.78
-2.2918,2.78
-1.7189,2.78
-1.7189,2.78
-1.1459,2.78
-0.573,2.78
-0.573,2.78
-0.0,2.78
-0.0,2.78
0.0,2.78
0.573,2.78
0.573,2.78
0.573,2.78
1.1459,2.78
1.1459,2.78
1.1459,2.78
1.7189,2.78
2.2918,2.78
2.8648,2.78
3.4377,2.78
4.0107,2.78
4.5837,2.78
5.1566,2.78
5.7296,2.78
5.7296,2.78
6.3025,2.78
6.8755,2.78
7.4485,2.78
7.4485,2.78
7.4485,2.78
8.0214,2.78
8.0214,2.78
8.0214,2.78
8.0214,2.78
8.0214,2.78
8.5944,2.78
8.5944,2.78
9.1673,2.78
9.7403,2.78
10.3132,2.78
11.4592,2.78
12.0321,2.78
12.6051,2.78
13.751,2.78
14.3239,2.78
14.8969,2.78
15.4699,2.78
15.4699,2.78
15.4699,2.78
15.4699,2.78
15.4699,2.78
14.8969,2.78
14.8969,2.78
15.4699,2.78
15.4699,2.78
16.0428,2.78
17.1887,2.78
18.3346,2.78
19.4806,2.78
20.6265,2.78
22.3454,2.78
22.9183,2.78
23.4913,2.78
24.0642,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
24.6372,2.78
23.4913,2.78
22.9183,2.78
22.3454,2.78
21.7724,2.78
21.7724,2.78
21.1994,2.78
21.7724,2.78
22.3454,2.78
23.4913,2.78
24.6372,2.78
25.2101,2.78
26.3561,2.78
26.929,2.78
26.929,2.78
26.929,2.78
26.929,2.78
26.3561,2.78
25.2101,2.78
24.6372,2.78
23.4913,2.78
21.7724,2.78
20.6265,2.78
19.4806,2.78
18.3346,2.78
17.1887,2.78
16.0428,2.78
14.8969,2.78
13.178,2.78
12.0321,2.78
10.8862,2.78
9.1673,2.78
7.4485,2.78
6.3025,2.78
4.5837,2.78
2.8648,2.78
1.1459,2.78
-0.0,2.78
-1.7189,2.78
-3.4377,2.78
-5.1566,2.78
-6.8755,2.78
-8.0214,2.78
-9.7403,2.78
-11.4592,2.78
-13.178,2.78
-14.8969,2.78
-16.0428,2.78
-17.1887,2.78
-17.7617,2.78
-18.3346,2.78
-18.3346,2.78
-18.9076,2.78
-18.9076,2.78
-19.4806,2.78
-20.0535,2.78
-20.6265,2.78
-21.7724,2.78
-22.9183,2.78
-23.4913,2.78
-24.0642,2.78
-24.0642,2.78
-24.0642,2.78
-24.0642,2.78
-23.4913,2.78
-23.4913,2.78
-23.4913,2.78
-23.4913,2.78
-23.4913,2.78
-24.0642,2.78
-24.6372,2.78
-24.6372,2.78
-25.2101,2.78
-25.7831,2.78
-25.7831,2.78
-26.3561,2.78
-26.3561,2.78
-26.3561,2.78
