steering_angle,speed
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.25
0.0,0.26
0.0,0.27
-0.0,0.31
-0.573,0.34
-1.1459,0.43
-1.7189,0.51
-2.8648,0.57
-4.0107,0.65
-5.1566,0.7
-6.3025,0.79
-8.0214,0.84
-9.1673,0.91
-10.3132,0.95
-11.4592,0.99
-12.0321,1.04
-12.6051,1.1
-12.6051,1.15
-13.178,1.2
-13.178,1.24
-13.178,1.29
-13.751,1.32
-13.751,1.36
-13.751,1.41
-13.751,1.44
-13.751,1.47
-13.751,1.51
-13.178,1.54
-13.178,1.57
-13.178,1.59
-13.178,1.63
-12.6051,1.66
-12.6051,1.69
-12.0321,1.71
-12.0321,1.74
-11.4592,1.77
-11.4592,1.79
-10.8862,1.83
-10.3132,1.86
-10.3132,1.89
-9.7403,1.92
-9.1673,1.94
-8.5944,1.98
-7.4485,2.0
-6.8755,2.03
-6.3025,2.06
-5.1566,2.09
-4.0107,2.11
-2.8648,2.14
-2.2918,2.16
-1.1459,2.18
0.0,2.2
1.1459,2.22
2.2918,2.25
3.4377,2.27
5.1566,2.28
6.3025,2.3
7.4485,2.32
8.5944,2.39
9.7403,2.36
10.8862,2.38
12.0321,2.4
13.178,2.41
14.3239,2.44
15.4699,2.45
17.1887,2.46
18.3346,2.48
19.4806,2.49
20.6265,2.5
21.7724,2.52
22.9183,2.57
24.0642,2.56
24.6372,2.56
25.2101,2.57
25.2101,2.58
25.2101,2.6
25.2101,2.61
25.2101,2.62
25.2101,2.65
25.2101,2.65
25.2101,2.65
25.2101,2.66
25.2101,2.69
25.2101,2.69
25.2101,2.69
25.2101,2.7
25.2101,2.71
25.2101,2.72
25.2101,2.72
25.2101,2.74
25.2101,2.74
25.2101,2.74
25.2101,2.74
25.2101,2.75
25.2101,2.75
25.2101,2.75
25.2101,2.76
24.6372,2.76
24.6372,2.76
24.6372,2.76
24.0642,2.77
22.9183,2.77
21.7724,2.77
20.6265,2.77
19.4806,2.77
18.3346,2.77
17.1887,2.77
16.0428,2.78
14.8969,2.78
13.751,2.78
12.0321,2.78
10.8862,2.78
9.7403,2.78
8.5944,2.78
7.4485,2.78
6.3025,2.78
5.1566,2.78
4.0107,2.78
2.8648,2.78
1.7189,2.78
0.573,2.78
-1.1459,2.78
-2.2918,2.78
-3.4377,2.78
-4.5837,2.78
-5.7296,2.78
-6.8755,2.78
-8.0214,2.78
-9.1673,2.53
-10.3132,2.28
-11.4592,2.03
-12.6051,1.78
-14.3239,1.53
-15.4699,1.28
-16.6158,1.03
-17.7617,0.78
-18.9076,0.53
-20.0535,0.28
-21.1994,0.03
