CARLA Vehicle Models Log
===================================
ID: vehicle.audi.a2 | Path: vehicle.audi.a2 | Dimensions: L:8.34m, W:4.02m, H:3.49m
ID: vehicle.citroen.c3 | Path: vehicle.citroen.c3 | Dimensions: L:3.99m, W:1.85m, H:1.62m
ID: vehicle.chevrolet.impala | Path: vehicle.chevrolet.impala | Dimensions: L:5.36m, W:2.03m, H:1.41m
ID: vehicle.dodge.charger_police_2020 | Path: vehicle.dodge.charger_police_2020 | Dimensions: L:5.24m, W:1.93m, H:1.64m
ID: vehicle.micro.microlino | Path: vehicle.micro.microlino | Dimensions: L:2.21m, W:1.48m, H:1.38m
ID: vehicle.dodge.charger_police | Path: vehicle.dodge.charger_police | Dimensions: L:4.97m, W:2.04m, H:1.54m
ID: vehicle.audi.tt | Path: vehicle.audi.tt | Dimensions: L:4.18m, W:1.99m, H:1.39m
ID: vehicle.jeep.wrangler_rubicon | Path: vehicle.jeep.wrangler_rubicon | Dimensions: L:3.87m, W:1.91m, H:1.88m
ID: vehicle.mercedes.coupe | Path: vehicle.mercedes.coupe | Dimensions: L:5.03m, W:2.15m, H:1.65m
ID: vehicle.yamaha.yzf | Path: vehicle.yamaha.yzf | Dimensions: L:2.19m, W:0.87m, H:1.53m
ID: vehicle.mercedes.coupe_2020 | Path: vehicle.mercedes.coupe_2020 | Dimensions: L:4.67m, W:1.81m, H:1.44m
ID: vehicle.harley-davidson.low_rider | Path: vehicle.harley-davidson.low_rider | Dimensions: L:2.35m, W:0.77m, H:1.65m
ID: vehicle.dodge.charger_2020 | Path: vehicle.dodge.charger_2020 | Dimensions: L:5.01m, W:1.88m, H:1.53m
ID: vehicle.ford.ambulance | Path: vehicle.ford.ambulance | Dimensions: L:6.37m, W:2.35m, H:2.43m
ID: vehicle.lincoln.mkz_2020 | Path: vehicle.lincoln.mkz_2020 | Dimensions: L:4.89m, W:1.84m, H:1.49m
ID: vehicle.mini.cooper_s_2021 | Path: vehicle.mini.cooper_s_2021 | Dimensions: L:4.55m, W:2.10m, H:1.77m
ID: vehicle.ford.crown | Path: vehicle.ford.crown | Dimensions: L:5.37m, W:1.80m, H:1.57m
ID: vehicle.toyota.prius | Path: vehicle.toyota.prius | Dimensions: L:4.51m, W:2.01m, H:1.52m
ID: vehicle.carlamotors.european_hgv | Path: vehicle.carlamotors.european_hgv | Dimensions: L:7.94m, W:2.89m, H:3.46m
ID: vehicle.carlamotors.carlacola | Path: vehicle.carlamotors.carlacola | Dimensions: L:5.20m, W:2.63m, H:2.47m
ID: vehicle.vespa.zx125 | Path: vehicle.vespa.zx125 | Dimensions: L:1.82m, W:0.87m, H:1.59m
ID: vehicle.nissan.patrol_2021 | Path: vehicle.nissan.patrol_2021 | Dimensions: L:5.57m, W:2.15m, H:2.05m
ID: vehicle.mercedes.sprinter | Path: vehicle.mercedes.sprinter | Dimensions: L:5.92m, W:1.99m, H:2.56m
ID: vehicle.audi.etron | Path: vehicle.audi.etron | Dimensions: L:7.23m, W:3.03m, H:2.45m
ID: vehicle.seat.leon | Path: vehicle.seat.leon | Dimensions: L:4.19m, W:1.82m, H:1.47m
ID: vehicle.volkswagen.t2_2021 | Path: vehicle.volkswagen.t2_2021 | Dimensions: L:4.44m, W:1.77m, H:1.99m
ID: vehicle.tesla.cybertruck | Path: vehicle.tesla.cybertruck | Dimensions: L:6.27m, W:2.39m, H:2.10m
ID: vehicle.lincoln.mkz_2017 | Path: vehicle.lincoln.mkz_2017 | Dimensions: L:4.90m, W:2.13m, H:1.51m
ID: vehicle.carlamotors.firetruck | Path: vehicle.carlamotors.firetruck | Dimensions: L:8.47m, W:2.89m, H:3.83m
ID: vehicle.ford.mustang | Path: vehicle.ford.mustang | Dimensions: L:4.72m, W:1.89m, H:1.30m
ID: vehicle.volkswagen.t2 | Path: vehicle.volkswagen.t2 | Dimensions: L:4.48m, W:2.07m, H:2.04m
ID: vehicle.mitsubishi.fusorosa | Path: vehicle.mitsubishi.fusorosa | Dimensions: L:10.27m, W:3.94m, H:4.25m
ID: vehicle.tesla.model3 | Path: vehicle.tesla.model3 | Dimensions: L:4.79m, W:2.16m, H:1.49m
ID: vehicle.diamondback.century | Path: vehicle.diamondback.century | Dimensions: L:1.66m, W:0.58m, H:1.62m
ID: vehicle.gazelle.omafiets | Path: vehicle.gazelle.omafiets | Dimensions: L:1.84m, W:0.66m, H:1.78m
ID: vehicle.bmw.grandtourer | Path: vehicle.bmw.grandtourer | Dimensions: L:4.61m, W:2.24m, H:1.67m
ID: vehicle.bh.crossbike | Path: vehicle.bh.crossbike | Dimensions: L:1.51m, W:0.87m, H:1.61m
ID: vehicle.kawasaki.ninja | Path: vehicle.kawasaki.ninja | Dimensions: L:2.04m, W:0.80m, H:1.52m
ID: vehicle.nissan.patrol | Path: vehicle.nissan.patrol | Dimensions: L:4.60m, W:1.93m, H:1.85m
ID: vehicle.nissan.micra | Path: vehicle.nissan.micra | Dimensions: L:3.63m, W:1.85m, H:1.50m
ID: vehicle.mini.cooper_s | Path: vehicle.mini.cooper_s | Dimensions: L:3.81m, W:1.97m, H:1.48m
