2024-11-12 12:09:59,595 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:00,596 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:01,598 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:02,599 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:03,600 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:04,601 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:05,602 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:06,602 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:07,603 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:08,604 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:09,605 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:10,606 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:11,606 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:12,607 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:13,608 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:14,610 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:15,611 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:16,612 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:17,613 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:18,614 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:19,614 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:20,615 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:21,616 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:22,618 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:23,620 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:24,621 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:25,622 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:26,623 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:27,623 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 12:10:28,625 - Speed: 0.08 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:38,065 - Speed: 0.47 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:39,067 - Speed: 0.30 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:40,068 - Speed: 0.30 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:41,068 - Speed: 0.30 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:42,069 - Speed: 0.46 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:43,070 - Speed: 0.29 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:44,071 - Speed: 0.29 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:45,072 - Speed: 0.45 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:46,073 - Speed: 0.28 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:47,074 - Speed: 0.45 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:48,075 - Speed: 0.44 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:49,076 - Speed: 0.27 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:50,076 - Speed: 0.44 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:51,078 - Speed: 0.27 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:52,079 - Speed: 0.43 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:53,080 - Speed: 0.43 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:54,081 - Speed: 0.43 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:55,082 - Speed: 0.26 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:56,083 - Speed: 0.42 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:57,083 - Speed: 0.42 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:58,084 - Speed: 0.42 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:20:59,085 - Speed: 0.41 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:00,086 - Speed: 0.25 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:21:01,087 - Speed: 1.72 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
