CMDLINE ./debug_run_vehicle_ros2.sh
MEM 0.468750 1728030254.3533
MEM 3.593750 1728030254.4537
MEM 3.593750 1728030254.5540
MEM 4.562500 1728030254.6542
MEM 4.562500 1728030254.7545
MEM 4.562500 1728030254.8547
MEM 4.562500 1728030254.9550
MEM 4.562500 1728030255.0553
MEM 4.562500 1728030255.1556
MEM 4.562500 1728030255.2559
MEM 4.562500 1728030255.3562
MEM 4.562500 1728030255.4565
MEM 4.562500 1728030255.5568
MEM 4.562500 1728030255.6570
MEM 4.562500 1728030255.7573
MEM 4.562500 1728030255.8576
MEM 4.562500 1728030255.9580
MEM 4.562500 1728030256.0583
MEM 4.562500 1728030256.1587
MEM 4.562500 1728030256.2591
MEM 4.562500 1728030256.3596
MEM 4.562500 1728030256.4606
MEM 4.562500 1728030256.5612
MEM 4.562500 1728030256.6617
MEM 4.562500 1728030256.7623
MEM 4.562500 1728030256.8630
MEM 4.562500 1728030256.9632
MEM 4.562500 1728030257.0637
MEM 4.562500 1728030257.1642
MEM 4.562500 1728030257.2646
MEM 4.562500 1728030257.3649
MEM 4.562500 1728030257.4652
MEM 4.562500 1728030257.5657
MEM 4.562500 1728030257.6662
MEM 4.562500 1728030257.7667
MEM 4.562500 1728030257.8673
MEM 4.562500 1728030257.9678
MEM 4.562500 1728030258.0681
MEM 4.562500 1728030258.1686
MEM 4.562500 1728030258.2690
MEM 4.562500 1728030258.3695
MEM 4.562500 1728030258.4698
MEM 4.562500 1728030258.5702
MEM 4.562500 1728030258.6707
MEM 4.562500 1728030258.7712
MEM 4.562500 1728030258.8717
MEM 4.562500 1728030258.9722
MEM 4.562500 1728030259.0724
MEM 4.562500 1728030259.1728
MEM 4.562500 1728030259.2731
MEM 4.562500 1728030259.3734
MEM 4.562500 1728030259.4737
MEM 4.562500 1728030259.5739
MEM 4.562500 1728030259.6742
MEM 4.562500 1728030259.7744
MEM 4.562500 1728030259.8747
MEM 4.562500 1728030259.9750
MEM 4.562500 1728030260.0752
MEM 4.562500 1728030260.1755
MEM 4.562500 1728030260.2758
MEM 4.562500 1728030260.3762
MEM 4.562500 1728030260.4767
MEM 4.562500 1728030260.5770
MEM 4.875000 1728030260.6772
MEM 4.875000 1728030260.7775
MEM 4.875000 1728030260.8776
MEM 4.875000 1728030260.9779
MEM 4.875000 1728030261.0781
MEM 4.875000 1728030261.1783
MEM 4.875000 1728030261.2786
MEM 4.875000 1728030261.3787
MEM 4.875000 1728030261.4790
MEM 4.875000 1728030261.5792
MEM 4.875000 1728030261.6795
MEM 4.875000 1728030261.7797
MEM 4.875000 1728030261.8800
MEM 4.875000 1728030261.9802
MEM 4.875000 1728030262.0805
MEM 4.875000 1728030262.1806
MEM 4.875000 1728030262.2809
MEM 4.875000 1728030262.3811
MEM 4.875000 1728030262.4813
MEM 4.875000 1728030262.5814
MEM 4.875000 1728030262.6816
MEM 4.875000 1728030262.7818
MEM 4.875000 1728030262.8820
MEM 4.875000 1728030262.9822
MEM 4.875000 1728030263.0824
MEM 4.875000 1728030263.1826
MEM 4.875000 1728030263.2829
MEM 4.875000 1728030263.3831
MEM 4.875000 1728030263.4833
MEM 4.875000 1728030263.5834
MEM 4.875000 1728030263.6836
MEM 4.875000 1728030263.7838
MEM 4.875000 1728030263.8840
MEM 4.875000 1728030263.9843
MEM 4.875000 1728030264.0845
MEM 4.875000 1728030264.1847
MEM 4.875000 1728030264.2849
MEM 4.875000 1728030264.3852
MEM 4.875000 1728030264.4854
MEM 4.875000 1728030264.5856
MEM 4.875000 1728030264.6858
MEM 4.875000 1728030264.7860
MEM 4.875000 1728030264.8862
MEM 4.875000 1728030264.9864
MEM 4.875000 1728030265.0867
MEM 4.875000 1728030265.1869
MEM 4.875000 1728030265.2874
MEM 4.875000 1728030265.3878
MEM 4.875000 1728030265.4882
MEM 4.875000 1728030265.5887
MEM 4.875000 1728030265.6892
MEM 4.875000 1728030265.7894
MEM 4.875000 1728030265.8896
MEM 4.875000 1728030265.9899
MEM 4.875000 1728030266.0901
MEM 4.875000 1728030266.1903
MEM 4.875000 1728030266.2908
MEM 4.875000 1728030266.3910
MEM 4.875000 1728030266.4915
MEM 4.875000 1728030266.5920
MEM 4.875000 1728030266.6924
MEM 4.875000 1728030266.7929
MEM 4.875000 1728030266.8934
MEM 4.875000 1728030266.9939
MEM 4.875000 1728030267.0944
MEM 4.875000 1728030267.1949
MEM 4.875000 1728030267.2954
MEM 4.875000 1728030267.3959
MEM 4.875000 1728030267.4961
MEM 4.875000 1728030267.5966
MEM 4.875000 1728030267.6971
MEM 4.875000 1728030267.7975
MEM 4.875000 1728030267.8981
MEM 4.875000 1728030267.9985
MEM 4.875000 1728030268.0990
MEM 4.875000 1728030268.1994
MEM 4.875000 1728030268.2999
MEM 4.875000 1728030268.4003
MEM 4.875000 1728030268.5007
MEM 4.875000 1728030268.6012
MEM 4.875000 1728030268.7017
MEM 4.875000 1728030268.8022
MEM 4.875000 1728030268.9027
MEM 4.875000 1728030269.0031
MEM 4.875000 1728030269.1036
MEM 4.875000 1728030269.2040
MEM 4.875000 1728030269.3045
MEM 4.875000 1728030269.4049
MEM 4.875000 1728030269.5053
MEM 4.875000 1728030269.6057
MEM 4.875000 1728030269.7062
MEM 4.875000 1728030269.8067
MEM 4.875000 1728030269.9072
MEM 4.875000 1728030270.0076
MEM 4.875000 1728030270.1082
MEM 4.875000 1728030270.2085
MEM 4.875000 1728030270.3089
MEM 4.875000 1728030270.4092
MEM 4.875000 1728030270.5097
MEM 4.875000 1728030270.6102
MEM 4.875000 1728030270.7106
MEM 4.875000 1728030270.8110
MEM 4.875000 1728030270.9115
MEM 4.875000 1728030271.0119
MEM 4.875000 1728030271.1124
MEM 4.875000 1728030271.2129
MEM 4.875000 1728030271.3134
MEM 4.875000 1728030271.4138
MEM 4.875000 1728030271.5142
MEM 4.875000 1728030271.6147
MEM 4.875000 1728030271.7151
MEM 4.875000 1728030271.8155
MEM 4.875000 1728030271.9160
MEM 4.875000 1728030272.0165
MEM 4.875000 1728030272.1170
MEM 4.875000 1728030272.2174
MEM 4.875000 1728030272.3179
MEM 4.875000 1728030272.4185
MEM 4.875000 1728030272.5190
MEM 4.875000 1728030272.6195
MEM 4.875000 1728030272.7200
MEM 4.875000 1728030272.8202
MEM 4.875000 1728030272.9207
MEM 4.875000 1728030273.0213
MEM 4.875000 1728030273.1218
MEM 4.875000 1728030273.2223
MEM 4.875000 1728030273.3228
MEM 4.875000 1728030273.4230
MEM 4.875000 1728030273.5233
MEM 4.875000 1728030273.6238
MEM 4.875000 1728030273.7243
MEM 4.875000 1728030273.8247
MEM 4.875000 1728030273.9252
MEM 4.875000 1728030274.0257
MEM 4.875000 1728030274.1262
MEM 4.875000 1728030274.2266
MEM 4.875000 1728030274.3271
MEM 4.875000 1728030274.4276
MEM 4.875000 1728030274.5282
