Timestamp,X,Y,Z,Roll,Yaw,Pitch,DesiredAngle
1741950906.431,0.3237,-1.3852,-4.5397,1.3715,-46.4635,89.9225,180
1741950937.222,0.3718,-1.3815,-4.5437,1.2930,-0.6026,89.5356,-135
1741950967.420,0.3660,-1.3839,-4.5482,1.2072,41.7938,89.6722,-90
1741951003.621,0.3661,-1.3829,-4.5452,-179.0196,132.4574,-90.2557,0
1741951050.324,0.3662,-1.3855,-4.5512,-179.2007,176.4280,-90.5195,45
1741951079.931,0.3649,-1.3830,-4.5438,-179.6875,-138.2344,-91.0795,90
1741951080.231,0.3666,-1.3847,-4.5475,172.7672,-93.0425,-98.7315,135
1741951110.225,-1.2507,-1.4239,-4.1297,-13.7923,85.8798,103.1047,-45
1741951130.620,-1.2490,-1.4238,-4.1278,-179.3837,178.5701,-90.2407,45
1741951145.500,-1.2490,-1.4228,-4.1166,0.6655,-2.0341,89.2699,-135
1741951160.324,-1.1684,-1.3579,-4.4022,0.5643,40.7573,89.1891,-90
1741951185.222,-1.1688,-1.3556,-4.3965,178.7559,-137.4051,-91.4458,90
1741951205.110,-1.1635,-1.3594,-4.3984,-179.3540,134.5666,-91.0136,0
