Timestamp,Distance_2,Distance_3,X,Y,Z,Roll,Yaw,Pitch
1741951127.334,2.065,4.026,1.4472,-2.0845,5.9624,179.3455,-155.2279,-0.8989
1741951127.413,2.065,4.026,1.4472,-2.0845,5.9624,179.3316,-155.2331,-0.9049
1741951127.493,2.063,4.026,1.4472,-2.0845,5.9624,179.3074,-155.2422,-0.9061
1741951127.573,2.063,4.028,1.4472,-2.0845,5.9624,179.3233,-155.2317,-0.9244
1741951127.652,2.064,4.027,1.4472,-2.0845,5.9624,179.3168,-155.2185,-0.9196
1741951127.732,2.064,4.027,1.4472,-2.0845,5.9624,179.3386,-155.2251,-0.9009
1741951127.812,2.064,4.024,1.4472,-2.0845,5.9624,179.3583,-155.2298,-0.8982
1741951127.891,2.064,4.025,1.4472,-2.0845,5.9624,179.3516,-155.2300,-0.8955
1741951127.971,2.064,4.026,1.4472,-2.0845,5.9624,179.3527,-155.2321,-0.9072
1741951128.051,2.064,4.025,1.4472,-2.0845,5.9624,179.3676,-155.2432,-0.9131
1741951128.130,2.064,4.025,1.4472,-2.0845,5.9624,179.3396,-155.2334,-0.9059
1741951128.210,2.064,4.026,1.4472,-2.0845,5.9624,179.3178,-155.2231,-0.9025
1741951128.409,2.065,4.028,1.4472,-2.0845,5.9624,179.3292,-155.2156,-0.9047
1741951128.608,2.065,4.025,1.4472,-2.0845,5.9624,179.3373,-155.2257,-0.9038
1741951128.807,2.063,4.028,1.4472,-2.0845,5.9624,179.3443,-155.2378,-0.9058
1741951130.101,2.064,4.025,1.4472,-2.0845,5.9624,179.3432,-155.2326,-0.9266
1741951130.181,2.063,4.025,1.4472,-2.0845,5.9624,179.3421,-155.2301,-0.9303
1741951130.261,2.064,4.025,1.4472,-2.0845,5.9624,179.3554,-155.2325,-0.9287
1741951130.340,2.064,4.025,1.4472,-2.0845,5.9624,179.3509,-155.2304,-0.9215
1741951130.420,2.064,4.027,1.4472,-2.0845,5.9624,179.3636,-155.2298,-0.9170
1741951130.500,2.063,4.025,1.4472,-2.0845,5.9624,179.3705,-155.2300,-0.9171
1741951130.579,2.064,4.026,1.4472,-2.0845,5.9624,179.3582,-155.2296,-0.9212
1741951130.659,2.063,4.026,1.4472,-2.0845,5.9624,179.3646,-155.2322,-0.9165
1741951130.739,2.063,4.026,1.4472,-2.0845,5.9624,179.3663,-155.2379,-0.9113
1741951130.818,2.063,4.026,1.4472,-2.0845,5.9624,179.3685,-155.2375,-0.9142
1741951130.898,2.063,4.025,1.4472,-2.0845,5.9624,179.3610,-155.2351,-0.9196
1741951130.977,2.063,4.025,1.4472,-2.0845,5.9624,179.3578,-155.2258,-0.9089
1741951131.057,2.063,4.026,1.4472,-2.0845,5.9624,179.3431,-155.2229,-0.9181
1741951131.137,2.063,4.026,1.4472,-2.0845,5.9624,179.3405,-155.2267,-0.9312
1741951131.216,2.064,4.026,1.4472,-2.0845,5.9624,179.3452,-155.2297,-0.9332
1741951131.296,2.064,4.027,1.4472,-2.0845,5.9624,179.3578,-155.2210,-0.9037
1741951131.376,2.064,4.026,1.4471,-2.0844,5.9623,179.4289,-155.2060,-0.8000
1741951131.455,2.063,4.028,1.4468,-2.0833,5.9623,179.4092,-155.1503,-0.8195
1741951131.535,2.063,4.028,1.4450,-2.0793,5.9623,179.3390,-155.0945,-0.8815
1741951131.615,2.061,4.025,1.4416,-2.0725,5.9620,179.2800,-154.9515,-0.9168
1741951131.694,2.063,4.021,1.4377,-2.0648,5.9620,179.2620,-154.8684,-0.9098
1741951131.774,2.062,4.010,1.4338,-2.0573,5.9621,179.2555,-154.7147,-0.9080
1741951131.854,2.061,4.000,1.4299,-2.0495,5.9624,179.2639,-154.6427,-0.9590
1741951131.933,2.061,4.000,1.4274,-2.0440,5.9621,179.2701,-154.5629,-0.9403
1741951132.013,2.062,3.989,1.4253,-2.0388,5.9616,179.3240,-154.4897,-0.9561
1741951132.093,2.066,3.982,1.4233,-2.0353,5.9619,179.2894,-154.3018,-0.8398
1741951132.172,2.064,3.973,1.4207,-2.0301,5.9617,179.2523,-154.2150,-1.0124
1741951132.252,2.061,3.968,1.4174,-2.0234,5.9619,179.2882,-154.1239,-1.1408
1741951132.332,2.061,3.968,1.4139,-2.0164,5.9619,179.2918,-154.0444,-1.0888
1741951132.411,2.065,3.958,1.4108,-2.0102,5.9619,179.3592,-154.0105,-1.0614
1741951132.491,2.064,3.949,1.4075,-2.0033,5.9620,179.4154,-153.9460,-1.0777
1741951132.570,2.065,3.941,1.4045,-1.9970,5.9620,179.5082,-153.8500,-1.0839
1741951132.650,2.055,3.930,1.4010,-1.9906,5.9619,179.4346,-153.8852,-1.0389
1741951132.730,2.055,3.930,1.3979,-1.9845,5.9616,179.4288,-153.8479,-0.9926
1741951132.809,2.065,3.923,1.3947,-1.9785,5.9613,179.4276,-153.7927,-0.9981
1741951132.889,2.064,3.913,1.3915,-1.9728,5.9611,179.3668,-153.7078,-1.0379
1741951132.969,2.066,3.905,1.3883,-1.9664,5.9610,179.3310,-153.5603,-1.0698
1741951133.048,2.065,3.894,1.3855,-1.9608,5.9609,179.3088,-153.4180,-1.0509
1741951133.128,2.065,3.894,1.3825,-1.9550,5.9607,179.2548,-153.2626,-1.0833
1741951133.208,2.065,3.889,1.3792,-1.9491,5.9606,179.2285,-153.1455,-1.1497
1741951133.287,2.065,3.878,1.3763,-1.9434,5.9606,179.2038,-153.1146,-1.1517
1741951133.367,2.067,3.872,1.3728,-1.9372,5.9607,179.1790,-153.0052,-1.1411
1741951133.447,2.066,3.862,1.3697,-1.9313,5.9607,179.1281,-152.8761,-1.1771
1741951133.526,2.066,3.862,1.3666,-1.9255,5.9609,179.1725,-152.7372,-1.1470
