Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1742299172.497,4.028,2.071,0.226,-0.409,-0.152,-1.215,-4.9346,43.2438,1.0773,89.6448
1742299172.577,4.029,2.072,0.225,-0.41,-0.1519,-1.2149,-4.9346,43.2451,1.067,89.6508
1742299172.656,4.029,2.072,0.225,-0.41,-0.1521,-1.2149,-4.9344,43.2552,1.0691,89.643
1742299172.736,4.028,2.073,0.226,-0.411,-0.1518,-1.2151,-4.9347,43.2494,1.0859,89.6194
1742299172.816,4.029,2.072,0.225,-0.41,-0.1519,-1.2149,-4.9348,43.2558,1.1011,89.6191
1742299172.895,4.029,2.072,0.225,-0.41,-0.152,-1.2149,-4.9344,43.2555,1.0893,89.6235
1742299172.975,4.029,2.072,0.225,-0.41,-0.152,-1.215,-4.9347,43.2539,1.099,89.6007
1742299173.055,4.029,2.072,0.225,-0.41,-0.152,-1.215,-4.9347,43.2499,1.0927,89.6107
1742299173.134,4.03,2.072,0.224,-0.41,-0.1521,-1.215,-4.9345,43.2536,1.0862,89.6185
1742299173.214,4.029,2.073,0.225,-0.411,-0.152,-1.215,-4.9347,43.2591,1.0838,89.6074
1742299173.294,4.029,2.072,0.225,-0.41,-0.1519,-1.215,-4.9347,43.262,1.0865,89.6036
1742299173.373,4.029,2.071,0.225,-0.409,-0.152,-1.2149,-4.9347,43.2626,1.0807,89.6169
1742299173.453,4.029,2.071,0.225,-0.409,-0.1519,-1.215,-4.9348,43.2641,1.0796,89.6049
1742299173.532,4.029,2.072,0.225,-0.41,-0.1518,-1.215,-4.9349,43.2653,1.0745,89.6071
1742299173.612,4.029,2.072,0.225,-0.41,-0.1519,-1.215,-4.9348,43.2602,1.0791,89.6052
1742299173.692,4.029,2.072,0.225,-0.41,-0.1519,-1.215,-4.9347,43.2622,1.0658,89.6076
1742299173.773,4.029,2.072,0.225,-0.41,-0.152,-1.2151,-4.9348,43.2553,1.0763,89.6058
1742299173.851,4.028,2.072,0.226,-0.41,-0.1519,-1.2151,-4.9348,43.2553,1.0587,89.621
1742299173.931,4.028,2.072,0.226,-0.41,-0.1518,-1.2151,-4.9349,43.2553,1.075,89.6091
1742299174.01,4.029,2.072,0.225,-0.41,-0.152,-1.215,-4.935,43.2613,1.09,89.5977
1742299174.09,4.029,2.072,0.225,-0.41,-0.152,-1.2151,-4.9349,43.2502,1.0827,89.6085
1742299174.17,4.029,2.072,0.225,-0.41,-0.152,-1.2151,-4.9348,43.2501,1.0747,89.6156
1742299174.249,4.028,2.072,0.226,-0.41,-0.1521,-1.215,-4.9349,43.2459,1.0765,89.6059
1742299174.329,4.029,2.073,0.225,-0.411,-0.1518,-1.2151,-4.9351,43.2423,1.0717,89.6061
