Timestamp,Distance_2,Distance_3,X,Y,Z,Roll,Yaw,Pitch
1741602014.801,2.068,4.023,1.2138,-0.8710,-4.9929,-2.1385,66.1214,92.3292
1741602014.881,2.066,4.023,1.2138,-0.8709,-4.9929,-2.1186,66.1274,92.3007
1741602014.961,2.066,4.023,1.2139,-0.8709,-4.9929,-2.1430,66.1320,92.3373
1741602015.040,2.069,4.022,1.2138,-0.8711,-4.9928,-2.1489,66.1275,92.3368
1741602015.120,2.068,4.022,1.2138,-0.8710,-4.9928,-2.1360,66.1367,92.3245
1741602015.199,2.070,4.022,1.2138,-0.8709,-4.9928,-2.1329,66.1431,92.3165
1741602015.279,2.069,4.021,1.2138,-0.8709,-4.9928,-2.1206,66.1359,92.3049
1741602015.359,2.069,4.021,1.2137,-0.8710,-4.9928,-2.1067,66.1302,92.2943
1741602015.438,2.069,4.022,1.2137,-0.8710,-4.9928,-2.1164,66.1352,92.3144
1741602015.518,2.070,4.023,1.2138,-0.8709,-4.9928,-2.0963,66.1178,92.2920
1741602015.598,2.068,4.022,1.2137,-0.8708,-4.9929,-2.0878,66.1170,92.2752
1741602015.677,2.068,4.022,1.2137,-0.8710,-4.9928,-2.1173,66.1211,92.3013
1741602015.757,2.068,4.022,1.2138,-0.8710,-4.9927,-2.1165,66.1345,92.2974
1741602015.837,2.069,4.021,1.2138,-0.8710,-4.9927,-2.1009,66.1341,92.2772
1741602015.916,2.068,4.021,1.2137,-0.8709,-4.9928,-2.1100,66.1299,92.2806
1741602015.996,2.069,4.022,1.2137,-0.8709,-4.9927,-2.1292,66.1283,92.2946
1741602016.075,2.070,4.024,1.2137,-0.8709,-4.9927,-2.1079,66.1316,92.2778
1741602016.155,2.070,4.024,1.2138,-0.8710,-4.9926,-2.1228,66.1337,92.2921
1741602016.235,2.069,4.022,1.2129,-0.8709,-4.9923,-2.1366,66.1278,92.3016
1741602016.315,2.066,4.023,1.2081,-0.8710,-4.9903,-2.0948,66.1587,92.2361
1741602016.394,2.068,4.021,1.1989,-0.8713,-4.9862,-2.1085,66.0163,92.2588
1741602016.474,2.065,4.012,1.1874,-0.8716,-4.9800,-2.5457,65.8299,92.6900
1741602016.554,2.065,4.012,1.1755,-0.8714,-4.9743,-2.5794,65.7219,92.7777
1741602016.633,2.064,3.997,1.1657,-0.8716,-4.9698,-2.6914,65.5896,92.8428
1741602016.713,2.064,3.979,1.1583,-0.8716,-4.9661,-2.6587,65.4902,92.7982
1741602016.792,2.066,3.964,1.1530,-0.8714,-4.9636,-2.6242,65.4339,92.7241
1741602016.874,2.064,3.954,1.1493,-0.8715,-4.9620,-2.5531,65.4001,92.6433
1741602016.952,2.064,3.954,1.1457,-0.8715,-4.9603,-2.5362,65.3806,92.5729
1741602017.031,0.677,3.946,1.1406,-0.8718,-4.9577,-2.4481,65.3364,92.5195
1741602017.111,0.671,3.940,1.1336,-0.8717,-4.9547,-2.2723,65.2858,92.3513
1741602017.191,2.060,3.933,1.1261,-0.8713,-4.9513,-2.1474,65.1940,92.2621
1741602017.270,2.060,3.933,1.1184,-0.8717,-4.9476,-2.0850,65.0958,92.2100
1741602017.470,2.061,3.911,1.1013,-0.8717,-4.9391,-2.2173,64.8795,92.3745
1741602017.549,2.060,3.904,1.0950,-0.8716,-4.9360,-2.2315,64.8259,92.4360
1741602017.629,2.061,3.892,1.0888,-0.8719,-4.9328,-2.3441,64.7190,92.5640
1741602017.708,2.061,3.883,1.0823,-0.8718,-4.9295,-2.4437,64.6383,92.6857
1741602017.788,2.060,3.872,1.0758,-0.8719,-4.9263,-2.4198,64.5036,92.6341
1741602017.868,2.060,3.872,1.0691,-0.8720,-4.9229,-2.4024,64.3728,92.6209
1741602017.947,2.058,3.865,1.0622,-0.8720,-4.9195,-2.3909,64.2734,92.6467
1741602018.027,2.056,3.855,1.0554,-0.8719,-4.9163,-2.2004,64.1557,92.5024
