Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1741602014.801,4.073,2.118,0.188,-0.453,1.2138,-0.871,-4.9929,66.1214,-2.1385,92.3292
1741602014.881,4.073,2.116,0.188,-0.451,1.2138,-0.8709,-4.9929,66.1274,-2.1186,92.3007
1741602014.961,4.073,2.116,0.188,-0.45,1.2139,-0.8709,-4.9929,66.132,-2.143,92.3373
1741602015.04,4.072,2.119,0.189,-0.454,1.2138,-0.8711,-4.9928,66.1275,-2.1489,92.3368
1741602015.12,4.072,2.118,0.189,-0.452,1.2138,-0.871,-4.9928,66.1367,-2.136,92.3245
1741602015.199,4.072,2.12,0.189,-0.454,1.2138,-0.8709,-4.9928,66.1431,-2.1329,92.3165
1741602015.279,4.071,2.119,0.19,-0.453,1.2138,-0.8709,-4.9928,66.1359,-2.1206,92.3049
1741602015.359,4.071,2.119,0.19,-0.453,1.2137,-0.871,-4.9928,66.1302,-2.1067,92.2943
1741602015.438,4.072,2.119,0.189,-0.453,1.2137,-0.871,-4.9928,66.1352,-2.1164,92.3144
1741602015.518,4.073,2.12,0.188,-0.455,1.2138,-0.8709,-4.9928,66.1178,-2.0963,92.292
1741602015.598,4.072,2.118,0.189,-0.453,1.2137,-0.8708,-4.9929,66.117,-2.0878,92.2752
1741602015.677,4.072,2.118,0.189,-0.453,1.2137,-0.871,-4.9928,66.1211,-2.1173,92.3013
1741602015.757,4.072,2.118,0.189,-0.452,1.2138,-0.871,-4.9927,66.1345,-2.1165,92.2974
1741602015.837,4.071,2.119,0.19,-0.453,1.2138,-0.871,-4.9927,66.1341,-2.1009,92.2772
1741602015.916,4.071,2.118,0.19,-0.453,1.2137,-0.8709,-4.9928,66.1299,-2.11,92.2806
1741602015.996,4.072,2.119,0.189,-0.454,1.2137,-0.8709,-4.9927,66.1283,-2.1292,92.2946
1741602016.075,4.074,2.12,0.187,-0.454,1.2137,-0.8709,-4.9927,66.1316,-2.1079,92.2778
1741602016.155,4.074,2.12,0.187,-0.454,1.2138,-0.871,-4.9926,66.1337,-2.1228,92.2921
1741602016.235,4.072,2.119,0.189,-0.454,1.2129,-0.8709,-4.9923,66.1278,-2.1366,92.3016
1741602016.315,4.073,2.116,0.188,-0.45,1.2081,-0.871,-4.9903,66.1587,-2.0948,92.2361
1741602016.394,4.071,2.118,0.189,-0.453,1.1989,-0.8713,-4.9862,66.0163,-2.1085,92.2588
1741602016.474,4.062,2.115,0.197,-0.45,1.1874,-0.8716,-4.98,65.8299,-2.5457,92.69
1741602016.633,4.047,2.114,0.211,-0.45,1.1657,-0.8716,-4.9698,65.5896,-2.6914,92.8428
1741602016.713,4.029,2.114,0.228,-0.45,1.1583,-0.8716,-4.9661,65.4902,-2.6587,92.7982
1741602016.792,4.014,2.116,0.243,-0.452,1.153,-0.8714,-4.9636,65.4339,-2.6242,92.7241
1741602016.874,4.004,2.114,0.253,-0.45,1.1493,-0.8715,-4.962,65.4001,-2.5531,92.6433
1741602016.952,4.004,2.114,0.253,-0.45,1.1457,-0.8715,-4.9603,65.3806,-2.5362,92.5729
1741602017.191,3.983,2.11,0.273,-0.447,1.1261,-0.8713,-4.9513,65.194,-2.1474,92.2621
1741602017.27,3.983,2.11,0.273,-0.447,1.1184,-0.8717,-4.9476,65.0958,-2.085,92.21
1741602017.47,3.961,2.111,0.294,-0.448,1.1013,-0.8717,-4.9391,64.8795,-2.2173,92.3745
1741602017.549,3.954,2.11,0.301,-0.447,1.095,-0.8716,-4.936,64.8259,-2.2315,92.436
1741602017.629,3.942,2.111,0.312,-0.449,1.0888,-0.8719,-4.9328,64.719,-2.3441,92.564
1741602017.708,3.933,2.111,0.321,-0.449,1.0823,-0.8718,-4.9295,64.6383,-2.4437,92.6857
1741602017.788,3.922,2.11,0.332,-0.448,1.0758,-0.8719,-4.9263,64.5036,-2.4198,92.6341
1741602017.868,3.922,2.11,0.331,-0.448,1.0691,-0.872,-4.9229,64.3728,-2.4024,92.6209
1741602017.947,3.915,2.108,0.338,-0.446,1.0622,-0.872,-4.9195,64.2734,-2.3909,92.6467
1741602018.027,3.905,2.106,0.348,-0.445,1.0554,-0.8719,-4.9163,64.1557,-2.2004,92.5024
1741602019.082,3.787,2.106,0.463,-0.446,0.9564,-0.873,-4.8651,62.8089,-2.3531,92.627
1741602019.162,3.787,2.106,0.463,-0.446,0.9493,-0.873,-4.8613,62.7513,-2.2726,92.5644
1741602019.241,3.778,2.106,0.472,-0.446,0.942,-0.8731,-4.8576,62.6083,-2.0726,92.394
1741602019.321,3.767,2.104,0.483,-0.444,0.9345,-0.8732,-4.8538,62.5177,-1.9163,92.2331
1741602019.401,3.755,2.103,0.495,-0.443,0.9272,-0.8732,-4.8499,62.3911,-1.868,92.1564
1741602019.48,3.745,2.105,0.505,-0.445,0.9193,-0.8731,-4.8456,62.2737,-1.9584,92.215
1741602019.562,3.745,2.105,0.505,-0.445,0.9109,-0.8731,-4.8408,62.1489,-2.0515,92.3487
1741602019.64,3.734,2.106,0.516,-0.446,0.9023,-0.873,-4.8359,62.0646,-2.1545,92.4851
1741602019.719,3.721,2.107,0.529,-0.447,0.8944,-0.873,-4.8314,61.8898,-2.2423,92.5443
