point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
0,0.03452535300326417,1.2138,0,-4.9929,0.188,0,-0.453,0.194,0.0,-0.419,0
1,0.03255764119219944,1.2138,0,-4.9929,0.188,0,-0.451,0.194,0.0,-0.419,0
2,0.031575306807693916,1.2139,0,-4.9929,0.188,0,-0.45,0.194,0.0,-0.419,0
3,0.03535533905932741,1.2138,0,-4.9928,0.189,0,-0.454,0.194,0.0,-0.419,0
4,0.0333766385365573,1.2138,0,-4.9928,0.189,0,-0.452,0.194,0.0,-0.419,0
5,0.03535533905932741,1.2138,0,-4.9928,0.189,0,-0.454,0.194,0.0,-0.419,0
6,0.03423448553724741,1.2138,0,-4.9928,0.19,0,-0.453,0.194,0.0,-0.419,0
7,0.03423448553724741,1.2137,0,-4.9928,0.19,0,-0.453,0.194,0.0,-0.419,0
8,0.034365680554879194,1.2137,0,-4.9928,0.189,0,-0.453,0.194,0.0,-0.419,0
9,0.03649657518178935,1.2138,0,-4.9928,0.188,0,-0.455,0.194,0.0,-0.419,0
10,0.034365680554879194,1.2137,0,-4.9929,0.189,0,-0.453,0.194,0.0,-0.419,0
11,0.034365680554879194,1.2137,0,-4.9928,0.189,0,-0.453,0.194,0.0,-0.419,0
12,0.0333766385365573,1.2138,0,-4.9927,0.189,0,-0.452,0.194,0.0,-0.419,0
13,0.03423448553724741,1.2138,0,-4.9927,0.19,0,-0.453,0.194,0.0,-0.419,0
14,0.03423448553724741,1.2137,0,-4.9928,0.19,0,-0.453,0.194,0.0,-0.419,0
15,0.03535533905932741,1.2137,0,-4.9927,0.189,0,-0.454,0.194,0.0,-0.419,0
16,0.03569313659514952,1.2137,0,-4.9927,0.187,0,-0.454,0.194,0.0,-0.419,0
17,0.03569313659514952,1.2138,0,-4.9926,0.187,0,-0.454,0.194,0.0,-0.419,0
18,0.03551056180912944,1.2129,0,-4.9923,0.189,0,-0.454,0.195,0.0,-0.419,0
19,0.03417601498127015,1.2081,0,-4.9903,0.188,0,-0.45,0.2,0.0,-0.418,0
20,0.04081666326391713,1.1989,0,-4.9862,0.189,0,-0.453,0.21,0.0,-0.418,0
21,0.041231056256176624,1.1874,0,-4.98,0.197,0,-0.45,0.223,0.0,-0.418,0
22,0.05173973328110612,1.1755,0,-4.9743,0.197,0,-0.451,0.236,0.0,-0.417,1
23,0.04883646178829914,1.1657,0,-4.9698,0.211,0,-0.45,0.247,0.0,-0.417,0
24,0.042638011210655705,1.1583,0,-4.9661,0.228,0,-0.45,0.255,0.0,-0.417,0
25,0.04024922359499625,1.153,0,-4.9636,0.243,0,-0.452,0.261,0.0,-0.416,0
26,0.036055512754639925,1.1493,0,-4.962,0.253,0,-0.45,0.265,0.0,-0.416,0
27,0.037576588456111906,1.1457,0,-4.9603,0.253,0,-0.45,0.269,0.0,-0.416,0
28,1.3500725906409627,1.1406,0,-4.9577,0.261,0,0.934,0.275,0.0,-0.416,1
29,1.3550830232867652,1.1336,0,-4.9547,0.267,0,0.94,0.282,0.0,-0.415,1
30,0.03671511950137164,1.1261,0,-4.9513,0.273,0,-0.447,0.291,0.0,-0.415,0
31,0.04201190307520001,1.1184,0,-4.9476,0.273,0,-0.447,0.299,0.0,-0.414,0
32,0.04161730409336966,1.1013,0,-4.9391,0.294,0,-0.448,0.318,0.0,-0.414,0
33,0.04080441152620636,1.095,0,-4.936,0.301,0,-0.447,0.325,0.0,-0.414,0
34,0.040311288741492785,1.0888,0,-4.9328,0.312,0,-0.449,0.332,0.0,-0.414,0
35,0.039824615503479786,1.0823,0,-4.9295,0.321,0,-0.449,0.34,0.0,-0.414,0
36,0.037161808352124105,1.0758,0,-4.9263,0.332,0,-0.448,0.347,0.0,-0.414,0
37,0.04188078318274385,1.0691,0,-4.9229,0.331,0,-0.448,0.354,0.0,-0.413,0
38,0.040804411526206334,1.0622,0,-4.9195,0.338,0,-0.446,0.362,0.0,-0.413,0
39,0.03883297567789523,1.0554,0,-4.9163,0.348,0,-0.445,0.37,0.0,-0.413,0
40,0.0384707681233427,0.9564,0,-4.8651,0.463,0,-0.446,0.481,0.0,-0.412,0
41,0.0428018691180654,0.9493,0,-4.8613,0.463,0,-0.446,0.489,0.0,-0.412,0
42,0.042201895692018425,0.942,0,-4.8576,0.472,0,-0.446,0.497,0.0,-0.412,0
