Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1741944428.051,1.155,2.107,3.095,-0.447,2.1985,1.4693,5.876,132.9777,178.9183,-9.7042
1741944428.131,1.174,2.107,3.078,-0.444,2.1711,1.4648,5.8726,130.2227,172.4326,-12.7799
1741944428.21,1.197,2.107,3.054,-0.446,2.1507,1.4501,5.8733,135.1951,171.227,-10.8625
1741944428.29,1.227,2.113,3.023,-0.453,2.136,1.4395,5.8722,134.391,172.608,-10.3062
1741944428.369,1.251,2.113,2.999,-0.453,2.1272,1.4239,5.8737,132.6193,173.5082,-8.2503
1741944428.449,1.251,2.114,2.999,-0.454,2.1209,1.4139,5.8733,132.3066,174.8049,-7.4769
1741944428.529,1.274,2.114,2.977,-0.453,2.118,1.4014,5.8753,131.5448,176.3724,-6.0376
1741944488.065,2.086,2.959,2.179,-1.278,0.9736,1.5214,5.8698,140.2752,-178.5098,-9.2085
1741944488.145,2.067,2.959,2.199,-1.276,0.9862,1.5308,5.8707,140.6215,-178.4212,-9.4692
1741944488.224,2.045,2.968,2.221,-1.285,0.9987,1.5567,5.8684,140.6683,-178.5122,-9.7131
1741944506.882,2.105,3.059,2.153,-1.387,0.84,1.5215,5.87,138.5288,-178.0959,-7.1681
1741944506.962,2.105,3.061,2.154,-1.388,0.8283,1.5245,5.8708,138.7869,-178.3217,-7.3508
1741944507.041,2.126,3.052,2.134,-1.377,0.8159,1.5176,5.8715,139.1193,-178.642,-7.329
1741944507.121,2.149,3.052,2.113,-1.375,0.8043,1.5044,5.873,139.5353,-178.5683,-7.5135
1741944507.201,2.171,3.057,2.092,-1.379,0.7913,1.4919,5.8747,139.7774,-178.8566,-7.4426
1741944507.28,2.192,3.056,2.071,-1.378,0.7795,1.4839,5.8733,139.7669,-178.8073,-6.9681
1741944507.36,2.192,3.052,2.07,-1.375,0.7671,1.4711,5.871,139.5194,-178.8214,-6.4635
1741944555.606,2.679,3.661,1.571,-2.0,0.0063,1.5115,5.8829,134.5202,-179.5592,-0.003
1741944555.806,2.706,3.659,1.544,-1.998,-0.0136,1.4891,5.8832,134.4778,-179.6063,0.044
1741944556.005,2.741,3.661,1.509,-2.0,-0.0344,1.4663,5.8831,134.4653,-179.5625,-0.0516
1741944556.204,2.766,3.66,1.484,-2.0,-0.0541,1.4445,5.8828,134.4103,-179.4224,0.017
1741944556.283,2.766,3.66,1.484,-2.0,-0.0582,1.4348,5.8845,134.2217,-178.6416,0.6398
1741944556.363,2.779,3.657,1.471,-1.997,-0.0624,1.4276,5.8852,134.1427,-177.9807,1.0877
1741944556.443,2.798,3.659,1.452,-1.999,-0.069,1.4196,5.8854,133.9747,-177.7025,1.2728
1741944577.79,3.249,4.139,1.03,-2.442,-0.696,1.4445,5.8818,141.1863,-178.4059,1.1587
1741944577.868,3.249,4.139,1.017,-2.459,-0.6884,1.4493,5.882,139.1008,-179.0487,1.6412
1741944577.947,3.235,4.142,1.029,-2.464,-0.6868,1.4507,5.8818,138.799,-179.0294,1.1856
1741944578.027,3.217,4.133,1.044,-2.459,-0.6874,1.4528,5.8821,138.2966,179.8495,1.0326
1741944578.107,3.216,4.134,1.044,-2.461,-0.6855,1.4569,5.8829,138.0456,179.1792,1.1933
1741944578.188,3.219,4.133,1.043,-2.458,-0.6782,1.4672,5.8828,138.4161,178.8877,1.2874
1741944578.266,3.219,4.133,1.047,-2.452,-0.6687,1.4792,5.8827,139.2878,178.4695,1.2496
1741944578.346,3.212,4.139,1.058,-2.453,-0.6577,1.4932,5.8826,139.8784,178.437,1.095
1741944578.425,3.196,4.144,1.078,-2.452,-0.6422,1.5116,5.8814,140.5826,-179.9527,-0.9564
1741944578.505,3.178,4.154,1.094,-2.465,-0.632,1.5238,5.8818,140.2967,-179.6638,-1.1598
1741944610.205,3.256,4.245,1.0,-2.577,-0.8048,1.4988,5.8811,130.0587,179.4141,-3.4899
1741944610.364,3.274,4.257,0.976,-2.597,-0.8198,1.488,5.8818,134.2191,-179.9656,-3.3283
1741944610.443,3.279,4.252,0.974,-2.588,-0.8247,1.4764,5.8829,135.8535,-177.4647,-3.8586
1741944610.523,3.279,4.252,0.975,-2.587,-0.8332,1.4599,5.8828,136.3594,-177.2645,-2.1406
1741944610.603,3.293,4.243,0.959,-2.581,-0.8444,1.4435,5.8825,135.376,-176.8009,0.0043
1741944610.682,3.313,4.236,0.938,-2.574,-0.8568,1.4306,5.8821,135.0863,-177.2881,0.0883
1741944610.762,3.333,4.25,0.918,-2.589,-0.8676,1.4182,5.8824,134.7623,-177.4881,0.474
1741944610.842,3.357,4.25,0.894,-2.589,-0.8795,1.4065,5.8824,134.4891,-177.6906,0.3898
1741944610.921,3.357,4.247,0.894,-2.586,-0.8899,1.3968,5.884,134.8956,-179.0602,1.3781
1741944620.24,3.875,4.811,0.375,-3.151,-1.6112,1.4981,5.8811,134.1693,-179.247,-0.5535
1741944651.701,3.946,4.831,0.334,-3.135,-1.6905,1.3792,5.8784,126.4787,-177.6878,-1.0762
1741944655.962,4.075,5.076,0.181,-3.409,-1.9797,1.6276,5.913,136.5717,179.5914,2.0808
