point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
0,0.6941649659843109,1.4472,0,-2.0845,6.783,0,2.975,7.255,0.0,2.466,1
1,0.6934853999905116,1.4472,0,-2.0845,6.784,0,2.975,7.255,0.0,2.466,1
2,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
3,0.691338556714436,1.4472,0,-2.0845,6.785,0,2.973,7.255,0.0,2.466,1
4,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
5,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
6,0.6941131031755559,1.4472,0,-2.0845,6.782,0,2.974,7.255,0.0,2.466,1
7,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
8,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
9,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
10,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
11,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
12,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
13,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
14,0.6920722505634797,1.4472,0,-2.0845,6.785,0,2.974,7.255,0.0,2.466,1
15,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
16,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
17,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
18,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
19,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
20,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
21,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
22,0.6920187858721755,1.4472,0,-2.0845,6.784,0,2.973,7.255,0.0,2.466,1
23,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
24,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
25,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
26,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
27,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
28,0.6926997906741413,1.4472,0,-2.0845,6.783,0,2.973,7.255,0.0,2.466,1
29,0.6934320442552389,1.4472,0,-2.0845,6.783,0,2.974,7.255,0.0,2.466,1
30,0.6927517592904403,1.4472,0,-2.0845,6.784,0,2.974,7.255,0.0,2.466,1
31,0.6926997906741413,1.4471,0,-2.0844,6.782,0,2.973,7.254,0.0,2.466,1
32,0.6926507056229714,1.4468,0,-2.0833,6.78,0,2.971,7.253,0.0,2.465,1
33,0.6905070600652824,1.445,0,-2.0793,6.777,0,2.969,7.249,0.0,2.465,1
34,0.6882419632658267,1.4416,0,-2.0725,6.767,0,2.964,7.241,0.0,2.465,1
35,0.6875536342715381,1.4377,0,-2.0648,6.76,0,2.963,7.233,0.0,2.464,1
36,0.6880966501880389,1.4338,0,-2.0573,6.745,0,2.958,7.224,0.0,2.464,1
37,0.6873441641565017,1.4299,0,-2.0495,6.735,0,2.955,7.216,0.0,2.464,1
38,0.6859300255857003,1.4274,0,-2.044,6.73,0,2.953,7.21,0.0,2.463,1
39,0.6880181683647602,1.4253,0,-2.0388,6.719,0,2.951,7.204,0.0,2.463,1
40,0.6930007215003459,1.4233,0,-2.0353,6.705,0,2.948,7.2,0.0,2.463,1
41,0.6944955003453944,1.4207,0,-2.0301,6.694,0,2.944,7.194,0.0,2.462,1
