x,y,z,roll,yaw,pitch
-0.0998,-1.1747,-4.3569,-176.0745,120.4038,-92.0108
-0.4845,-1.1820,-4.6029,-175.9088,118.9609,-92.2611
-0.7667,-1.1929,-4.5493,-175.8799,120.7919,-92.4410
-1.0537,-1.1995,-4.6659,-176.3830,120.5700,-92.0471
-1.0952,-1.1958,-4.8393,-176.8236,122.6261,-91.6731
0.2623,-1.1848,-3.9508,175.8641,122.4401,-86.5472
0.9488,-1.1954,-3.6886,176.4585,123.4774,-88.6015
1.2488,-1.2106,-3.2673,176.8344,121.0274,-88.7181
1.4611,-1.2551,-3.3229,178.0059,121.8135,-87.6669
1.3024,-1.2454,-2.2162,177.0795,120.7504,-86.3305
0.8721,-1.2410,-1.8365,177.9009,120.4167,-87.7443
0.7418,-1.2320,-1.2298,176.9302,122.2665,-86.2883
0.3796,-1.2320,-1.0902,177.8303,122.4290,-86.8274
0.1693,-1.2278,-0.6635,176.9927,122.8362,-86.0872
-0.0823,-1.2204,-0.3359,176.1672,120.6027,-85.3993
-1.2929,-1.2920,-4.6556,179.3849,124.8928,-89.2348
-0.6404,-1.2794,-4.4967,-179.6110,121.0360,-89.7227
-1.4504,-1.2925,-4.1459,178.9144,122.2619,-89.0439
-1.3151,-1.2902,-3.8830,179.0684,121.0855,-88.6625
-1.7257,-1.2907,-3.5631,178.6197,124.4713,-88.4820
-2.0173,-1.2950,-3.6554,177.9417,122.9440,-88.0751
-2.3433,-1.2878,-2.8578,178.1851,121.6471,-87.7603
-2.2770,-1.2806,-2.2535,178.2116,123.1561,-87.6787
-2.2118,-1.2711,-1.6768,178.0381,125.4630,-86.7626
-1.5354,-1.2615,-1.7706,177.7259,117.8562,-86.3293
-1.3973,-1.2688,-2.3268,179.5664,119.9431,-88.3442
-1.1841,-1.2697,-2.8344,178.3621,123.0128,-87.5429
-1.3707,-1.2817,-3.3090,178.1230,123.2388,-87.1126
-1.0327,-1.2813,-3.7165,178.5652,120.7725,-87.8516
-0.6266,-1.2726,-3.4886,179.4700,120.6349,-88.1691
-0.1604,-1.2547,-3.2312,179.0496,121.5829,-87.7101
0.3403,-1.2468,-3.0210,179.7477,123.1833,-89.3900
0.7473,-1.2437,-3.1520,179.7566,121.0401,-89.3489
0.5864,-1.2448,-2.9007,179.0943,122.7969,-88.6840
0.4575,-1.2383,-2.1249,178.4819,120.9070,-88.0189
-0.0383,-1.2395,-1.3625,178.1716,120.8494,-87.4761
-0.1934,-1.2264,-0.4159,177.1085,121.6430,-86.0825
-0.6154,-1.2339,-0.5706,178.1703,125.7824,-87.1604
