x,y,z,roll,yaw,pitch,laser_x,laser_z
-0.1,-1.175,-4.357,-176.074,120.404,-92.011,1.354,0.252
-0.484,-1.182,-4.603,-175.909,118.961,-92.261,0.898,0.24
-0.767,-1.193,-4.549,-175.88,120.792,-92.441,0.689,0.43
-1.054,-1.2,-4.666,-176.383,120.57,-92.047,0.377,0.481
-1.095,-1.196,-4.839,-176.824,122.626,-91.673,0.251,0.351
0.262,-1.185,-3.951,175.864,122.44,-86.547,1.861,0.413
0.949,-1.195,-3.689,176.458,123.477,-88.602,2.557,0.271
1.249,-1.211,-3.267,176.834,121.027,-88.718,3.057,0.474
1.461,-1.255,-3.323,178.006,121.814,-87.667,3.202,0.261
1.302,-1.245,-2.216,177.08,120.75,-86.33,3.661,1.284
0.872,-1.241,-1.836,177.901,120.417,-87.744,3.499,1.834
0.742,-1.232,-1.23,176.93,122.266,-86.288,3.705,2.479
0.38,-1.232,-1.09,177.83,122.429,-86.827,3.332,2.839
0.169,-1.228,-0.664,176.993,122.836,-86.087,3.408,3.311
-0.082,-1.22,-0.336,176.167,120.603,-85.399,3.372,3.723
-1.293,-1.292,-4.656,179.385,124.893,-89.235,0.183,0.569
-0.64,-1.279,-4.497,-179.611,121.036,-89.723,0.823,0.378
-1.45,-1.292,-4.146,178.914,122.262,-89.044,0.31,1.091
-1.315,-1.29,-3.883,179.068,121.086,-88.662,0.56,1.25
-1.726,-1.291,-3.563,178.62,124.471,-88.482,0.378,1.728
-2.017,-1.295,-3.655,177.942,122.944,-88.075,0.08,1.802
-2.343,-1.288,-2.858,178.185,121.647,-87.76,0.2,2.643
-2.277,-1.281,-2.254,178.212,123.156,-87.679,0.58,3.127
-2.212,-1.271,-1.677,178.038,125.463,-86.763,0.927,3.585
-1.535,-1.262,-1.771,177.726,117.856,-86.329,1.46,3.156
-1.397,-1.269,-2.327,179.566,119.943,-88.344,1.301,2.609
-1.184,-1.27,-2.834,178.362,123.013,-87.543,1.215,2.069
-1.371,-1.282,-3.309,178.123,123.239,-87.113,0.813,1.758
-1.033,-1.281,-3.716,178.565,120.772,-87.852,0.891,1.241
-0.627,-1.273,-3.489,179.47,120.635,-88.169,1.358,1.229
-0.16,-1.255,-3.231,179.05,121.583,-87.71,1.884,1.203
0.34,-1.247,-3.021,179.748,123.183,-89.39,2.417,1.119
0.747,-1.244,-3.152,179.757,121.04,-89.349,2.687,0.805
0.586,-1.245,-2.901,179.094,122.797,-88.684,2.689,1.096
0.458,-1.238,-2.125,178.482,120.907,-88.019,2.981,1.828
-0.038,-1.24,-1.362,178.172,120.849,-87.476,2.954,2.734
-0.193,-1.226,-0.416,177.108,121.643,-86.082,3.312,3.619
-0.615,-1.234,-0.571,178.17,125.782,-87.16,2.89,3.703
