Recorded Coordinates:
[1] x=0.2951, y=-1.3015, z=-4.5506, roll=0.0305, yaw=42.9893, pitch=90.8790
[2] x=0.2917, y=-1.2993, z=-4.5471, roll=-178.1197, yaw=130.6121, pitch=-91.4085
[3] x=0.2864, y=-1.2963, z=-4.5432, roll=-179.9753, yaw=-139.3609, pitch=-91.3525
[4] x=0.4925, y=-1.2940, z=-4.4974, roll=-179.5463, yaw=176.5718, pitch=-91.0422
[5] x=0.4926, y=-1.2953, z=-4.4990, roll=171.8455, yaw=-92.3839, pitch=-99.0701
[6] x=0.4885, y=-1.2930, z=-4.4936, roll=-27.0877, yaw=88.0774, pitch=117.2713
[7] x=0.4907, y=-1.2940, z=-4.4936, roll=0.5001, yaw=-2.1407, pitch=90.1408
[8] x=-1.1647, y=-1.3125, z=-4.1085, roll=-1.6362, yaw=41.3346, pitch=91.2212
[9] x=-1.1631, y=-1.3120, z=-4.1066, roll=-178.4147, yaw=132.1586, pitch=-91.0809
[10] x=-1.1628, y=-1.3113, z=-4.1042, roll=-179.4172, yaw=-137.0132, pitch=-90.5163
[11] x=-1.1698, y=-1.3076, z=-4.2603, roll=-25.0966, yaw=85.8989, pitch=113.8077
[12] x=-1.1781, y=-1.3011, z=-4.2552, roll=-0.5239, yaw=-2.9703, pitch=91.0061
[13] x=-1.1621, y=-1.3070, z=-4.2635, roll=179.9085, yaw=177.0501, pitch=-91.0275
[14] x=-1.1548, y=-1.3102, z=-4.2703, roll=166.9242, yaw=-93.8547, pitch=-102.8492
