Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1740639392.326,2.087,3.895,0.318,0.474,-1.0536,-1.1276,-4.7217,33.8806,0.8542,90.742
1740639392.406,2.089,3.894,0.32,0.475,-1.0536,-1.1276,-4.7215,33.8817,0.8473,90.7435
1740639392.486,2.088,3.896,0.319,0.473,-1.0537,-1.1275,-4.7215,33.884,0.8553,90.7324
1740639392.565,2.088,3.896,0.319,0.473,-1.0537,-1.1274,-4.7215,33.8893,0.843,90.7288
1740639392.645,2.088,3.895,0.319,0.474,-1.0538,-1.1275,-4.7213,33.891,0.8476,90.7229
1740639392.724,2.088,3.896,0.319,0.473,-1.0537,-1.1275,-4.7215,33.8884,0.8452,90.72
1740639392.804,2.087,3.896,0.318,0.473,-1.0536,-1.1276,-4.7216,33.8879,0.8393,90.7178
1740639392.884,2.09,3.896,0.321,0.473,-1.0535,-1.1276,-4.7217,33.888,0.8513,90.716
1740639392.963,2.089,3.896,0.32,0.473,-1.0535,-1.1276,-4.7217,33.8943,0.8558,90.7102
1740639393.043,2.088,3.895,0.319,0.474,-1.0537,-1.1276,-4.7217,33.8977,0.8588,90.7223
1740639393.123,2.088,3.895,0.319,0.474,-1.0536,-1.1276,-4.7217,33.8918,0.8548,90.7317
1740639393.202,2.089,3.894,0.32,0.475,-1.0538,-1.1275,-4.7216,33.8936,0.8656,90.7433
1740639393.282,2.088,3.896,0.319,0.473,-1.0537,-1.1276,-4.7217,33.8914,0.8634,90.7476
1740639393.362,2.088,3.896,0.319,0.473,-1.0536,-1.1276,-4.7217,33.8904,0.8539,90.7438
1740639393.441,2.086,3.895,0.317,0.474,-1.0537,-1.1276,-4.7217,33.8818,0.8478,90.7513
1740639393.521,2.086,3.896,0.317,0.473,-1.054,-1.1276,-4.7214,33.8753,0.8365,90.7627
1740639393.601,2.089,3.896,0.32,0.473,-1.0561,-1.1277,-4.7178,33.9713,0.925,90.6811
1740639393.68,2.089,3.895,0.32,0.474,-1.0637,-1.1283,-4.707,33.9745,0.9588,90.7042
