Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1740983054.381,2.043,4.038,0.272,0.336,-1.0658,-1.1994,-4.8176,34.7586,0.5298,90.3393
1740983054.46,2.043,4.038,0.272,0.336,-1.0656,-1.1995,-4.8177,34.7601,0.5426,90.324
1740983054.54,2.043,4.038,0.272,0.336,-1.0657,-1.1995,-4.8179,34.7496,0.5449,90.3379
1740983054.62,2.043,4.038,0.272,0.336,-1.0657,-1.1995,-4.8177,34.7465,0.5418,90.3374
1740983054.699,2.042,4.04,0.271,0.334,-1.0657,-1.1994,-4.8175,34.7471,0.5535,90.3362
1740983054.779,2.042,4.04,0.271,0.334,-1.0658,-1.1994,-4.8177,34.7466,0.5574,90.3206
1740983054.859,2.043,4.039,0.272,0.335,-1.0657,-1.1995,-4.8178,34.7475,0.5435,90.3272
1740983054.938,2.043,4.039,0.272,0.335,-1.0657,-1.1995,-4.8178,34.7388,0.5416,90.3276
1740983055.018,2.042,4.04,0.271,0.334,-1.0658,-1.1994,-4.8176,34.745,0.5428,90.3329
1740983055.098,2.042,4.039,0.271,0.335,-1.0656,-1.1995,-4.8177,34.7492,0.5351,90.3306
1740983055.177,2.042,4.039,0.271,0.335,-1.0657,-1.1994,-4.8178,34.741,0.5286,90.3331
1740983055.257,2.044,4.039,0.273,0.335,-1.0658,-1.1994,-4.8176,34.7454,0.5219,90.35
1740983055.337,2.043,4.039,0.272,0.335,-1.0658,-1.1995,-4.8177,34.7537,0.5286,90.3454
1740983055.416,2.043,4.04,0.272,0.334,-1.0656,-1.1994,-4.8179,34.7493,0.5305,90.3338
1740983055.496,2.043,4.039,0.272,0.335,-1.0658,-1.1994,-4.8176,34.7552,0.5328,90.3447
1740983055.575,2.044,4.039,0.273,0.335,-1.0658,-1.1994,-4.8177,34.7545,0.5343,90.3307
1740983055.655,2.044,4.038,0.273,0.336,-1.0657,-1.1995,-4.8176,34.7568,0.5334,90.3281
1740983055.735,2.043,4.04,0.272,0.334,-1.0656,-1.1995,-4.8177,34.7501,0.5384,90.3177
1740983055.814,2.044,4.038,0.273,0.336,-1.0659,-1.1994,-4.8176,34.7574,0.5467,90.3226
1740983055.894,2.044,4.039,0.273,0.335,-1.0657,-1.1995,-4.8176,34.751,0.5344,90.3297
1740983055.974,2.043,4.039,0.272,0.335,-1.0657,-1.1994,-4.8176,34.75,0.5364,90.3319
1740983056.053,2.043,4.039,0.272,0.335,-1.0657,-1.1993,-4.8174,34.7477,0.5466,90.3331
1740983056.133,2.043,4.039,0.272,0.335,-1.0656,-1.1994,-4.8178,34.7508,0.5397,90.3275
1740983056.213,2.044,4.039,0.273,0.335,-1.0656,-1.1996,-4.8178,34.7476,0.5474,90.3344
1740983056.294,2.044,4.04,0.273,0.334,-1.0657,-1.1994,-4.8177,34.7459,0.5468,90.3344
1740983056.372,2.043,4.04,0.272,0.334,-1.0656,-1.1994,-4.8177,34.75,0.5459,90.3349
1740983056.452,2.043,4.04,0.272,0.334,-1.0657,-1.1994,-4.8177,34.7519,0.5675,90.3029
1740983056.531,2.042,4.04,0.271,0.334,-1.0691,-1.1993,-4.8122,34.738,0.5513,90.3489
1740983056.611,2.045,4.038,0.275,0.335,-1.0786,-1.1997,-4.7967,34.5579,0.4094,90.4476
1740983056.691,2.045,4.038,0.276,0.333,-1.0952,-1.1999,-4.7722,34.181,0.6039,90.2441
1740983056.77,2.044,4.027,0.275,0.343,-1.1141,-1.2008,-4.7432,33.9387,0.5873,90.3281
1740983056.85,2.041,3.996,0.273,0.372,-1.13,-1.2014,-4.7173,33.6205,0.5334,90.5277
1740983056.929,2.04,3.949,0.272,0.418,-1.1406,-1.2019,-4.7006,33.4384,0.5609,90.5221
1740983057.009,2.035,3.911,0.268,0.456,-1.1469,-1.2015,-4.6904,33.3305,0.5571,90.4277
1740983057.089,2.035,3.911,0.268,0.455,-1.1506,-1.2022,-4.6846,33.2514,0.5339,90.3921
1740983057.168,2.035,3.891,0.268,0.475,-1.1533,-1.2027,-4.6805,33.2808,0.5996,90.2639
1740983057.248,2.03,3.874,0.263,0.492,-1.1583,-1.2026,-4.6725,33.1209,0.5885,90.294
1740983057.328,2.028,3.869,0.261,0.496,-1.1663,-1.2037,-4.6603,33.0208,0.7431,90.2539
1740983057.407,2.027,3.857,0.26,0.508,-1.1766,-1.2041,-4.6436,32.9371,0.6909,90.159
1740983057.487,2.027,3.857,0.261,0.507,-1.1878,-1.2036,-4.6245,32.6524,0.5504,90.3938
1740983057.566,2.024,3.841,0.258,0.522,-1.1986,-1.2042,-4.6058,32.3353,0.4381,90.3613
1740983057.646,2.037,3.813,0.272,0.549,-1.2089,-1.2045,-4.5891,32.0002,0.6155,90.2307
1740983057.726,2.039,3.786,0.274,0.576,-1.2178,-1.2042,-4.5739,31.6669,0.6258,90.2477
1740983057.806,2.033,3.76,0.268,0.601,-1.2251,-1.2048,-4.561,31.5947,0.5773,90.2221
1740983057.885,2.033,3.76,0.268,0.601,-1.2322,-1.2053,-4.5491,31.3591,0.5699,90.2539
1740983057.965,2.035,3.737,0.27,0.624,-1.237,-1.2056,-4.5404,31.3026,0.4758,90.3453
1740983058.044,2.04,3.719,0.275,0.642,-1.2378,-1.2056,-4.539,31.272,0.4733,90.3599
1740983058.124,2.042,3.708,0.277,0.653,-1.2371,-1.2059,-4.54,31.2743,0.4206,90.391
1740983058.204,2.042,3.702,0.278,0.659,-1.237,-1.2056,-4.5406,31.2527,0.4624,90.3798
1740983058.283,2.042,3.702,0.277,0.659,-1.2368,-1.2057,-4.5407,31.2688,0.4317,90.4053
1740983058.363,2.043,3.703,0.279,0.658,-1.2368,-1.2058,-4.5407,31.2661,0.432,90.4153
1740983058.443,2.042,3.707,0.277,0.654,-1.2369,-1.2057,-4.5406,31.2922,0.4448,90.3986
1740983058.522,2.041,3.704,0.276,0.657,-1.2369,-1.2058,-4.5405,31.3036,0.4546,90.3938
1740983058.602,2.042,3.704,0.277,0.657,-1.2368,-1.2057,-4.5405,31.2834,0.4442,90.4055
1740983058.682,2.042,3.704,0.277,0.657,-1.2368,-1.2057,-4.5405,31.2883,0.4465,90.39
