Recorded Coordinates:
[1] x=1.0663, y=-1.0497, z=-4.5756, roll=0.9013, yaw=56.0226, pitch=90.1664
[2] x=1.0953, y=-1.0487, z=-4.5916, roll=1.2377, yaw=56.6886, pitch=89.3967
[3] x=1.0908, y=-1.0486, z=-4.5920, roll=-179.2950, yaw=148.0405, pitch=-90.5853
[4] x=1.0937, y=-1.0476, z=-4.5927, roll=-179.0241, yaw=-123.0951, pitch=-90.8819
[5] x=1.0970, y=-1.0468, z=-4.5887, roll=2.2338, yaw=-32.5727, pitch=90.5529
[6] x=1.7360, y=-1.0330, z=-3.4994, roll=2.1040, yaw=-34.1714, pitch=90.7948
[7] x=2.1661, y=-1.0262, z=-2.7688, roll=2.1175, yaw=-32.4705, pitch=90.8354
[8] x=1.6056, y=-1.0400, z=-2.8047, roll=1.9807, yaw=-32.7427, pitch=90.9560
[9] x=2.0461, y=-1.0277, z=-3.1013, roll=-0.1145, yaw=56.8381, pitch=91.1797
[10] x=1.5795, y=-1.0526, z=-1.7253, roll=-178.9430, yaw=145.8918, pitch=-90.0652
[11] x=1.7176, y=-1.0484, z=-1.6440, roll=-178.9724, yaw=146.6444, pitch=-90.1963
[12] x=0.9845, y=-1.0656, z=-1.3112, roll=-178.6339, yaw=145.7026, pitch=-90.7802
[13] x=0.1520, y=-1.0888, z=-0.6389, roll=-179.2893, yaw=-123.5578, pitch=-90.4341
[14] x=-0.4778, y=-1.1047, z=-0.8004, roll=-178.9796, yaw=-125.7373, pitch=-90.3072
[15] x=-0.3172, y=-1.0878, z=-4.3116, roll=-179.0330, yaw=121.6893, pitch=-90.9266
[16] x=-0.3149, y=-1.0846, z=-4.2987, roll=-179.7327, yaw=175.2604, pitch=-90.7245
[17] x=1.2595, y=-1.0402, z=-4.4502, roll=179.3680, yaw=-123.1411, pitch=-92.3298
[18] x=1.2651, y=-1.0425, z=-4.4240, roll=13.0947, yaw=-82.1392, pitch=101.8807
[19] x=1.2101, y=-1.0421, z=-4.4020, roll=-178.6741, yaw=-166.0182, pitch=-92.7536
[20] x=1.2521, y=-1.0394, z=-4.3802, roll=-177.9341, yaw=106.1353, pitch=-91.9090
