Recorded Coordinates:
[1] x=-0.0998, y=-1.1747, z=-4.3569, roll=-176.0745, yaw=120.4038, pitch=-92.0108
[2] x=-0.4845, y=-1.1820, z=-4.6029, roll=-175.9088, yaw=118.9609, pitch=-92.2611
[3] x=-0.7667, y=-1.1929, z=-4.5493, roll=-175.8799, yaw=120.7919, pitch=-92.4410
[4] x=-1.0537, y=-1.1995, z=-4.6659, roll=-176.3830, yaw=120.5700, pitch=-92.0471
[5] x=-1.0952, y=-1.1958, z=-4.8393, roll=-176.8236, yaw=122.6261, pitch=-91.6731
[6] x=0.2623, y=-1.1848, z=-3.9508, roll=175.8641, yaw=122.4401, pitch=-86.5472
[7] x=0.9488, y=-1.1954, z=-3.6886, roll=176.4585, yaw=123.4774, pitch=-88.6015
[8] x=1.2488, y=-1.2106, z=-3.2673, roll=176.8344, yaw=121.0274, pitch=-88.7181
[9] x=1.4611, y=-1.2551, z=-3.3229, roll=178.0059, yaw=121.8135, pitch=-87.6669
[10] x=1.3024, y=-1.2454, z=-2.2162, roll=177.0795, yaw=120.7504, pitch=-86.3305
[11] x=0.8721, y=-1.2410, z=-1.8365, roll=177.9009, yaw=120.4167, pitch=-87.7443
[12] x=0.7418, y=-1.2320, z=-1.2298, roll=176.9302, yaw=122.2665, pitch=-86.2883
[13] x=0.3796, y=-1.2320, z=-1.0902, roll=177.8303, yaw=122.4290, pitch=-86.8274
[14] x=0.1693, y=-1.2278, z=-0.6635, roll=176.9927, yaw=122.8362, pitch=-86.0872
[15] x=-0.0823, y=-1.2204, z=-0.3359, roll=176.1672, yaw=120.6027, pitch=-85.3993
