Recorded Coordinates:
[1] x=-1.2929, y=-1.2920, z=-4.6556, roll=179.3849, yaw=124.8928, pitch=-89.2348
[2] x=-0.6404, y=-1.2794, z=-4.4967, roll=-179.6110, yaw=121.0360, pitch=-89.7227
[3] x=-1.4504, y=-1.2925, z=-4.1459, roll=178.9144, yaw=122.2619, pitch=-89.0439
[4] x=-1.3151, y=-1.2902, z=-3.8830, roll=179.0684, yaw=121.0855, pitch=-88.6625
[5] x=-1.7257, y=-1.2907, z=-3.5631, roll=178.6197, yaw=124.4713, pitch=-88.4820
[6] x=-2.0173, y=-1.2950, z=-3.6554, roll=177.9417, yaw=122.9440, pitch=-88.0751
[7] x=-2.3433, y=-1.2878, z=-2.8578, roll=178.1851, yaw=121.6471, pitch=-87.7603
[8] x=-2.2770, y=-1.2806, z=-2.2535, roll=178.2116, yaw=123.1561, pitch=-87.6787
[9] x=-2.2118, y=-1.2711, z=-1.6768, roll=178.0381, yaw=125.4630, pitch=-86.7626
[10] x=-1.5354, y=-1.2615, z=-1.7706, roll=177.7259, yaw=117.8562, pitch=-86.3293
[11] x=-1.3973, y=-1.2688, z=-2.3268, roll=179.5664, yaw=119.9431, pitch=-88.3442
[12] x=-1.1841, y=-1.2697, z=-2.8344, roll=178.3621, yaw=123.0128, pitch=-87.5429
[13] x=-1.3707, y=-1.2817, z=-3.3090, roll=178.1230, yaw=123.2388, pitch=-87.1126
[14] x=-1.0327, y=-1.2813, z=-3.7165, roll=178.5652, yaw=120.7725, pitch=-87.8516
[15] x=-0.6266, y=-1.2726, z=-3.4886, roll=179.4700, yaw=120.6349, pitch=-88.1691
[16] x=-0.1604, y=-1.2547, z=-3.2312, roll=179.0496, yaw=121.5829, pitch=-87.7101
[17] x=0.3403, y=-1.2468, z=-3.0210, roll=179.7477, yaw=123.1833, pitch=-89.3900
[18] x=0.7473, y=-1.2437, z=-3.1520, roll=179.7566, yaw=121.0401, pitch=-89.3489
[19] x=0.5864, y=-1.2448, z=-2.9007, roll=179.0943, yaw=122.7969, pitch=-88.6840
[20] x=0.4575, y=-1.2383, z=-2.1249, roll=178.4819, yaw=120.9070, pitch=-88.0189
[21] x=-0.0383, y=-1.2395, z=-1.3625, roll=178.1716, yaw=120.8494, pitch=-87.4761
[22] x=-0.1934, y=-1.2264, z=-0.4159, roll=177.1085, yaw=121.6430, pitch=-86.0825
[23] x=-0.6154, y=-1.2339, z=-0.5706, roll=178.1703, yaw=125.7824, pitch=-87.1604
