Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch,X_aligned,Z_aligned,Error,High_Error_Flag
1740983054.381,2.043,4.038,0.272,0.336,-1.0658,-1.1994,-4.8176,34.7586,0.5298,90.3393,0.26636896108179764,0.13311591504425735,0.20011597719632102,1
1740983054.46,2.043,4.038,0.272,0.336,-1.0656,-1.1995,-4.8177,34.7601,0.5426,90.324,0.26648743424399157,0.1329262729871088,0.20029973826266298,1
1740983054.54,2.043,4.038,0.272,0.336,-1.0657,-1.1995,-4.8179,34.7496,0.5449,90.3379,0.266297792186843,0.13280779982491664,0.20042716843629343,1
1740983054.62,2.043,4.038,0.272,0.336,-1.0657,-1.1995,-4.8177,34.7465,0.5418,90.3374,0.2664021165676842,0.1329784351775296,0.2002517060112349,1
1740983054.699,2.042,4.04,0.271,0.334,-1.0657,-1.1994,-4.8175,34.7471,0.5535,90.3362,0.2665064409485258,0.13314907053014347,0.20007628963330315,1
1740983054.779,2.042,4.04,0.271,0.334,-1.0658,-1.1994,-4.8177,34.7466,0.5574,90.3206,0.2663167988913764,0.13303059736794998,0.2002037121851865,1
1740983054.859,2.043,4.039,0.272,0.335,-1.0657,-1.1995,-4.8178,34.7475,0.5435,90.3272,0.2663499543772634,0.13289311750122312,0.20033943147543423,1
1740983054.938,2.043,4.039,0.272,0.335,-1.0657,-1.1995,-4.8178,34.7388,0.5416,90.3276,0.2663499543772634,0.13289311750122312,0.20033943147543423,1
1740983055.018,2.042,4.04,0.271,0.334,-1.0658,-1.1994,-4.8176,34.745,0.5428,90.3329,0.26636896108179764,0.13311591504425735,0.20011597719632102,1
1740983055.098,2.042,4.039,0.271,0.335,-1.0656,-1.1995,-4.8177,34.7492,0.5351,90.3306,0.26648743424399157,0.1329262729871088,0.20029973826266298,1
1740983055.177,2.042,4.039,0.271,0.335,-1.0657,-1.1994,-4.8178,34.741,0.5286,90.3331,0.2663499543772634,0.13289311750122312,0.20033943147543423,1
1740983055.257,2.044,4.039,0.273,0.335,-1.0658,-1.1994,-4.8176,34.7454,0.5219,90.35,0.26636896108179764,0.13311591504425735,0.20011597719632102,1
1740983055.337,2.043,4.039,0.272,0.335,-1.0658,-1.1995,-4.8177,34.7537,0.5286,90.3454,0.2663167988913764,0.13303059736794998,0.2002037121851865,1
1740983055.416,2.043,4.04,0.272,0.334,-1.0656,-1.1994,-4.8179,34.7493,0.5305,90.3338,0.2663831098631504,0.13275563763449583,0.20047515864832627,1
1740983055.496,2.043,4.039,0.272,0.335,-1.0658,-1.1994,-4.8176,34.7552,0.5328,90.3447,0.26636896108179764,0.13311591504425735,0.20011597719632102,1
1740983055.575,2.044,4.039,0.273,0.335,-1.0658,-1.1994,-4.8177,34.7545,0.5343,90.3307,0.2663167988913764,0.13303059736794998,0.2002037121851865,1
1740983055.655,2.044,4.038,0.273,0.336,-1.0657,-1.1995,-4.8176,34.7568,0.5334,90.3281,0.266454278758105,0.13306375285383698,0.2001639920588105,1
1740983055.735,2.043,4.04,0.272,0.334,-1.0656,-1.1995,-4.8177,34.7501,0.5384,90.3177,0.26648743424399157,0.1329262729871088,0.20029973826266298,1
1740983055.814,2.044,4.038,0.273,0.336,-1.0659,-1.1994,-4.8176,34.7574,0.5467,90.3226,0.26628364340549027,0.13316807723467772,0.2000680007936237,1
1740983055.894,2.044,4.039,0.273,0.335,-1.0657,-1.1995,-4.8176,34.751,0.5344,90.3297,0.266454278758105,0.13306375285383698,0.2001639920588105,1
1740983055.974,2.043,4.039,0.272,0.335,-1.0657,-1.1994,-4.8176,34.75,0.5364,90.3319,0.266454278758105,0.13306375285383698,0.2001639920588105,1
1740983056.053,2.043,4.039,0.272,0.335,-1.0657,-1.1993,-4.8174,34.7477,0.5466,90.3331,0.2665586031389462,0.13323438820644995,0.1999885987498769,1
1740983056.133,2.043,4.039,0.272,0.335,-1.0656,-1.1994,-4.8178,34.7508,0.5397,90.3275,0.26643527205357076,0.1328409553108023,0.20038744269934045,1
1740983056.213,2.044,4.039,0.273,0.335,-1.0656,-1.1996,-4.8178,34.7476,0.5474,90.3344,0.26643527205357076,0.1328409553108023,0.20038744269934045,1
1740983056.294,2.044,4.04,0.273,0.334,-1.0657,-1.1994,-4.8177,34.7459,0.5468,90.3344,0.2664021165676842,0.1329784351775296,0.2002517060112349,1
1740983056.372,2.043,4.04,0.272,0.334,-1.0656,-1.1994,-4.8177,34.75,0.5459,90.3349,0.26648743424399157,0.1329262729871088,0.20029973826266298,1
1740983056.452,2.043,4.04,0.272,0.334,-1.0657,-1.1994,-4.8177,34.7519,0.5675,90.3029,0.2664021165676842,0.1329784351775296,0.2002517060112349,1
1740983056.531,2.042,4.04,0.271,0.334,-1.0691,-1.1993,-4.8122,34.738,0.5513,90.3489,0.26637023604636845,0.13944442184869787,0.19379497977834073,1
1740983056.611,2.045,4.038,0.275,0.335,-1.0786,-1.1997,-4.7967,34.5579,0.4094,90.4476,0.2663501963123651,0.15762406976618992,0.1756412127508351,1
1740983138.505,2.188,4.025,0.417,0.348,-0.943,-1.1987,-4.7513,34.5438,0.8853,90.3941,0.40572259983631875,0.12562636459916154,0.15114770649740455,1
1740983138.585,2.19,4.025,0.419,0.349,-0.9389,-1.1983,-4.7581,34.7319,0.9121,90.4041,0.4056735956163182,0.1176861128030624,0.15905403343121113,1
1740983138.664,2.189,4.037,0.417,0.337,-0.9345,-1.1981,-4.7647,34.8146,0.9393,90.3698,0.405984868806081,0.10976000978831468,0.1669167112974367,1
1740983138.744,2.191,4.044,0.419,0.331,-0.9295,-1.1983,-4.7721,34.9598,0.8531,90.4298,0.40639075053032414,0.10083839222059066,0.17576978981023691,1
1740983138.824,2.19,4.058,0.417,0.318,-0.924,-1.1976,-4.7796,35.0831,0.7685,90.4607,0.40717105844568335,0.09157064602445653,0.1849470903592404,1
1740983138.903,2.19,4.069,0.417,0.308,-0.9191,-1.1975,-4.7867,35.1941,0.6994,90.4948,0.4076481090648807,0.08295714367607321,0.1935040500073411,1
1740983138.983,2.192,4.069,0.419,0.308,-0.9146,-1.1975,-4.793,35.2427,0.6486,90.5285,0.4082011865022137,0.07523483149982546,0.20117271810525056,1
