Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1741334467.84,3.896,2.082,0.354,-0.422,0.6449,-0.8737,-5.0415,55.6427,-0.4487,92.2278
1741334467.919,3.897,2.083,0.353,-0.423,0.6448,-0.8738,-5.0415,55.6432,-0.449,92.22
1741334467.999,3.896,2.083,0.354,-0.423,0.6449,-0.8738,-5.0415,55.6447,-0.4426,92.218
1741334468.078,3.893,2.084,0.357,-0.424,0.6449,-0.8738,-5.0414,55.6414,-0.4476,92.215
1741334468.158,3.893,2.084,0.357,-0.424,0.6449,-0.8738,-5.0415,55.6495,-0.4577,92.2248
1741334468.238,3.894,2.083,0.356,-0.423,0.6448,-0.8737,-5.0415,55.6439,-0.4561,92.231
1741334468.317,3.892,2.083,0.358,-0.423,0.6448,-0.8738,-5.0416,55.6515,-0.4697,92.2399
1741334468.397,3.895,2.084,0.355,-0.424,0.6449,-0.8737,-5.0416,55.6426,-0.4749,92.2439
1741334468.477,3.897,2.084,0.353,-0.424,0.6448,-0.8738,-5.0415,55.6534,-0.4793,92.2532
1741334468.557,3.897,2.084,0.353,-0.424,0.6448,-0.8737,-5.0416,55.6477,-0.4812,92.2502
1741334468.636,3.895,2.083,0.355,-0.423,0.6449,-0.8739,-5.0415,55.6675,-0.4802,92.2621
1741334468.716,3.893,2.083,0.357,-0.423,0.6449,-0.8738,-5.0416,55.6598,-0.4933,92.2677
1741334468.795,3.896,2.084,0.354,-0.424,0.6449,-0.8739,-5.0416,55.6609,-0.493,92.2676
1741334468.875,3.894,2.083,0.356,-0.423,0.6449,-0.8738,-5.0415,55.6549,-0.4889,92.255
1741334468.955,3.894,2.083,0.356,-0.423,0.6449,-0.8737,-5.0416,55.6559,-0.4725,92.252
1741334469.034,3.895,2.083,0.355,-0.423,0.6448,-0.8739,-5.0416,55.6568,-0.4899,92.2663
1741334469.114,3.893,2.084,0.357,-0.424,0.6448,-0.8739,-5.0416,55.6468,-0.5027,92.2785
1741334469.193,3.894,2.083,0.356,-0.423,0.6449,-0.8738,-5.0416,55.6318,-0.4834,92.2426
1741334469.273,3.895,2.083,0.355,-0.423,0.6449,-0.8738,-5.0416,55.6419,-0.4755,92.2456
1741334469.353,3.895,2.083,0.355,-0.423,0.6449,-0.8738,-5.0416,55.6383,-0.4553,92.2363
1741334469.432,3.895,2.083,0.355,-0.423,0.6449,-0.8739,-5.0416,55.6395,-0.4636,92.2327
1741334469.512,3.896,2.082,0.354,-0.422,0.6448,-0.8739,-5.0416,55.637,-0.4699,92.2442
1741334469.592,3.896,2.083,0.354,-0.423,0.6449,-0.8739,-5.0416,55.6506,-0.4859,92.2388
1741334469.671,3.897,2.084,0.353,-0.424,0.6448,-0.8738,-5.0416,55.6527,-0.4879,92.2378
1741334469.751,3.897,2.084,0.353,-0.424,0.6449,-0.8739,-5.0416,55.6527,-0.4746,92.2369
1741334469.831,3.896,2.083,0.354,-0.423,0.6448,-0.8739,-5.0416,55.6547,-0.4608,92.229
1741334469.91,3.895,2.083,0.355,-0.423,0.6448,-0.8739,-5.0416,55.6524,-0.4726,92.2332
1741334469.99,3.895,2.084,0.355,-0.424,0.6429,-0.8739,-5.0402,55.7075,-0.5262,92.3295
1741334470.07,3.897,2.085,0.353,-0.425,0.6366,-0.8739,-5.0359,55.6935,-0.573,92.2493
1741334470.149,3.897,2.085,0.353,-0.425,0.6269,-0.8746,-5.0295,55.5159,-0.5148,92.1993
1741334470.229,3.889,2.082,0.361,-0.422,0.6157,-0.8751,-5.0217,55.5122,-0.3986,92.1378
1741334470.309,3.874,2.083,0.376,-0.423,0.6051,-0.8751,-5.0144,55.4895,-0.3583,92.1312
1741334470.388,3.861,2.081,0.389,-0.421,0.5958,-0.8753,-5.0081,55.4065,-0.2472,92.07
1741334470.468,3.845,2.083,0.405,-0.423,0.5876,-0.8755,-5.0023,55.2549,-0.2107,92.0573
1741334470.547,3.845,2.083,0.405,-0.423,0.5801,-0.876,-4.9971,55.2174,-0.2273,92.1184
1741334470.627,3.829,2.084,0.421,-0.424,0.5726,-0.8761,-4.9918,55.135,-0.27,92.1641
1741334470.707,3.82,2.086,0.43,-0.426,0.5644,-0.8765,-4.9856,55.0483,-0.3823,92.2774
1741334470.786,3.806,2.087,0.444,-0.427,0.5546,-0.8764,-4.9791,55.0417,-0.3113,92.1869
1741334470.866,3.794,2.088,0.456,-0.428,0.5441,-0.8773,-4.9717,54.9997,-0.3425,92.1516
1741334470.946,3.794,2.088,0.456,-0.428,0.5339,-0.8777,-4.9643,54.9275,-0.3691,92.1521
1741334471.025,3.777,2.087,0.473,-0.427,0.5239,-0.8782,-4.9569,54.9194,-0.4622,92.2365
1741334471.344,3.731,2.09,0.519,-0.43,0.4884,-0.88,-4.9314,54.4638,-0.3387,92.2347
1741334471.543,3.707,2.091,0.543,-0.431,0.4657,-0.8796,-4.915,54.1991,-0.5233,92.2697
1741334471.742,3.676,2.094,0.575,-0.434,0.4431,-0.8806,-4.8986,53.8184,-0.3362,92.0707
1741334473.755,3.401,2.107,0.849,-0.447,0.2143,-0.8886,-4.7342,55.7487,-0.3895,92.3266
1741334473.833,3.385,2.107,0.865,-0.447,0.2058,-0.8891,-4.7285,55.7792,-0.4378,92.3403
1741334473.912,3.368,2.107,0.882,-0.447,0.1979,-0.8894,-4.723,55.7983,-0.4328,92.3019
1741334473.992,3.352,2.107,0.898,-0.447,0.1906,-0.8897,-4.718,55.7746,-0.5028,92.2972
1741334474.072,3.344,2.108,0.906,-0.448,0.1831,-0.8896,-4.7127,55.7937,-0.528,92.2482
1741334474.152,3.344,2.108,0.906,-0.448,0.1749,-0.8902,-4.7073,55.7706,-0.5267,92.2719
1741334474.231,3.329,2.107,0.921,-0.447,0.1665,-0.8903,-4.7015,55.6554,-0.4032,92.2111
1741334474.311,3.316,2.108,0.934,-0.448,0.1573,-0.8904,-4.6955,55.4722,-0.2971,92.0931
1741334474.39,3.307,2.108,0.943,-0.448,0.1482,-0.8907,-4.6891,55.3445,-0.3585,92.0943
1741334474.47,3.294,2.108,0.956,-0.448,0.1386,-0.8913,-4.6825,55.1258,-0.1256,91.8421
1741334474.55,3.294,2.108,0.956,-0.448,0.1294,-0.8914,-4.6763,55.1986,-0.2317,91.894
1741334474.629,3.279,2.109,0.971,-0.449,0.1205,-0.8919,-4.6696,54.978,-0.2387,91.828
1741334474.709,3.268,2.109,0.982,-0.449,0.1119,-0.8924,-4.6635,54.7482,-0.1488,91.6772
1741334474.789,3.25,2.111,1.0,-0.451,0.1033,-0.8927,-4.6579,54.6885,0.0231,91.493
1741334474.868,3.24,2.112,1.01,-0.452,0.0951,-0.8929,-4.6519,54.6333,0.0818,91.4469
1741334474.948,3.24,2.112,1.01,-0.452,0.0871,-0.8933,-4.6462,54.6142,0.1467,91.3875
1741334475.028,3.228,2.114,1.022,-0.454,0.0793,-0.8934,-4.6408,54.5496,0.0926,91.4254
1741334475.107,3.219,2.114,1.031,-0.454,0.0743,-0.8933,-4.6372,54.4723,0.0588,91.4828
1741334475.187,3.203,2.115,1.047,-0.455,0.0734,-0.8934,-4.6365,54.5009,0.1016,91.4627
1741334475.426,3.201,2.114,1.049,-0.454,0.074,-0.8935,-4.6369,54.5835,0.0888,91.4599
1741334475.585,3.2,2.115,1.05,-0.455,0.0739,-0.8936,-4.637,54.5293,0.1471,91.4651
1741334475.665,3.2,2.114,1.05,-0.454,0.0738,-0.8936,-4.6368,54.5231,0.1334,91.4514
1741334475.744,3.2,2.114,1.05,-0.454,0.0739,-0.8936,-4.6368,54.5279,0.1846,91.4162
1741334475.904,3.201,2.114,1.049,-0.454,0.074,-0.8937,-4.6369,54.509,0.2013,91.4199
1741334476.063,3.196,2.115,1.054,-0.455,0.0722,-0.8937,-4.6354,54.2776,0.186,91.4814
1741334476.142,3.196,2.115,1.055,-0.455,0.0697,-0.8937,-4.633,53.8127,0.154,91.4823
1741334476.222,3.193,2.115,1.059,-0.454,0.0656,-0.8938,-4.629,53.019,0.1858,91.516
1741334476.302,3.195,2.118,1.059,-0.456,0.0611,-0.894,-4.6246,52.3027,0.2115,91.5628
1741334476.381,3.189,2.121,1.067,-0.457,0.0569,-0.8941,-4.6204,51.5883,0.2118,91.6095
1741334476.461,3.191,2.128,1.067,-0.463,0.0534,-0.8942,-4.6168,50.9564,0.1911,91.6547
1741334476.541,3.191,2.128,1.069,-0.461,0.0505,-0.8944,-4.6138,50.4465,0.1839,91.6579
1741334476.62,3.188,2.134,1.074,-0.466,0.0482,-0.8946,-4.6112,50.014,0.2328,91.6062
1741334476.7,3.182,2.136,1.082,-0.466,0.0456,-0.8947,-4.6084,49.5567,0.2472,91.5862
1741334476.78,3.182,2.139,1.085,-0.468,0.0434,-0.8948,-4.6061,49.1203,0.2735,91.5321
1741334476.859,3.182,2.146,1.087,-0.473,0.0413,-0.895,-4.6036,48.6676,0.232,91.5914
1741334476.939,3.182,2.146,1.089,-0.472,0.0388,-0.8949,-4.6009,48.3903,0.2063,91.6207
1741334477.019,3.186,2.15,1.085,-0.476,0.0364,-0.895,-4.599,48.3436,0.1635,91.6291
1741334477.098,3.186,2.153,1.086,-0.478,0.0341,-0.8952,-4.5969,48.3016,0.0823,91.6982
1741334477.178,3.183,2.155,1.089,-0.48,0.0319,-0.8953,-4.5948,48.327,0.0812,91.7077
1741334477.258,3.178,2.154,1.094,-0.479,0.0299,-0.8956,-4.5931,48.2984,0.0682,91.7033
1741334477.337,3.178,2.154,1.094,-0.479,0.0278,-0.8955,-4.5912,48.3192,0.0865,91.6972
1741334477.417,3.174,2.157,1.098,-0.482,0.0254,-0.8955,-4.5891,48.3038,0.0469,91.7161
1741334477.497,3.169,2.157,1.102,-0.482,0.0228,-0.8954,-4.5867,48.3236,0.0378,91.7276
1741334477.576,3.169,2.155,1.103,-0.48,0.0201,-0.8958,-4.5843,48.2957,0.0264,91.7162
1741334477.735,3.158,2.158,1.113,-0.483,0.0143,-0.8958,-4.5791,48.3177,0.0231,91.6944
1741334477.815,3.153,2.158,1.118,-0.483,0.0113,-0.896,-4.5765,48.3287,0.0459,91.6651
1741334477.895,3.148,2.159,1.125,-0.483,0.0075,-0.896,-4.5729,48.0867,0.0885,91.617
1741334477.974,3.142,2.161,1.134,-0.483,0.0038,-0.896,-4.5687,47.6118,0.135,91.5891
1741334478.054,3.14,2.166,1.14,-0.486,-0.0003,-0.8962,-4.5647,47.136,0.1701,91.5689
1741334478.134,3.14,2.166,1.144,-0.483,-0.0041,-0.8963,-4.5606,46.6053,0.1301,91.5942
1741334478.213,3.144,2.17,1.143,-0.484,-0.0073,-0.8967,-4.557,46.162,0.2215,91.5275
1741334478.293,3.143,2.177,1.148,-0.488,-0.0106,-0.8967,-4.5533,45.7058,0.2149,91.5584
1741334478.373,3.143,2.183,1.153,-0.491,-0.014,-0.8966,-4.5494,45.2141,0.2162,91.5455
1741334481.24,2.934,2.175,1.316,-0.515,-0.1393,-0.9012,-4.4402,54.5795,-0.2636,91.7006
1741334481.319,2.928,2.171,1.322,-0.511,-0.1439,-0.9012,-4.4381,55.4408,-0.2014,91.6744
1741334481.399,2.92,2.169,1.33,-0.509,-0.1496,-0.9013,-4.4346,55.7313,-0.1329,91.6586
1741334481.479,2.905,2.163,1.345,-0.503,-0.1559,-0.9013,-4.4304,55.7062,-0.0319,91.5782
1741334481.558,2.897,2.165,1.353,-0.505,-0.1629,-0.9014,-4.4255,55.6599,-0.0368,91.5277
1741334481.638,2.897,2.165,1.353,-0.505,-0.1706,-0.9018,-4.4201,55.6277,-0.0269,91.4959
1741334481.718,2.886,2.165,1.364,-0.505,-0.1789,-0.902,-4.4143,55.6138,-0.007,91.4393
1741334481.797,2.88,2.166,1.37,-0.506,-0.1869,-0.9023,-4.4085,55.5061,-0.0621,91.4262
1741334481.877,2.868,2.164,1.382,-0.504,-0.1943,-0.9029,-4.4031,55.3891,-0.1098,91.4277
1741334481.957,2.849,2.166,1.401,-0.506,-0.2019,-0.9029,-4.3978,55.3031,0.0092,91.3294
1741334482.036,2.849,2.166,1.401,-0.506,-0.2091,-0.903,-4.3928,55.2764,0.0405,91.2813
1741334482.116,2.845,2.166,1.405,-0.506,-0.2164,-0.903,-4.3885,55.7651,0.0228,91.2901
1741334482.196,2.828,2.166,1.425,-0.504,-0.2245,-0.903,-4.3855,57.6042,0.1995,91.0804
1741334482.275,2.819,2.167,1.441,-0.499,-0.2327,-0.9033,-4.3828,59.8491,-0.0269,91.2472
1741334482.355,2.807,2.159,1.459,-0.486,-0.241,-0.9037,-4.3796,61.1776,-0.0592,91.3274
1741334484.247,2.576,2.146,1.68,-0.481,-0.4545,-0.9081,-4.2527,58.852,0.3847,90.626
1741334484.326,2.576,2.146,1.68,-0.481,-0.4658,-0.9085,-4.2453,58.7996,0.2691,90.6407
1741334484.406,2.559,2.146,1.696,-0.482,-0.4781,-0.9083,-4.2381,58.6816,0.5142,90.3552
1741334484.485,2.538,2.146,1.717,-0.482,-0.4907,-0.9087,-4.2305,58.5262,0.5385,90.3603
1741334484.565,2.527,2.143,1.728,-0.479,-0.5032,-0.9089,-4.2226,58.4399,0.4643,90.5181
