point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
0,0.02202271554554522,0.6449,0,-5.0415,0.354,0,-0.422,0.337,0.0,-0.408,0
1,0.02193171219946129,0.6448,0,-5.0415,0.353,0,-0.423,0.337,0.0,-0.408,0
2,0.022671568097509247,0.6449,0,-5.0415,0.354,0,-0.423,0.337,0.0,-0.408,0
3,0.024999999999999977,0.6449,0,-5.0414,0.357,0,-0.424,0.337,0.0,-0.409,0
4,0.025612496949731375,0.6449,0,-5.0415,0.357,0,-0.424,0.337,0.0,-0.408,0
5,0.024207436873820386,0.6448,0,-5.0415,0.356,0,-0.423,0.337,0.0,-0.408,0
6,0.025806975801127858,0.6448,0,-5.0416,0.358,0,-0.423,0.337,0.0,-0.408,0
7,0.024083189157584572,0.6449,0,-5.0416,0.355,0,-0.424,0.337,0.0,-0.408,0
8,0.022627416997969503,0.6448,0,-5.0415,0.353,0,-0.424,0.337,0.0,-0.408,0
9,0.022627416997969503,0.6448,0,-5.0416,0.353,0,-0.424,0.337,0.0,-0.408,0
10,0.02343074902771994,0.6449,0,-5.0415,0.355,0,-0.423,0.337,0.0,-0.408,0
11,0.024999999999999977,0.6449,0,-5.0416,0.357,0,-0.423,0.337,0.0,-0.408,0
12,0.023345235059857482,0.6449,0,-5.0416,0.354,0,-0.424,0.337,0.0,-0.408,0
13,0.024207436873820386,0.6449,0,-5.0415,0.356,0,-0.423,0.337,0.0,-0.408,0
14,0.024207436873820386,0.6449,0,-5.0416,0.356,0,-0.423,0.337,0.0,-0.408,0
15,0.02343074902771994,0.6448,0,-5.0416,0.355,0,-0.423,0.337,0.0,-0.408,0
16,0.025612496949731375,0.6448,0,-5.0416,0.357,0,-0.424,0.337,0.0,-0.408,0
17,0.024207436873820386,0.6449,0,-5.0416,0.356,0,-0.423,0.337,0.0,-0.408,0
18,0.02343074902771994,0.6449,0,-5.0416,0.355,0,-0.423,0.337,0.0,-0.408,0
19,0.02343074902771994,0.6449,0,-5.0416,0.355,0,-0.423,0.337,0.0,-0.408,0
20,0.02343074902771994,0.6449,0,-5.0416,0.355,0,-0.423,0.337,0.0,-0.408,0
21,0.02202271554554522,0.6448,0,-5.0416,0.354,0,-0.422,0.337,0.0,-0.408,0
22,0.022671568097509247,0.6449,0,-5.0416,0.354,0,-0.423,0.337,0.0,-0.408,0
23,0.022627416997969503,0.6448,0,-5.0416,0.353,0,-0.424,0.337,0.0,-0.408,0
24,0.022627416997969503,0.6449,0,-5.0416,0.353,0,-0.424,0.337,0.0,-0.408,0
25,0.022671568097509247,0.6448,0,-5.0416,0.354,0,-0.423,0.337,0.0,-0.408,0
26,0.02343074902771994,0.6448,0,-5.0416,0.355,0,-0.423,0.337,0.0,-0.408,0
27,0.02193171219946129,0.6429,0,-5.0402,0.355,0,-0.424,0.34,0.0,-0.408,0
28,0.017088007490635077,0.6366,0,-5.0359,0.353,0,-0.425,0.347,0.0,-0.409,0
29,0.017088007490635077,0.6269,0,-5.0295,0.353,0,-0.425,0.359,0.0,-0.409,0
30,0.01769180601295415,0.6157,0,-5.0217,0.361,0,-0.422,0.373,0.0,-0.409,0
31,0.016643316977093252,0.6051,0,-5.0144,0.376,0,-0.423,0.385,0.0,-0.409,0
32,0.01442220510185597,0.5958,0,-5.0081,0.389,0,-0.421,0.397,0.0,-0.409,0
33,0.013152946437965909,0.5876,0,-5.0023,0.405,0,-0.423,0.407,0.0,-0.41,0
34,0.01702938636592638,0.5801,0,-4.9971,0.405,0,-0.423,0.416,0.0,-0.41,0
35,0.01456021977856105,0.5726,0,-4.9918,0.421,0,-0.424,0.425,0.0,-0.41,0
36,0.01581138830084191,0.5644,0,-4.9856,0.43,0,-0.426,0.435,0.0,-0.411,0
37,0.01627882059609972,0.5546,0,-4.9791,0.444,0,-0.427,0.447,0.0,-0.411,0
38,0.017464249196572995,0.5441,0,-4.9717,0.456,0,-0.428,0.46,0.0,-0.411,0
39,0.022627416997969503,0.5339,0,-4.9643,0.456,0,-0.428,0.472,0.0,-0.412,0
40,0.019209372712298563,0.5239,0,-4.9569,0.473,0,-0.427,0.485,0.0,-0.412,0
41,0.018867962264113223,0.4884,0,-4.9314,0.519,0,-0.43,0.529,0.0,-0.414,0
42,0.021260291625469316,0.4657,0,-4.915,0.543,0,-0.431,0.557,0.0,-0.415,0
43,0.020124611797498124,0.4431,0,-4.8986,0.575,0,-0.434,0.584,0.0,-0.416,0
44,0.026248809496813397,0.2143,0,-4.7342,0.849,0,-0.447,0.866,0.0,-0.427,0
45,0.021954498400100168,0.2058,0,-4.7285,0.865,0,-0.447,0.876,0.0,-0.428,0
46,0.019416487838947616,0.1979,0,-4.723,0.882,0,-0.447,0.886,0.0,-0.428,0
47,0.01923538406167136,0.1906,0,-4.718,0.898,0,-0.447,0.895,0.0,-0.428,0
48,0.0200997512422418,0.1831,0,-4.7127,0.906,0,-0.448,0.904,0.0,-0.428,0
49,0.021540659228538036,0.1749,0,-4.7073,0.906,0,-0.448,0.914,0.0,-0.428,0
50,0.01923538406167136,0.1665,0,-4.7015,0.921,0,-0.447,0.924,0.0,-0.428,0
51,0.020024984394500803,0.1573,0,-4.6955,0.934,0,-0.448,0.935,0.0,-0.428,0
52,0.01923538406167136,0.1482,0,-4.6891,0.943,0,-0.448,0.946,0.0,-0.429,0
53,0.019104973174542815,0.1386,0,-4.6825,0.956,0,-0.448,0.958,0.0,-0.429,0
54,0.023021728866442697,0.1294,0,-4.6763,0.956,0,-0.448,0.969,0.0,-0.429,0
55,0.021023796041628656,0.1205,0,-4.6696,0.971,0,-0.449,0.98,0.0,-0.43,0
56,0.020615528128088322,0.1119,0,-4.6635,0.982,0,-0.449,0.99,0.0,-0.43,0
57,0.021023796041628653,0.1033,0,-4.6579,1.0,0,-0.451,1.001,0.0,-0.43,0
58,0.022022715545545253,0.0951,0,-4.6519,1.01,0,-0.452,1.011,0.0,-0.43,0
59,0.023706539182259366,0.0871,0,-4.6462,1.01,0,-0.452,1.021,0.0,-0.431,0
60,0.024351591323771862,0.0793,0,-4.6408,1.022,0,-0.454,1.03,0.0,-0.431,0
61,0.023537204591879683,0.0743,0,-4.6372,1.031,0,-0.454,1.036,0.0,-0.431,0
62,0.026000000000000023,0.0734,0,-4.6365,1.047,0,-0.455,1.037,0.0,-0.431,0
63,0.025942243542145717,0.074,0,-4.6369,1.049,0,-0.454,1.037,0.0,-0.431,0
64,0.027294688127912435,0.0739,0,-4.637,1.05,0,-0.455,1.037,0.0,-0.431,0
65,0.02641968962724589,0.0738,0,-4.6368,1.05,0,-0.454,1.037,0.0,-0.431,0
66,0.02641968962724589,0.0739,0,-4.6368,1.05,0,-0.454,1.037,0.0,-0.431,0
67,0.025942243542145717,0.074,0,-4.6369,1.049,0,-0.454,1.037,0.0,-0.431,0
68,0.027459060435492046,0.0722,0,-4.6354,1.054,0,-0.455,1.039,0.0,-0.432,0
69,0.026419689627245783,0.0697,0,-4.633,1.055,0,-0.455,1.042,0.0,-0.432,0
