point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
0,0.042059481689626164,0.6449,0,-5.0415,0.354,0,-0.422,0.314,0.0,-0.409,0
1,0.04143669871020131,0.6448,0,-5.0415,0.353,0,-0.423,0.314,0.0,-0.409,0
2,0.04237924020083417,0.6449,0,-5.0415,0.354,0,-0.423,0.314,0.0,-0.409,0
3,0.04554119014694279,0.6449,0,-5.0414,0.357,0,-0.424,0.314,0.0,-0.409,0
4,0.04554119014694279,0.6449,0,-5.0415,0.357,0,-0.424,0.314,0.0,-0.409,0
5,0.0442718872423573,0.6448,0,-5.0415,0.356,0,-0.423,0.314,0.0,-0.409,0
6,0.04617358552246077,0.6448,0,-5.0416,0.358,0,-0.423,0.314,0.0,-0.409,0
7,0.043657759905886134,0.6449,0,-5.0416,0.355,0,-0.424,0.314,0.0,-0.409,0
8,0.04178516483155234,0.6448,0,-5.0415,0.353,0,-0.424,0.314,0.0,-0.409,0
9,0.04178516483155234,0.6448,0,-5.0416,0.353,0,-0.424,0.314,0.0,-0.409,0
10,0.04332435804486893,0.6449,0,-5.0415,0.355,0,-0.423,0.314,0.0,-0.409,0
11,0.04522167621838004,0.6449,0,-5.0416,0.357,0,-0.423,0.314,0.0,-0.409,0
12,0.04272001872658764,0.6449,0,-5.0416,0.354,0,-0.424,0.314,0.0,-0.409,0
13,0.0442718872423573,0.6449,0,-5.0415,0.356,0,-0.423,0.314,0.0,-0.409,0
14,0.0442718872423573,0.6449,0,-5.0416,0.356,0,-0.423,0.314,0.0,-0.409,0
15,0.04332435804486893,0.6448,0,-5.0416,0.355,0,-0.423,0.314,0.0,-0.409,0
16,0.04554119014694279,0.6448,0,-5.0416,0.357,0,-0.424,0.314,0.0,-0.409,0
17,0.0442718872423573,0.6449,0,-5.0416,0.356,0,-0.423,0.314,0.0,-0.409,0
18,0.04332435804486893,0.6449,0,-5.0416,0.355,0,-0.423,0.314,0.0,-0.409,0
19,0.04332435804486893,0.6449,0,-5.0416,0.355,0,-0.423,0.314,0.0,-0.409,0
20,0.04332435804486893,0.6449,0,-5.0416,0.355,0,-0.423,0.314,0.0,-0.409,0
21,0.042059481689626164,0.6448,0,-5.0416,0.354,0,-0.422,0.314,0.0,-0.409,0
22,0.04237924020083417,0.6449,0,-5.0416,0.354,0,-0.423,0.314,0.0,-0.409,0
23,0.04178516483155234,0.6448,0,-5.0416,0.353,0,-0.424,0.314,0.0,-0.409,0
24,0.04178516483155234,0.6449,0,-5.0416,0.353,0,-0.424,0.314,0.0,-0.409,0
25,0.04237924020083417,0.6448,0,-5.0416,0.354,0,-0.423,0.314,0.0,-0.409,0
26,0.04332435804486893,0.6448,0,-5.0416,0.355,0,-0.423,0.314,0.0,-0.409,0
27,0.04085339643163098,0.6429,0,-5.0402,0.355,0,-0.424,0.317,0.0,-0.409,0
28,0.03312099032335837,0.6366,0,-5.0359,0.353,0,-0.425,0.324,0.0,-0.409,0
29,0.023345235059857482,0.6269,0,-5.0295,0.353,0,-0.425,0.336,0.0,-0.409,0
30,0.017029386365926418,0.6157,0,-5.0217,0.361,0,-0.422,0.35,0.0,-0.409,0
31,0.019104973174542815,0.6051,0,-5.0144,0.376,0,-0.423,0.363,0.0,-0.409,0
32,0.019209372712298563,0.5958,0,-5.0081,0.389,0,-0.421,0.374,0.0,-0.409,0
33,0.025238858928247947,0.5876,0,-5.0023,0.405,0,-0.423,0.384,0.0,-0.409,0
34,0.01843908891458579,0.5801,0,-4.9971,0.405,0,-0.423,0.393,0.0,-0.409,0
35,0.02360084744241187,0.5726,0,-4.9918,0.421,0,-0.424,0.402,0.0,-0.41,0
36,0.024083189157584613,0.5644,0,-4.9856,0.43,0,-0.426,0.412,0.0,-0.41,0
37,0.026248809496813397,0.5546,0,-4.9791,0.444,0,-0.427,0.424,0.0,-0.41,0
38,0.026172504656604822,0.5441,0,-4.9717,0.456,0,-0.428,0.437,0.0,-0.41,0
39,0.018027756377319962,0.5339,0,-4.9643,0.456,0,-0.428,0.45,0.0,-0.411,0
40,0.019416487838947585,0.5239,0,-4.9569,0.473,0,-0.427,0.462,0.0,-0.411,0
41,0.022203603311174536,0.4884,0,-4.9314,0.519,0,-0.43,0.506,0.0,-0.412,0
42,0.020124611797498124,0.4657,0,-4.915,0.543,0,-0.431,0.534,0.0,-0.413,0
43,0.023853720883753086,0.4431,0,-4.8986,0.575,0,-0.434,0.562,0.0,-0.414,0
44,0.025709920264364906,0.2143,0,-4.7342,0.849,0,-0.447,0.843,0.0,-0.422,0
45,0.02773084924772412,0.2058,0,-4.7285,0.865,0,-0.447,0.853,0.0,-0.422,0
46,0.03140063693621519,0.1979,0,-4.723,0.882,0,-0.447,0.863,0.0,-0.422,0
47,0.0360693775937429,0.1906,0,-4.718,0.898,0,-0.447,0.872,0.0,-0.422,0
48,0.03535533905932741,0.1831,0,-4.7127,0.906,0,-0.448,0.881,0.0,-0.423,0
49,0.02915475947422653,0.1749,0,-4.7073,0.906,0,-0.448,0.891,0.0,-0.423,0
50,0.031240998703626646,0.1665,0,-4.7015,0.921,0,-0.447,0.901,0.0,-0.423,0
51,0.034058772731852836,0.1573,0,-4.6955,0.934,0,-0.448,0.912,0.0,-0.422,0
52,0.0320156211871642,0.1482,0,-4.6891,0.943,0,-0.448,0.923,0.0,-0.423,0
53,0.03264965543462897,0.1386,0,-4.6825,0.956,0,-0.448,0.935,0.0,-0.423,0
54,0.026925824035672542,0.1294,0,-4.6763,0.956,0,-0.448,0.946,0.0,-0.423,0
55,0.029529646120466827,0.1205,0,-4.6696,0.971,0,-0.449,0.957,0.0,-0.423,0
56,0.02865309756378883,0.1119,0,-4.6635,0.982,0,-0.449,0.968,0.0,-0.424,0
57,0.03560898762952974,0.1033,0,-4.6579,1.0,0,-0.451,0.978,0.0,-0.423,0
58,0.03560898762952974,0.0951,0,-4.6519,1.01,0,-0.452,0.988,0.0,-0.424,0
59,0.03046309242345566,0.0871,0,-4.6462,1.01,0,-0.452,0.998,0.0,-0.424,0
60,0.033541019662496924,0.0793,0,-4.6408,1.022,0,-0.454,1.007,0.0,-0.424,0
61,0.03448187929913331,0.0743,0,-4.6372,1.031,0,-0.454,1.014,0.0,-0.424,0
62,0.04455333881989097,0.0734,0,-4.6365,1.047,0,-0.455,1.015,0.0,-0.424,0
63,0.052009614495783334,0.0738,0,-4.6367,1.055,0,-0.456,1.014,0.0,-0.424,1
64,0.052009614495783334,0.0739,0,-4.6368,1.055,0,-0.456,1.014,0.0,-0.424,1
65,0.046097722286464395,0.074,0,-4.6369,1.049,0,-0.454,1.014,0.0,-0.424,0
66,0.05080354318352211,0.074,0,-4.6368,1.055,0,-0.454,1.014,0.0,-0.424,1
67,0.047507894080878854,0.0739,0,-4.637,1.05,0,-0.455,1.014,0.0,-0.424,0
68,0.04686149805543997,0.0738,0,-4.6368,1.05,0,-0.454,1.014,0.0,-0.424,0
69,0.04686149805543997,0.0739,0,-4.6368,1.05,0,-0.454,1.014,0.0,-0.424,0
70,0.05060632371552003,0.0739,0,-4.6371,1.054,0,-0.455,1.014,0.0,-0.424,1
71,0.046097722286464395,0.074,0,-4.6369,1.049,0,-0.454,1.014,0.0,-0.424,0
72,0.05140038910358554,0.0738,0,-4.6368,1.055,0,-0.455,1.014,0.0,-0.424,1
73,0.048414873747640856,0.0722,0,-4.6354,1.054,0,-0.455,1.016,0.0,-0.425,0
74,0.046097722286464395,0.0697,0,-4.633,1.055,0,-0.455,1.02,0.0,-0.425,0
75,0.04404543109109052,0.0656,0,-4.629,1.059,0,-0.454,1.025,0.0,-0.426,0
76,0.03962322551231786,0.0611,0,-4.6246,1.059,0,-0.456,1.032,0.0,-0.427,0
77,0.041725292090050166,0.0569,0,-4.6204,1.067,0,-0.457,1.037,0.0,-0.428,0
78,0.042201895692018355,0.0534,0,-4.6168,1.067,0,-0.463,1.042,0.0,-0.429,0
79,0.03860051813123753,0.0505,0,-4.6138,1.069,0,-0.461,1.046,0.0,-0.43,0
80,0.042438190347845926,0.0482,0,-4.6112,1.074,0,-0.466,1.05,0.0,-0.431,0
81,0.04468780594300877,0.0456,0,-4.6084,1.082,0,-0.466,1.053,0.0,-0.432,0
82,0.04482186966202998,0.0434,0,-4.6061,1.085,0,-0.468,1.057,0.0,-0.433,0
83,0.04743416490252562,0.0413,0,-4.6036,1.087,0,-0.473,1.06,0.0,-0.434,0
84,0.046043457732885346,0.0388,0,-4.6009,1.089,0,-0.472,1.063,0.0,-0.434,0
85,0.04518849411077996,0.0364,0,-4.599,1.085,0,-0.476,1.066,0.0,-0.435,0
86,0.0462385120867876,0.0341,0,-4.5969,1.086,0,-0.478,1.069,0.0,-0.435,0
87,0.047169905660282965,0.0319,0,-4.5948,1.089,0,-0.48,1.072,0.0,-0.436,0
88,0.04701063709417267,0.0299,0,-4.5931,1.094,0,-0.479,1.075,0.0,-0.436,0
89,0.04588027898781784,0.0278,0,-4.5912,1.094,0,-0.479,1.078,0.0,-0.436,0
90,0.0481040538832228,0.0254,0,-4.5891,1.098,0,-0.482,1.081,0.0,-0.437,0
91,0.048466483264210526,0.0228,0,-4.5867,1.102,0,-0.482,1.084,0.0,-0.437,0
92,0.044598206241955464,0.0201,0,-4.5843,1.103,0,-0.48,1.088,0.0,-0.438,0
93,0.05008991914547277,0.0174,0,-4.5818,1.114,0,-0.483,1.092,0.0,-0.438,1
94,0.047169905660282965,0.0143,0,-4.5791,1.113,0,-0.483,1.096,0.0,-0.439,0
95,0.04753945729601884,0.0113,0,-4.5765,1.118,0,-0.483,1.1,0.0,-0.439,0
96,0.0474236228055175,0.0075,0,-4.5729,1.125,0,-0.483,1.105,0.0,-0.44,0
97,0.047507894080878695,0.0038,0,-4.5687,1.134,0,-0.483,1.11,0.0,-0.442,0
98,0.04924428900898041,-0.0003,0,-4.5647,1.14,0,-0.486,1.116,0.0,-0.443,0
99,0.04527692569068702,-0.0041,0,-4.5606,1.144,0,-0.483,1.121,0.0,-0.444,0
100,0.04254409477236532,-0.0073,0,-4.557,1.143,0,-0.484,1.126,0.0,-0.445,0
101,0.04531004303683671,-0.0106,0,-4.5533,1.148,0,-0.488,1.131,0.0,-0.446,0
102,0.0462385120867876,-0.014,0,-4.5494,1.153,0,-0.491,1.136,0.0,-0.448,0
103,0.07138627319029904,-0.0874,0,-4.4725,1.226,0,-0.54,1.24,0.0,-0.47,1
104,0.06935416353759888,-0.0913,0,-4.4697,1.238,0,-0.539,1.245,0.0,-0.47,1
105,0.06519202405202654,-0.095,0,-4.4669,1.254,0,-0.536,1.249,0.0,-0.471,1
106,0.06918092222571195,-0.0991,0,-4.4642,1.249,0,-0.54,1.254,0.0,-0.471,1
107,0.06403124237432854,-0.1033,0,-4.4614,1.257,0,-0.534,1.259,0.0,-0.47,1
