Timestamp, Distance_2, Distance_3, X, Y, Z, Roll, Yaw, Pitch
1745315345.376, 1.998, 3.981, -0.2435, -1.2398, -4.9222, 1.4722, 39.1289, 89.0138
1745315345.456, 1.998, 3.980, -0.2435, -1.2398, -4.9221, 1.4700, 39.1293, 89.0168
1745315345.535, 1.998, 3.980, -0.2436, -1.2398, -4.9220, 1.4807, 39.1337, 89.0121
1745315345.615, 1.998, 3.982, -0.2435, -1.2398, -4.9222, 1.4725, 39.1311, 89.0094
1745315345.695, 1.999, 3.981, -0.2435, -1.2399, -4.9222, 1.4808, 39.1313, 89.0042
1745315345.774, 1.999, 3.981, -0.2436, -1.2397, -4.9218, 1.4792, 39.1314, 89.0102
1745315345.854, 1.999, 3.981, -0.2435, -1.2397, -4.9221, 1.4817, 39.1356, 89.0059
1745315345.934, 1.998, 3.981, -0.2434, -1.2397, -4.9220, 1.4758, 39.1277, 89.0157
1745315346.013, 1.998, 3.982, -0.2434, -1.2398, -4.9221, 1.4786, 39.1305, 89.0139
1745315346.093, 1.998, 3.979, -0.2435, -1.2398, -4.9221, 1.4869, 39.1357, 89.0123
1745315346.173, 1.998, 3.981, -0.2435, -1.2398, -4.9221, 1.4771, 39.1364, 89.0156
1745315346.252, 1.998, 3.979, -0.2436, -1.2398, -4.9218, 1.4848, 39.1374, 89.0198
1745315346.332, 1.999, 3.979, -0.2434, -1.2398, -4.9220, 1.4864, 39.1298, 88.9963
1745315346.411, 1.998, 3.981, -0.2434, -1.2398, -4.9219, 1.4947, 39.1316, 88.9880
1745315346.491, 1.998, 3.981, -0.2435, -1.2397, -4.9218, 1.4911, 39.1352, 88.9969
1745315346.571, 1.998, 3.981, -0.2435, -1.2398, -4.9218, 1.4937, 39.1286, 88.9950
1745315346.650, 1.998, 3.981, -0.2435, -1.2397, -4.9218, 1.4950, 39.1303, 88.9910
1745315346.730, 1.998, 3.981, -0.2435, -1.2396, -4.9218, 1.4859, 39.1415, 88.9948
1745315346.810, 1.998, 3.981, -0.2436, -1.2397, -4.9219, 1.4779, 39.1409, 89.0025
1745315346.889, 1.998, 3.980, -0.2435, -1.2396, -4.9217, 1.4689, 39.1326, 89.0092
1745315346.969, 1.998, 3.980, -0.2435, -1.2396, -4.9217, 1.4650, 39.1295, 89.0075
1745315347.049, 1.999, 3.980, -0.2435, -1.2396, -4.9217, 1.4691, 39.1345, 89.0035
1745315347.128, 1.998, 3.980, -0.2435, -1.2397, -4.9218, 1.4675, 39.1277, 89.0112
1745315347.208, 1.998, 3.981, -0.2435, -1.2397, -4.9217, 1.4649, 39.1272, 89.0116
1745315347.288, 1.998, 3.979, -0.2435, -1.2396, -4.9219, 1.4753, 39.1297, 89.0039
1745315347.367, 1.999, 3.980, -0.2434, -1.2397, -4.9217, 1.4716, 39.1242, 89.0088
1745315347.447, 1.998, 3.982, -0.2436, -1.2397, -4.9217, 1.4686, 39.1219, 89.0169
1745315347.527, 1.998, 3.982, -0.2435, -1.2396, -4.9217, 1.4649, 39.1219, 89.0163
1745315347.606, 1.998, 3.980, -0.2434, -1.2397, -4.9217, 1.4608, 39.1296, 89.0164
1745315347.686, 1.998, 3.980, -0.2436, -1.2396, -4.9214, 1.4626, 39.1336, 89.0250
1745315347.765, 1.999, 3.980, -0.2435, -1.2397, -4.9215, 1.4718, 39.1341, 89.0081
1745315347.845, 1.998, 3.983, -0.2435, -1.2396, -4.9215, 1.4700, 39.1311, 89.0065
1745315347.925, 1.999, 3.983, -0.2435, -1.2397, -4.9216, 1.4658, 39.1263, 89.0089
1745315348.004, 1.999, 3.979, -0.2435, -1.2396, -4.9214, 1.4568, 39.1278, 89.0183
1745315348.084, 1.999, 3.980, -0.2435, -1.2397, -4.9216, 1.4670, 39.1282, 89.0110
1745315348.164, 1.998, 3.980, -0.2434, -1.2397, -4.9215, 1.4573, 39.1219, 89.0143
1745315348.243, 1.998, 3.981, -0.2435, -1.2397, -4.9216, 1.4693, 39.1156, 89.0144
1745315348.323, 1.998, 3.981, -0.2439, -1.2396, -4.9212, 1.4511, 39.0753, 89.0303
1745315348.403, 1.998, 3.981, -0.2456, -1.2395, -4.9189, 1.4218, 39.1436, 89.0026
1745315348.482, 1.998, 3.980, -0.2492, -1.2393, -4.9146, 1.4196, 39.1932, 88.9927
1745315348.562, 1.998, 3.978, -0.2540, -1.2394, -4.9090, 1.4463, 39.2600, 88.9964
1745315348.641, 1.998, 3.971, -0.2594, -1.2396, -4.9029, 1.4892, 39.3116, 89.0132
