Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745404273.671, 2.060, 4.039, -0.1574, -1.1143, -4.9469, -0.2812, 42.8693, 92.1291, 0, 1
1745404273.750, 2.061, 4.038, -0.1574, -1.1143, -4.9469, -0.2864, 42.8701, 92.1303, 0, 1
1745404273.830, 2.061, 4.038, -0.1574, -1.1143, -4.9470, -0.2874, 42.8707, 92.1292, 0, 1
1745404273.909, 2.061, 4.038, -0.1574, -1.1143, -4.9470, -0.2867, 42.8726, 92.1296, 0, 1
1745404273.989, 2.061, 4.038, -0.1574, -1.1143, -4.9470, -0.2875, 42.8734, 92.1296, 0, 1
1745404274.069, 2.061, 4.038, -0.1574, -1.1143, -4.9470, -0.2886, 42.8753, 92.1291, 0, 1
1745404274.149, 2.061, 4.039, -0.1574, -1.1143, -4.9469, -0.2881, 42.8767, 92.1290, 0, 1
1745404274.228, 2.061, 4.039, -0.1574, -1.1142, -4.9469, -0.2885, 42.8771, 92.1318, 0, 1
1745404274.308, 2.061, 4.039, -0.1573, -1.1142, -4.9469, -0.2897, 42.8765, 92.1334, 0, 1
1745404274.387, 2.061, 4.039, -0.1573, -1.1142, -4.9469, -0.2884, 42.8753, 92.1347, 0, 1
1745404274.467, 2.061, 4.038, -0.1574, -1.1142, -4.9468, -0.2885, 42.8733, 92.1377, 0, 1
1745404274.547, 2.062, 4.038, -0.1574, -1.1142, -4.9468, -0.2872, 42.8716, 92.1375, 0, 1
1745404274.626, 2.061, 4.038, -0.1574, -1.1142, -4.9468, -0.2841, 42.8710, 92.1331, 0, 1
1745404274.706, 2.061, 4.038, -0.1574, -1.1142, -4.9468, -0.2853, 42.8685, 92.1334, 0, 1
1745404274.786, 2.061, 4.037, -0.1574, -1.1142, -4.9468, -0.2872, 42.8669, 92.1338, 0, 1
1745404274.865, 2.061, 4.037, -0.1573, -1.1142, -4.9468, -0.2866, 42.8652, 92.1304, 0, 1
1745404274.945, 2.061, 4.037, -0.1573, -1.1142, -4.9468, -0.2873, 42.8633, 92.1324, 0, 1
1745404275.024, 2.060, 4.038, -0.1573, -1.1142, -4.9468, -0.2903, 42.8606, 92.1383, 0, 1
1745404275.104, 2.060, 4.038, -0.1573, -1.1142, -4.9468, -0.2880, 42.8613, 92.1369, 0, 1
1745404275.184, 2.060, 4.038, -0.1574, -1.1142, -4.9468, -0.2864, 42.8625, 92.1366, 0, 1
1745404275.264, 2.060, 4.038, -0.1574, -1.1142, -4.9467, -0.2869, 42.8636, 92.1384, 0, 1
1745404275.343, 2.060, 4.038, -0.1573, -1.1142, -4.9467, -0.2851, 42.8655, 92.1334, 0, 1
1745404275.423, 2.060, 4.038, -0.1574, -1.1142, -4.9467, -0.2815, 42.8692, 92.1284, 0, 1
1745404275.503, 2.060, 4.038, -0.1574, -1.1142, -4.9467, -0.2819, 42.8719, 92.1287, 0, 1
1745404275.582, 2.061, 4.038, -0.1574, -1.1142, -4.9466, -0.2809, 42.8734, 92.1285, 0, 1
1745404275.662, 2.061, 4.038, -0.1573, -1.1142, -4.9467, -0.2805, 42.8736, 92.1293, 0, 1
1745404275.741, 2.060, 4.038, -0.1574, -1.1142, -4.9466, -0.2825, 42.8740, 92.1350, 0, 1
1745404275.821, 2.061, 4.038, -0.1575, -1.1142, -4.9465, -0.2842, 42.8917, 92.1214, 0, 1
1745404275.901, 2.061, 4.038, -0.1590, -1.1142, -4.9448, -0.3087, 42.9072, 92.1219, 0, 1
1745404275.980, 2.061, 4.038, -0.1640, -1.1144, -4.9393, -0.3802, 42.9046, 92.1500, 0, 1
1745404276.060, 2.062, 4.037, -0.1744, -1.1149, -4.9285, -0.3747, 42.9329, 92.1263, 0, 1
1745404276.140, 2.062, 4.029, -0.1908, -1.1151, -4.9112, -0.4705, 42.9350, 92.2109, 0, 1
1745404276.219, 2.061, 4.012, -0.2130, -1.1158, -4.8876, -0.4800, 42.8638, 92.2547, 0, 1
1745404276.299, 2.060, 3.994, -0.2390, -1.1170, -4.8603, -0.5143, 42.7826, 92.3310, 0, 1
1745404276.379, 2.059, 3.965, -0.2650, -1.1183, -4.8332, -0.4842, 42.6176, 92.3468, 0, 1
1745404317.058, 2.057, 3.803, -0.3204, -1.1204, -4.7618, -0.5060, 37.7579, 92.1483, 0, 1
1745404317.138, 2.058, 3.796, -0.3204, -1.1203, -4.7616, -0.5081, 37.7550, 92.1629, 0, 1
1745404317.217, 2.058, 3.793, -0.3201, -1.1202, -4.7620, -0.4987, 37.7713, 92.1382, 0, 1
1745404317.297, 2.058, 3.793, -0.3207, -1.1203, -4.7614, -0.4895, 37.7628, 92.1326, 0, 1
1745404317.377, 2.058, 3.793, -0.3226, -1.1204, -4.7590, -0.4961, 37.7435, 92.1292, 0, 1
1745404317.456, 2.059, 3.793, -0.3257, -1.1205, -4.7550, -0.4995, 37.7176, 92.1332, 0, 1
