Timestamp,Distance_2(Z),Distance_3(X),X,Y,Z,Roll,Yaw,Pitch,CalibrationMode
1745404273.671,2.060,4.039,-0.1574,-1.1143,-4.9469,-0.2812,42.8693,92.1291,0
1745404273.750,2.061,4.037,-0.1574,-1.1143,-4.9469,-0.2916,42.8709,92.1315,0
1745404273.830,2.061,4.038,-0.1573,-1.1143,-4.9470,-0.2894,42.8717,92.1269,0
1745404273.909,2.061,4.038,-0.1574,-1.1143,-4.9470,-0.2846,42.8783,92.1309,0
1745404273.989,2.061,4.039,-0.1574,-1.1142,-4.9469,-0.2910,42.8768,92.1294,0
1745404274.069,2.063,4.040,-0.1573,-1.1142,-4.9469,-0.2866,42.8788,92.1266,0
1745404274.149,2.059,4.038,-0.1573,-1.1142,-4.9469,-0.2893,42.8778,92.1313,0
1745404274.228,2.062,4.039,-0.1573,-1.1142,-4.9468,-0.2913,42.8737,92.1409,0
1745404274.308,2.062,4.039,-0.1574,-1.1141,-4.9469,-0.2905,42.8754,92.1387,0
1745404274.387,2.061,4.038,-0.1574,-1.1143,-4.9469,-0.2845,42.8707,92.1361,0
1745404274.467,2.061,4.038,-0.1575,-1.1142,-4.9468,-0.2870,42.8688,92.1415,0
1745404274.547,2.062,4.038,-0.1573,-1.1142,-4.9467,-0.2828,42.8695,92.1301,0
1745404274.626,2.061,4.037,-0.1574,-1.1143,-4.9470,-0.2758,42.8708,92.1191,0
1745404274.706,2.061,4.037,-0.1573,-1.1142,-4.9467,-0.2964,42.8626,92.1401,0
1745404274.786,2.061,4.037,-0.1573,-1.1142,-4.9468,-0.2939,42.8629,92.1378,0
1745404274.865,2.060,4.038,-0.1573,-1.1142,-4.9469,-0.2843,42.8602,92.1248,0
1745404274.945,2.060,4.037,-0.1574,-1.1142,-4.9468,-0.2863,42.8601,92.1402,0
1745404275.024,2.060,4.039,-0.1573,-1.1142,-4.9467,-0.2908,42.8574,92.1485,0
1745404275.104,2.060,4.039,-0.1574,-1.1142,-4.9468,-0.2847,42.8659,92.1333,0
1745404275.184,2.060,4.038,-0.1574,-1.1142,-4.9467,-0.2857,42.8688,92.1363,0
1745404275.264,2.061,4.038,-0.1574,-1.1142,-4.9466,-0.2868,42.8660,92.1337,0
1745404275.343,2.061,4.038,-0.1573,-1.1142,-4.9467,-0.2777,42.8693,92.1154,0
1745404275.423,2.060,4.038,-0.1574,-1.1141,-4.9467,-0.2728,42.8763,92.1233,0
1745404275.503,2.060,4.038,-0.1573,-1.1142,-4.9466,-0.2864,42.8793,92.1345,0
1745404275.582,2.061,4.038,-0.1574,-1.1142,-4.9466,-0.2807,42.8759,92.1356,0
