Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode
1745406944.698, 2.308, 2.505, -0.9705, -1.1423, -3.5955, 0.2542, 39.6553, 89.9599, 0
1745406944.777, 2.310, 2.505, -0.9707, -1.1425, -3.5954, 0.2528, 39.6564, 89.9563, 0
1745406944.857, 2.310, 2.498, -0.9705, -1.1422, -3.5953, 0.2773, 39.6536, 89.9342, 0
1745406944.936, 2.308, 2.497, -0.9705, -1.1425, -3.5954, 0.2742, 39.6716, 89.9562, 0
1745406945.016, 2.309, 2.497, -0.9705, -1.1422, -3.5953, 0.3374, 39.6721, 89.9020, 0
1745406945.096, 2.308, 2.504, -0.9699, -1.1423, -3.5961, 0.3518, 39.7050, 89.8978, 0
1745406945.175, 2.308, 2.504, -0.9661, -1.1423, -3.6006, 0.3464, 39.6982, 89.9447, 0
1745406945.255, 2.308, 2.497, -0.9583, -1.1422, -3.6103, 0.4348, 39.7066, 89.9186, 0
1745406945.335, 2.311, 2.507, -0.9473, -1.1421, -3.6237, 0.5048, 39.7118, 89.9005, 0
1745406945.414, 2.308, 2.522, -0.9351, -1.1418, -3.6379, 0.6243, 39.7937, 89.8671, 0
1745406945.494, 2.308, 2.545, -0.9241, -1.1422, -3.6516, 0.5762, 39.9044, 89.8524, 0
1745406945.573, 2.308, 2.545, -0.9138, -1.1415, -3.6634, 0.6063, 40.0748, 89.7696, 0
1745406945.653, 2.308, 2.567, -0.9057, -1.1416, -3.6730, 0.5862, 40.0985, 89.7624, 0
1745406945.733, 2.309, 2.587, -0.8980, -1.1419, -3.6814, 0.5322, 40.0680, 89.8012, 0
1745406945.812, 2.311, 2.599, -0.8909, -1.1413, -3.6897, 0.5776, 40.0620, 89.8185, 0
1745406945.892, 2.308, 2.610, -0.8835, -1.1415, -3.6984, 0.5926, 40.1565, 89.8807, 0
1745406945.971, 2.308, 2.610, -0.8749, -1.1416, -3.7084, 0.6347, 40.2160, 89.8180, 0
1745406946.051, 2.311, 2.625, -0.8663, -1.1415, -3.7184, 0.5637, 40.3360, 89.9214, 0
1745406946.131, 2.307, 2.638, -0.8585, -1.1412, -3.7273, 0.6338, 40.3971, 89.8745, 0
1745406946.210, 2.308, 2.658, -0.8522, -1.1412, -3.7345, 0.6506, 40.4260, 89.8566, 0
1745406946.290, 2.308, 2.676, -0.8474, -1.1413, -3.7401, 0.5439, 40.4466, 89.8705, 0
1745406946.370, 2.308, 2.676, -0.8440, -1.1412, -3.7437, 0.4776, 40.4838, 89.9569, 0
1745406946.449, 2.306, 2.685, -0.8402, -1.1409, -3.7477, 0.4991, 40.4279, 89.8712, 0
1745406946.529, 2.309, 2.692, -0.8369, -1.1410, -3.7515, 0.4600, 40.4321, 89.9118, 0
1745406946.609, 2.309, 2.693, -0.8355, -1.1411, -3.7534, 0.4546, 40.4015, 89.8978, 0
1745406946.688, 2.311, 2.700, -0.8352, -1.1412, -3.7536, 0.4527, 40.4157, 89.8833, 0
1745406946.768, 2.311, 2.700, -0.8350, -1.1412, -3.7538, 0.4815, 40.4208, 89.8658, 0
1745406946.848, 2.308, 2.709, -0.8349, -1.1413, -3.7537, 0.4978, 40.4230, 89.8604, 0
1745406946.927, 2.308, 2.703, -0.8350, -1.1413, -3.7539, 0.5209, 40.4253, 89.8404, 0
1745406947.007, 2.307, 2.702, -0.8349, -1.1414, -3.7539, 0.5364, 40.4276, 89.8359, 0
1745406947.087, 2.307, 2.708, -0.8349, -1.1413, -3.7539, 0.5409, 40.4402, 89.8415, 0
1745406947.166, 2.307, 2.708, -0.8349, -1.1413, -3.7539, 0.5562, 40.4531, 89.8334, 0
1745406947.246, 2.309, 2.704, -0.8348, -1.1414, -3.7540, 0.5584, 40.4628, 89.8355, 0
1745406947.326, 2.308, 2.704, -0.8348, -1.1415, -3.7541, 0.5386, 40.4597, 89.8444, 0
1745406947.405, 2.308, 2.708, -0.8346, -1.1415, -3.7541, 0.5466, 40.4572, 89.8329, 0
1745406947.485, 2.310, 2.703, -0.8345, -1.1416, -3.7542, 0.5603, 40.4567, 89.8305, 0
1745406947.564, 2.310, 2.703, -0.8347, -1.1417, -3.7542, 0.5004, 40.4484, 89.8667, 0
1745406947.644, 2.309, 2.709, -0.8346, -1.1415, -3.7541, 0.5202, 40.4412, 89.8565, 0
1745406947.724, 2.310, 2.708, -0.8346, -1.1415, -3.7540, 0.4971, 40.4368, 89.8647, 0
1745406947.803, 2.310, 2.708, -0.8346, -1.1416, -3.7542, 0.5052, 40.4398, 89.8630, 0
1745406947.883, 2.307, 2.702, -0.8347, -1.1415, -3.7541, 0.5213, 40.4480, 89.8520, 0
1745406947.963, 2.307, 2.702, -0.8346, -1.1418, -3.7543, 0.5057, 40.4529, 89.8544, 0
1745406948.042, 2.310, 2.704, -0.8345, -1.1416, -3.7543, 0.5123, 40.4468, 89.8561, 0
1745406948.122, 2.310, 2.705, -0.8346, -1.1418, -3.7545, 0.5021, 40.5043, 89.8931, 0
1745406948.202, 2.308, 2.705, -0.8336, -1.1418, -3.7554, 0.4711, 40.3878, 89.8948, 0
1745406948.281, 2.307, 2.703, -0.8316, -1.1416, -3.7574, 0.4791, 40.4150, 89.8931, 0
1745406948.361, 2.307, 2.703, -0.8292, -1.1415, -3.7603, 0.5086, 40.4505, 89.8858, 0
1745406948.440, 2.309, 2.706, -0.8270, -1.1415, -3.7629, 0.5506, 40.4095, 89.8734, 0
1745406948.520, 2.308, 2.708, -0.8253, -1.1416, -3.7646, 0.5607, 40.4006, 89.8684, 0
1745406948.600, 2.307, 2.721, -0.8254, -1.1416, -3.7646, 0.5764, 40.4217, 89.8630, 0
1745406948.679, 2.307, 2.721, -0.8253, -1.1417, -3.7647, 0.5645, 40.4139, 89.8553, 0
1745406948.759, 2.307, 2.718, -0.8251, -1.1418, -3.7648, 0.5611, 40.4155, 89.8484, 0
1745406948.839, 2.309, 2.723, -0.8251, -1.1417, -3.7649, 0.5594, 40.4121, 89.8541, 0
1745406948.918, 2.309, 2.721, -0.8251, -1.1418, -3.7649, 0.5608, 40.4104, 89.8571, 0
1745406948.998, 2.307, 2.721, -0.8250, -1.1418, -3.7649, 0.5585, 40.4074, 89.8601, 0
1745406949.078, 2.309, 2.721, -0.8249, -1.1419, -3.7651, 0.5640, 40.4053, 89.8597, 0
1745406949.157, 2.309, 2.723, -0.8239, -1.1419, -3.7665, 0.6254, 40.4269, 89.8749, 0
1745406949.237, 2.309, 2.722, -0.8204, -1.1419, -3.7705, 0.6485, 40.4159, 89.8407, 0
1745406949.316, 2.307, 2.725, -0.8154, -1.1421, -3.7766, 0.6157, 40.4416, 89.9063, 0
1745406949.396, 2.306, 2.729, -0.8090, -1.1412, -3.7840, 0.7324, 40.4974, 89.8549, 0
1745406949.476, 2.303, 2.729, -0.8036, -1.1420, -3.7912, 0.7834, 40.4874, 89.7858, 0
1745406949.556, 2.303, 2.734, -0.7982, -1.1417, -3.7971, 0.8086, 40.5063, 89.8221, 0
1745406949.635, 2.291, 2.745, -0.7937, -1.1413, -3.8022, 0.8132, 40.5608, 89.8362, 0
1745406949.715, 2.261, 2.760, -0.7895, -1.1413, -3.8071, 0.8819, 40.6004, 89.8246, 0
1745406949.795, 2.293, 2.766, -0.7851, -1.1411, -3.8119, 0.8343, 40.6710, 89.8615, 0
1745406949.874, 2.301, 2.766, -0.7808, -1.1408, -3.8170, 0.8576, 40.7388, 89.8688, 0
1745406949.954, 2.301, 2.779, -0.7762, -1.1409, -3.8217, 0.8347, 40.8010, 89.8918, 0
1745406950.034, 2.299, 2.780, -0.7717, -1.1412, -3.8273, 0.8794, 40.8619, 89.8734, 0
1745406950.113, 2.305, 2.789, -0.7667, -1.1412, -3.8331, 0.7570, 40.8594, 89.9482, 0
1745406950.193, 2.303, 2.803, -0.7613, -1.1413, -3.8391, 0.7452, 40.8369, 89.9853, 0
1745406950.272, 2.303, 2.803, -0.7558, -1.1409, -3.8449, 0.6725, 40.8264, 90.0533, 0
1745406950.352, 2.303, 2.814, -0.7511, -1.1407, -3.8500, 0.6939, 40.8007, 90.0825, 0
1745406950.432, 2.306, 2.818, -0.7468, -1.1407, -3.8550, 0.7322, 40.7999, 90.1065, 0
1745406950.511, 2.306, 2.833, -0.7427, -1.1403, -3.8601, 0.8555, 40.8497, 90.0836, 0
1745406950.591, 2.304, 2.835, -0.7384, -1.1404, -3.8652, 0.8014, 40.8837, 90.1391, 0
1745406950.671, 2.305, 2.835, -0.7329, -1.1404, -3.8709, 0.7135, 40.9138, 90.1853, 0
1745406950.750, 2.305, 2.849, -0.7278, -1.1404, -3.8765, 0.7007, 40.9906, 90.2008, 0
1745406950.830, 2.308, 2.854, -0.7235, -1.1402, -3.8817, 0.7864, 41.0238, 90.1917, 0
1745406950.910, 2.308, 2.867, -0.7190, -1.1400, -3.8868, 0.8248, 41.0649, 90.1652, 0
1745406950.989, 2.310, 2.877, -0.7146, -1.1399, -3.8918, 0.7869, 41.1141, 90.1979, 0
1745406951.069, 2.308, 2.877, -0.7101, -1.1401, -3.8964, 0.7395, 41.1326, 90.2195, 0
1745406951.148, 2.308, 2.885, -0.7057, -1.1400, -3.9014, 0.6867, 41.1157, 90.2151, 0
1745406951.228, 2.310, 2.892, -0.7008, -1.1399, -3.9069, 0.6936, 41.1115, 90.1907, 0
1745406951.308, 2.312, 2.895, -0.6956, -1.1400, -3.9126, 0.6934, 41.0745, 90.1586, 0
1745406951.387, 2.312, 2.908, -0.6906, -1.1398, -3.9182, 0.6974, 41.0630, 90.1812, 0
1745406951.467, 2.309, 2.908, -0.6857, -1.1396, -3.9240, 0.7380, 41.0317, 90.1221, 0
1745406951.547, 2.309, 2.914, -0.6812, -1.1398, -3.9295, 0.7549, 41.0404, 90.1662, 0
1745406951.626, 2.311, 2.929, -0.6764, -1.1393, -3.9348, 0.7927, 41.0225, 90.1345, 0
1745406951.706, 2.312, 2.930, -0.6721, -1.1395, -3.9403, 0.8788, 41.0565, 90.1169, 0
1745406951.786, 2.309, 2.939, -0.6679, -1.1389, -3.9453, 1.0068, 41.0749, 89.9960, 0
1745406951.865, 2.309, 2.939, -0.6633, -1.1393, -3.9508, 0.9993, 41.0955, 89.9763, 0
1745406951.945, 2.309, 2.952, -0.6586, -1.1390, -3.9560, 1.0547, 41.1542, 89.9777, 0
1745406952.025, 2.311, 2.953, -0.6537, -1.1388, -3.9617, 1.0912, 41.1926, 89.9512, 0
1745406952.104, 2.310, 2.961, -0.6485, -1.1386, -3.9675, 1.1017, 41.2652, 89.9528, 0
1745406952.184, 2.311, 2.971, -0.6430, -1.1387, -3.9734, 1.1071, 41.3221, 89.9583, 0
1745406952.263, 2.315, 2.971, -0.6380, -1.1386, -3.9791, 1.1128, 41.4195, 89.9837, 0
1745406952.463, 2.309, 2.995, -0.6251, -1.1385, -3.9934, 1.1164, 41.5487, 89.9360, 0
1745406952.542, 2.309, 3.002, -0.6201, -1.1385, -3.9989, 1.0853, 41.5682, 89.9583, 0
1745406952.622, 2.311, 3.018, -0.6150, -1.1382, -4.0045, 1.0673, 41.5516, 89.9811, 0
1745406952.702, 2.313, 3.031, -0.6100, -1.1383, -4.0100, 1.0422, 41.5347, 89.9795, 0
1745406952.781, 2.312, 3.037, -0.6051, -1.1382, -4.0156, 1.0708, 41.5861, 89.9947, 0
1745406952.861, 2.312, 3.037, -0.6002, -1.1378, -4.0212, 1.1461, 41.6445, 89.9683, 0
1745406952.940, 2.313, 3.049, -0.5947, -1.1378, -4.0271, 1.0435, 41.6794, 89.9993, 0
1745406953.020, 2.315, 3.052, -0.5890, -1.1380, -4.0331, 0.9484, 41.7439, 90.0746, 0
1745406953.100, 2.313, 3.070, -0.5839, -1.1375, -4.0387, 1.0112, 41.7507, 90.0574, 0
1745406953.179, 2.318, 3.072, -0.5793, -1.1375, -4.0442, 1.0455, 41.7597, 90.0336, 0
1745406953.259, 2.318, 3.072, -0.5745, -1.1377, -4.0494, 1.0120, 41.8096, 90.0126, 0
1745406953.339, 2.315, 3.079, -0.5695, -1.1374, -4.0543, 0.9354, 41.7948, 90.0327, 0
1745406953.420, 2.316, 3.094, -0.5646, -1.1373, -4.0597, 0.8679, 41.8067, 90.0257, 0
1745406953.498, 2.315, 3.098, -0.5594, -1.1374, -4.0654, 0.8851, 41.7502, 89.9917, 0
1745406953.578, 2.316, 3.112, -0.5543, -1.1373, -4.0709, 0.8325, 41.7032, 90.0289, 0
1745406953.657, 2.316, 3.112, -0.5488, -1.1368, -4.0769, 0.8564, 41.6409, 90.0590, 0
1745406953.737, 2.320, 3.116, -0.5451, -1.1368, -4.0812, 0.8731, 41.6270, 90.0206, 0
1745406953.817, 2.319, 3.132, -0.5438, -1.1369, -4.0826, 0.8799, 41.6217, 89.9796, 0
1745406953.896, 2.319, 3.140, -0.5442, -1.1369, -4.0824, 0.8552, 41.6182, 90.0121, 0
1745406953.976, 2.317, 3.136, -0.5440, -1.1368, -4.0823, 0.8447, 41.6151, 90.0038, 0
1745406954.056, 2.317, 3.136, -0.5441, -1.1368, -4.0823, 0.8475, 41.6234, 89.9993, 0
1745406954.135, 2.319, 3.142, -0.5441, -1.1370, -4.0825, 0.8293, 41.6244, 90.0104, 0
1745406954.215, 2.316, 3.136, -0.5440, -1.1370, -4.0824, 0.7945, 41.6158, 90.0361, 0
1745406954.295, 2.319, 3.136, -0.5439, -1.1369, -4.0824, 0.7905, 41.6158, 90.0513, 0
1745406954.374, 2.317, 3.136, -0.5440, -1.1369, -4.0824, 0.7880, 41.6178, 90.0610, 0
1745406954.454, 2.317, 3.142, -0.5450, -1.1368, -4.0813, 0.7854, 41.5883, 90.0340, 0
1745406954.533, 2.320, 3.134, -0.5482, -1.1371, -4.0779, 0.8127, 41.5862, 90.0444, 0
1745406954.613, 2.317, 3.140, -0.5529, -1.1370, -4.0725, 0.7780, 41.6551, 90.0484, 0
1745406954.693, 2.320, 3.133, -0.5590, -1.1372, -4.0660, 0.8234, 41.6400, 90.0162, 0
1745406954.772, 2.320, 3.133, -0.5650, -1.1377, -4.0592, 0.8084, 41.5881, 90.0795, 0
1745406954.852, 2.320, 3.118, -0.5711, -1.1375, -4.0527, 0.9002, 41.4230, 90.0595, 0
1745406954.932, 2.319, 3.111, -0.5761, -1.1376, -4.0473, 0.9912, 41.3523, 90.0096, 0
1745406955.011, 2.312, 3.094, -0.5800, -1.1376, -4.0430, 1.0044, 41.2533, 90.0069, 0
1745406955.091, 2.319, 3.085, -0.5836, -1.1377, -4.0388, 0.9934, 41.1557, 90.0320, 0
1745406955.171, 2.319, 3.085, -0.5875, -1.1378, -4.0344, 0.9725, 41.1066, 90.0245, 0
1745406955.250, 2.319, 3.078, -0.5919, -1.1380, -4.0295, 0.9792, 41.0527, 90.0107, 0
1745406955.330, 2.312, 3.077, -0.5967, -1.1380, -4.0242, 1.0324, 40.9614, 89.9811, 0
1745406955.409, 2.311, 3.063, -0.6012, -1.1380, -4.0194, 1.1226, 40.8463, 89.9455, 0
1745406955.489, 2.312, 3.059, -0.6055, -1.1383, -4.0142, 0.9883, 40.8482, 89.9751, 0
1745406955.569, 2.313, 3.059, -0.6102, -1.1383, -4.0087, 0.9714, 40.7198, 89.9744, 0
1745406955.648, 2.313, 3.052, -0.6151, -1.1383, -4.0032, 1.0399, 40.6160, 89.9237, 0
1745406955.728, 2.313, 3.044, -0.6195, -1.1385, -3.9981, 1.0730, 40.5543, 89.9145, 0
1745406955.808, 2.305, 3.028, -0.6236, -1.1385, -3.9934, 1.0645, 40.4841, 89.9374, 0
1745406955.887, 2.309, 3.021, -0.6279, -1.1385, -3.9889, 1.1081, 40.4457, 89.9153, 0
1745406955.967, 2.312, 3.021, -0.6321, -1.1387, -3.9837, 1.1041, 40.3841, 89.9466, 0
1745406956.047, 2.312, 3.021, -0.6366, -1.1388, -3.9783, 1.1190, 40.2335, 89.9550, 0
1745406956.126, 2.310, 3.002, -0.6411, -1.1391, -3.9731, 1.1171, 40.1427, 89.9815, 0
1745406956.206, 2.309, 2.994, -0.6459, -1.1390, -3.9674, 1.0904, 40.0324, 90.0154, 0
1745406956.286, 2.313, 2.989, -0.6504, -1.1391, -3.9620, 1.0952, 39.9829, 90.0164, 0
1745406956.365, 2.318, 2.989, -0.6547, -1.1393, -3.9568, 1.1049, 39.8949, 89.9858, 0
1745406956.445, 2.318, 2.978, -0.6591, -1.1397, -3.9519, 1.0898, 39.8625, 89.9621, 0
1745406956.524, 2.316, 2.972, -0.6636, -1.1398, -3.9465, 1.0833, 39.8019, 90.0007, 0
1745406956.604, 2.316, 2.966, -0.6678, -1.1398, -3.9413, 0.9940, 39.7458, 90.0597, 0
1745406956.684, 2.312, 2.951, -0.6721, -1.1397, -3.9358, 0.9328, 39.6788, 90.0910, 0
1745406956.763, 2.317, 2.951, -0.6762, -1.1400, -3.9308, 0.8860, 39.6738, 90.1222, 0
1745406956.843, 2.317, 2.948, -0.6805, -1.1403, -3.9259, 0.8264, 39.6774, 90.1553, 0
1745406956.923, 2.318, 2.939, -0.6845, -1.1403, -3.9207, 0.7345, 39.6702, 90.1984, 0
1745406957.002, 2.316, 2.932, -0.6886, -1.1403, -3.9157, 0.7114, 39.6825, 90.2025, 0
1745406957.082, 2.314, 2.924, -0.6928, -1.1404, -3.9107, 0.7166, 39.6986, 90.1842, 0
1745406957.162, 2.314, 2.924, -0.6973, -1.1405, -3.9057, 0.7558, 39.7415, 90.1760, 0
1745406957.241, 2.314, 2.915, -0.7017, -1.1408, -3.9006, 0.7201, 39.7338, 90.2219, 0
1745406957.321, 2.315, 2.908, -0.7064, -1.1411, -3.8952, 0.7740, 39.6866, 90.2390, 0
1745406957.401, 2.314, 2.894, -0.7113, -1.1409, -3.8895, 0.8505, 39.5657, 90.1995, 0
1745406957.480, 2.317, 2.891, -0.7162, -1.1413, -3.8840, 0.8225, 39.4857, 90.2467, 0
1745406957.560, 2.316, 2.891, -0.7203, -1.1412, -3.8785, 0.8198, 39.3782, 90.2420, 0
1745406957.640, 2.316, 2.877, -0.7248, -1.1412, -3.8731, 0.7336, 39.3193, 90.2909, 0
1745406957.719, 2.318, 2.866, -0.7290, -1.1416, -3.8680, 0.7347, 39.2720, 90.2525, 0
1745406957.799, 2.317, 2.859, -0.7332, -1.1416, -3.8631, 0.7398, 39.2490, 90.2460, 0
1745406957.878, 2.318, 2.852, -0.7371, -1.1412, -3.8586, 0.7882, 39.2205, 90.2158, 0
1745406957.958, 2.316, 2.852, -0.7409, -1.1413, -3.8537, 0.6445, 39.1173, 90.2452, 0
1745406958.038, 2.316, 2.849, -0.7454, -1.1415, -3.8482, 0.6020, 39.0705, 90.2164, 0
1745406958.117, 2.310, 2.842, -0.7500, -1.1416, -3.8425, 0.6566, 38.9640, 90.1409, 0
1745406958.197, 2.298, 2.834, -0.7547, -1.1417, -3.8373, 0.6713, 38.9415, 90.1084, 0
1745406958.277, 2.269, 2.824, -0.7590, -1.1416, -3.8318, 0.6899, 38.9380, 90.0796, 0
1745406958.356, 2.278, 2.824, -0.7631, -1.1417, -3.8272, 0.7882, 38.9007, 89.9879, 0
1745406958.436, 2.278, 2.809, -0.7673, -1.1418, -3.8220, 0.8711, 38.8092, 89.9248, 0
1745406958.516, 2.292, 2.807, -0.7715, -1.1419, -3.8170, 0.8570, 38.7467, 89.9279, 0
1745406958.595, 2.305, 2.799, -0.7758, -1.1418, -3.8117, 0.8680, 38.6695, 89.9413, 0
1745406958.675, 2.314, 2.791, -0.7802, -1.1421, -3.8061, 0.8668, 38.6547, 89.9274, 0
1745406958.755, 2.320, 2.791, -0.7858, -1.1425, -3.7998, 0.8954, 38.5708, 89.9089, 0
1745406958.834, 2.320, 2.777, -0.7912, -1.1424, -3.7925, 0.8934, 38.5444, 89.8813, 0
1745406958.914, 2.319, 2.768, -0.7978, -1.1424, -3.7847, 0.8892, 38.4768, 89.8435, 0
1745406958.994, 2.319, 2.758, -0.8042, -1.1423, -3.7764, 0.7288, 38.4010, 89.9751, 0
1745406959.073, 2.321, 2.745, -0.8107, -1.1428, -3.7686, 0.5904, 38.3919, 89.9910, 0
1745406959.153, 2.317, 2.745, -0.8163, -1.1434, -3.7616, 0.5027, 38.4420, 90.0277, 0
1745406959.232, 2.317, 2.739, -0.8216, -1.1429, -3.7544, 0.4745, 38.4224, 90.0266, 0
1745406959.312, 2.320, 2.722, -0.8270, -1.1425, -3.7477, 0.4583, 38.4356, 90.0187, 0
1745406959.392, 2.321, 2.709, -0.8327, -1.1424, -3.7412, 0.4231, 38.4962, 90.0934, 0
1745406959.471, 2.321, 2.705, -0.8379, -1.1423, -3.7346, 0.5278, 38.4378, 90.0176, 0
1745406959.551, 2.319, 2.705, -0.8436, -1.1427, -3.7281, 0.6888, 38.3485, 89.9429, 0
1745406959.631, 2.319, 2.692, -0.8491, -1.1427, -3.7212, 0.6997, 38.2176, 89.9401, 0
1745406959.710, 2.319, 2.677, -0.8544, -1.1428, -3.7143, 0.6906, 38.0881, 89.8773, 0
1745406959.790, 2.323, 2.666, -0.8602, -1.1429, -3.7069, 0.7101, 38.0280, 89.8520, 0
1745406959.870, 2.322, 2.666, -0.8661, -1.1432, -3.7001, 0.8016, 37.9570, 89.8178, 0
1745406959.949, 2.322, 2.658, -0.8715, -1.1432, -3.6932, 0.7372, 37.8470, 89.7991, 0
1745406960.029, 2.322, 2.644, -0.8771, -1.1433, -3.6861, 0.6212, 37.7669, 89.8372, 0
1745406960.109, 2.323, 2.639, -0.8827, -1.1434, -3.6788, 0.6472, 37.6962, 89.8299, 0
1745406960.188, 2.321, 2.623, -0.8882, -1.1435, -3.6719, 0.6495, 37.6075, 89.8001, 0
1745406960.268, 2.322, 2.623, -0.8936, -1.1434, -3.6651, 0.6949, 37.5934, 89.7660, 0
1745406960.348, 2.322, 2.612, -0.8993, -1.1436, -3.6584, 0.7679, 37.5471, 89.7018, 0
1745406960.427, 2.322, 2.607, -0.9049, -1.1435, -3.6509, 0.7285, 37.4817, 89.7889, 0
1745406960.507, 2.323, 2.592, -0.9109, -1.1434, -3.6429, 0.6441, 37.4071, 89.8860, 0
1745406960.586, 2.327, 2.578, -0.9174, -1.1440, -3.6351, 0.6369, 37.3714, 89.9078, 0
1745406960.666, 2.323, 2.578, -0.9235, -1.1437, -3.6270, 0.7042, 37.3011, 89.8181, 0
1745406960.746, 2.323, 2.571, -0.9299, -1.1441, -3.6189, 0.6190, 37.2452, 89.9073, 0
1745406960.825, 2.332, 2.555, -0.9362, -1.1441, -3.6100, 0.4681, 37.1976, 90.0101, 0
1745406960.905, 2.324, 2.543, -0.9427, -1.1436, -3.6013, 0.3872, 37.1909, 90.0425, 0
1745406960.985, 2.331, 2.534, -0.9492, -1.1433, -3.5931, 0.3933, 37.1660, 89.9484, 0
1745406961.064, 2.332, 2.534, -0.9559, -1.1435, -3.5844, 0.3603, 37.2339, 89.9489, 0
1745406961.144, 2.332, 2.523, -0.9629, -1.1439, -3.5757, 0.4673, 37.2443, 89.8784, 0
1745406961.224, 2.328, 2.504, -0.9709, -1.1443, -3.5665, 0.6445, 37.1599, 89.7596, 0
1745406961.303, 2.334, 2.493, -0.9789, -1.1443, -3.5563, 0.5947, 36.9827, 89.8187, 0
1745406961.383, 2.335, 2.477, -0.9865, -1.1439, -3.5455, 0.5603, 36.8931, 89.8681, 0
1745406961.463, 2.336, 2.477, -0.9943, -1.1439, -3.5356, 0.6249, 36.7471, 89.8031, 0
1745406961.542, 2.336, 2.460, -1.0016, -1.1440, -3.5258, 0.5162, 36.6176, 89.8195, 0
1745406961.622, 2.338, 2.441, -1.0091, -1.1444, -3.5163, 0.5167, 36.4654, 89.8352, 0
1745406961.701, 2.338, 2.433, -1.0159, -1.1439, -3.5067, 0.4002, 36.4696, 89.8927, 0
1745406961.781, 2.334, 2.419, -1.0229, -1.1441, -3.4974, 0.5339, 36.4445, 89.7830, 0
