Timestamp,X,Y,Z,Roll,Yaw,Pitch,DesiredAngle
1741592108.674,1.4506,-1.1209,-4.6506,179.9209,152.5457,-89.9629,0.00
1741592129.570,1.4490,-1.1189,-4.6441,0.1052,60.8524,90.7680,-90.00
1741592147.106,1.4473,-1.1176,-4.6399,0.9463,-29.3038,90.3114,-180.00
1741592172.370,1.4391,-1.1163,-4.6396,1.1116,-27.8732,90.2799,180.00
1741592187.874,1.4386,-1.1163,-4.6400,178.8235,-118.6201,-92.2497,90.00
1741592247.777,1.9448,-1.1011,-3.8052,-179.1596,-179.0649,-89.7517,30.00
1741592268.513,1.8485,-1.1042,-3.8877,179.7002,121.2770,-88.7436,-30.00
1741592289.873,1.8553,-1.1016,-3.8078,2.0676,30.6492,88.8728,-120.00
1741592314.264,1.9785,-1.0978,-3.6311,0.6405,-86.7208,89.7994,120.00
1741592350.073,2.3660,-1.0900,-2.7217,-179.8594,152.6688,-89.3552,0.00
1741592373.120,2.3907,-1.0881,-2.7734,172.0244,93.8784,-81.1072,-30.00
1741592409.248,1.4597,-1.0903,-1.1428,-179.9835,-178.0883,-89.0195,-30.00
1741592490.431,0.9623,-1.0958,-1.0178,179.5712,150.9588,-89.0795,0.00
