Timestamp,Event_Type,Event_Data
2025-04-01 18:53:04,carla_connected,"{""client_version"": ""0.9.15-168-g20a4a4618"", ""server_version"": ""0.9.15-168-g20a4a4618-dirty"", ""map"": ""fsm_lab_map_package/Maps/fsm_lab_sandbox_right_hand_driving_scene/fsm_lab_sandbox_right_hand_driving_scene""}"
2025-04-01 18:56:09,script_start,"{""script"": ""carla_npc_manager.py"", ""args"": {""host"": ""127.0.0.1"", ""port"": 2000, ""tm_port"": 8000, ""alt_tm_port"": 8100, ""seed"": 1743504969, ""asynch"": false, ""num_vehicles"": 5, ""safe_mode"": true, ""batch_spawn"": false}}"
2025-04-01 18:56:09,environment_info,"{""carla_version"": ""0.9.15-168-g20a4a4618"", ""map"": ""fsm_lab_map_package/Maps/fsm_lab_sandbox_right_hand_driving_scene/fsm_lab_sandbox_right_hand_driving_scene"", ""synchronous_mode"": false, ""fixed_delta_seconds"": 0.05}"
2025-04-01 18:56:10,settings_update,"{""synchronous_mode"": true, ""new_setting"": true, ""delta_seconds"": 0.05}"
2025-04-01 18:56:10,spawn_begin,"{""num_vehicles"": 5}"
2025-04-01 18:56:10,vehicle_spawned,"{""id"": 252, ""type"": ""vehicle.dodge.charger_police_2020"", ""location"": {""x"": -47.86100387573242, ""y"": 44.028594970703125, ""z"": 4.0}}"
2025-04-01 18:56:10,target_set,"{""vehicle_id"": 252, ""target"": {""x"": 35.155094146728516, ""y"": 60.053001403808594, ""z"": 4.0}}"
2025-04-01 18:56:10,vehicle_spawned,"{""id"": 253, ""type"": ""vehicle.volkswagen.t2"", ""location"": {""x"": 15.094819068908691, ""y"": 55.747230529785156, ""z"": 4.0}}"
2025-04-01 18:56:10,target_set,"{""vehicle_id"": 253, ""target"": {""x"": -41.77729415893555, ""y"": -0.8878491520881653, ""z"": 4.0}}"
2025-04-01 18:56:10,vehicle_spawned,"{""id"": 254, ""type"": ""vehicle.harley-davidson.low_rider"", ""location"": {""x"": -21.601512908935547, ""y"": 59.74653244018555, ""z"": 4.0}}"
2025-04-01 18:56:10,target_set,"{""vehicle_id"": 254, ""target"": {""x"": 15.87005615234375, ""y"": 44.50049591064453, ""z"": 4.0}}"
2025-04-01 18:56:10,vehicle_spawned,"{""id"": 255, ""type"": ""vehicle.carlamotors.european_hgv"", ""location"": {""x"": 32.2803955078125, ""y"": 56.46450424194336, ""z"": 4.0}}"
2025-04-01 18:56:11,target_set,"{""vehicle_id"": 255, ""target"": {""x"": -18.08839988708496, ""y"": -8.777594566345215, ""z"": 4.15240478515625}}"
