CARLA Vehicle Models Log
===================================
ID: vehicle.audi.a2 | Path: vehicle.audi.a2 | Dimensions: L:8.34m, W:4.02m, H:3.49m | tag:['a2', 'audi', 'vehicle']
ID: vehicle.citroen.c3 | Path: vehicle.citroen.c3 | Dimensions: L:3.99m, W:1.85m, H:1.62m | tag:['c3', 'citroen', 'vehicle']
ID: vehicle.chevrolet.impala | Path: vehicle.chevrolet.impala | Dimensions: L:5.36m, W:2.03m, H:1.41m | tag:['impala', 'chevrolet', 'vehicle']
ID: vehicle.dodge.charger_police_2020 | Path: vehicle.dodge.charger_police_2020 | Dimensions: L:5.24m, W:1.93m, H:1.64m | tag:['charger_police_2020', 'dodge', 'vehicle']
ID: vehicle.micro.microlino | Path: vehicle.micro.microlino | Dimensions: L:2.21m, W:1.48m, H:1.38m | tag:['microlino', 'micro', 'vehicle']
ID: vehicle.dodge.charger_police | Path: vehicle.dodge.charger_police | Dimensions: L:4.97m, W:2.04m, H:1.54m | tag:['charger_police', 'dodge', 'vehicle']
ID: vehicle.audi.tt | Path: vehicle.audi.tt | Dimensions: L:4.18m, W:1.99m, H:1.39m | tag:['tt', 'audi', 'vehicle']
ID: vehicle.jeep.wrangler_rubicon | Path: vehicle.jeep.wrangler_rubicon | Dimensions: L:3.87m, W:1.91m, H:1.88m | tag:['wrangler_rubicon', 'jeep', 'vehicle']
ID: vehicle.mercedes.coupe | Path: vehicle.mercedes.coupe | Dimensions: L:5.03m, W:2.15m, H:1.65m | tag:['coupe', 'mercedes', 'vehicle']
ID: vehicle.yamaha.yzf | Path: vehicle.yamaha.yzf | Dimensions: L:2.19m, W:0.87m, H:1.53m | tag:['yzf', 'yamaha', 'vehicle']
ID: vehicle.mercedes.coupe_2020 | Path: vehicle.mercedes.coupe_2020 | Dimensions: L:4.67m, W:1.81m, H:1.44m | tag:['coupe_2020', 'mercedes', 'vehicle']
ID: vehicle.harley-davidson.low_rider | Path: vehicle.harley-davidson.low_rider | Dimensions: L:2.35m, W:0.77m, H:1.65m | tag:['low_rider', 'harley-davidson', 'vehicle']
ID: vehicle.dodge.charger_2020 | Path: vehicle.dodge.charger_2020 | Dimensions: L:5.01m, W:1.88m, H:1.53m | tag:['charger_2020', 'dodge', 'vehicle']
ID: vehicle.ford.ambulance | Path: vehicle.ford.ambulance | Dimensions: L:6.37m, W:2.35m, H:2.43m | tag:['ambulance', 'ford', 'vehicle']
ID: vehicle.lincoln.mkz_2020 | Path: vehicle.lincoln.mkz_2020 | Dimensions: L:4.89m, W:1.84m, H:1.49m | tag:['mkz_2020', 'lincoln', 'vehicle']
ID: vehicle.mini.cooper_s_2021 | Path: vehicle.mini.cooper_s_2021 | Dimensions: L:4.55m, W:2.10m, H:1.77m | tag:['mini', 'cooper_s_2021', 'vehicle']
ID: vehicle.ford.crown | Path: vehicle.ford.crown | Dimensions: L:5.37m, W:1.80m, H:1.57m | tag:['crown', 'ford', 'vehicle']
ID: vehicle.toyota.prius | Path: vehicle.toyota.prius | Dimensions: L:4.51m, W:2.01m, H:1.52m | tag:['prius', 'toyota', 'vehicle']
ID: vehicle.carlamotors.european_hgv | Path: vehicle.carlamotors.european_hgv | Dimensions: L:7.94m, W:2.89m, H:3.46m | tag:['european_hgv', 'carlamotors', 'vehicle']
ID: vehicle.carlamotors.carlacola | Path: vehicle.carlamotors.carlacola | Dimensions: L:5.20m, W:2.63m, H:2.47m | tag:['carlacola', 'carlamotors', 'vehicle']
ID: vehicle.vespa.zx125 | Path: vehicle.vespa.zx125 | Dimensions: L:1.82m, W:0.87m, H:1.59m | tag:['zx125', 'vespa', 'vehicle']
ID: vehicle.nissan.patrol_2021 | Path: vehicle.nissan.patrol_2021 | Dimensions: L:5.57m, W:2.15m, H:2.05m | tag:['nissan', 'patrol_2021', 'vehicle']
ID: vehicle.mercedes.sprinter | Path: vehicle.mercedes.sprinter | Dimensions: L:5.92m, W:1.99m, H:2.56m | tag:['sprinter', 'mercedes', 'vehicle']
ID: vehicle.audi.etron | Path: vehicle.audi.etron | Dimensions: L:10.93m, W:4.57m, H:3.71m | tag:['etron', 'audi', 'vehicle']
ID: vehicle.seat.leon | Path: vehicle.seat.leon | Dimensions: L:4.19m, W:1.82m, H:1.47m | tag:['leon', 'seat', 'vehicle']
ID: vehicle.volkswagen.t2_2021 | Path: vehicle.volkswagen.t2_2021 | Dimensions: L:4.44m, W:1.77m, H:1.99m | tag:['t2_2021', 'volkswagen', 'vehicle']
ID: vehicle.tesla.cybertruck | Path: vehicle.tesla.cybertruck | Dimensions: L:6.27m, W:2.39m, H:2.10m | tag:['cybertruck', 'tesla', 'vehicle']
ID: vehicle.lincoln.mkz_2017 | Path: vehicle.lincoln.mkz_2017 | Dimensions: L:4.90m, W:2.13m, H:1.51m | tag:['mkz_2017', 'lincoln', 'vehicle']
ID: vehicle.carlamotors.firetruck | Path: vehicle.carlamotors.firetruck | Dimensions: L:8.47m, W:2.89m, H:3.83m | tag:['carlamotors', 'firetruck', 'vehicle']
ID: vehicle.ford.mustang | Path: vehicle.ford.mustang | Dimensions: L:4.72m, W:1.89m, H:1.30m | tag:['mustang', 'ford', 'vehicle']
ID: vehicle.volkswagen.t2 | Path: vehicle.volkswagen.t2 | Dimensions: L:4.48m, W:2.07m, H:2.04m | tag:['volkswagen', 't2', 'vehicle']
ID: vehicle.mitsubishi.fusorosa | Path: vehicle.mitsubishi.fusorosa | Dimensions: L:10.27m, W:3.94m, H:4.25m | tag:['fusorosa', 'mitsubishi', 'vehicle']
ID: vehicle.tesla.model3 | Path: vehicle.tesla.model3 | Dimensions: L:4.79m, W:2.16m, H:1.49m | tag:['tesla', 'model3', 'vehicle']
ID: vehicle.diamondback.century | Path: vehicle.diamondback.century | Dimensions: L:1.66m, W:0.58m, H:1.62m | tag:['century', 'diamondback', 'vehicle']
ID: vehicle.gazelle.omafiets | Path: vehicle.gazelle.omafiets | Dimensions: L:1.84m, W:0.66m, H:1.78m | tag:['omafiets', 'gazelle', 'vehicle']
ID: vehicle.bmw.grandtourer | Path: vehicle.bmw.grandtourer | Dimensions: L:4.61m, W:2.24m, H:1.67m | tag:['grandtourer', 'bmw', 'vehicle']
ID: vehicle.bh.crossbike | Path: vehicle.bh.crossbike | Dimensions: L:1.51m, W:0.87m, H:1.61m | tag:['crossbike', 'bh', 'vehicle']
ID: vehicle.kawasaki.ninja | Path: vehicle.kawasaki.ninja | Dimensions: L:2.04m, W:0.80m, H:1.52m | tag:['ninja', 'kawasaki', 'vehicle']
ID: vehicle.nissan.patrol | Path: vehicle.nissan.patrol | Dimensions: L:4.60m, W:1.93m, H:1.85m | tag:['patrol', 'nissan', 'vehicle']
ID: vehicle.nissan.micra | Path: vehicle.nissan.micra | Dimensions: L:3.63m, W:1.85m, H:1.50m | tag:['micra', 'nissan', 'vehicle']
ID: vehicle.mini.cooper_s | Path: vehicle.mini.cooper_s | Dimensions: L:3.81m, W:1.97m, H:1.48m | tag:['cooper_s', 'mini', 'vehicle']
