Timestamp, Distance_2, Distance_3, X, Y, Z, Roll, Yaw, Pitch
1741334467.840, 2.032, 3.846, 0.6449, -0.8737, -5.0415, -0.4487, 55.6427, 92.2278
1741334467.919, 2.033, 3.847, 0.6448, -0.8738, -5.0415, -0.4490, 55.6432, 92.2200
1741334467.999, 2.033, 3.846, 0.6449, -0.8738, -5.0415, -0.4426, 55.6447, 92.2180
1741334468.078, 2.034, 3.843, 0.6449, -0.8738, -5.0414, -0.4476, 55.6414, 92.2150
1741334468.158, 2.034, 3.843, 0.6449, -0.8738, -5.0415, -0.4577, 55.6495, 92.2248
1741334468.238, 2.033, 3.844, 0.6448, -0.8737, -5.0415, -0.4561, 55.6439, 92.2310
1741334468.317, 2.033, 3.842, 0.6448, -0.8738, -5.0416, -0.4697, 55.6515, 92.2399
1741334468.397, 2.034, 3.845, 0.6449, -0.8737, -5.0416, -0.4749, 55.6426, 92.2439
1741334468.477, 2.034, 3.847, 0.6448, -0.8738, -5.0415, -0.4793, 55.6534, 92.2532
1741334468.557, 2.034, 3.847, 0.6448, -0.8737, -5.0416, -0.4812, 55.6477, 92.2502
1741334468.636, 2.033, 3.845, 0.6449, -0.8739, -5.0415, -0.4802, 55.6675, 92.2621
1741334468.716, 2.033, 3.843, 0.6449, -0.8738, -5.0416, -0.4933, 55.6598, 92.2677
1741334468.795, 2.034, 3.846, 0.6449, -0.8739, -5.0416, -0.4930, 55.6609, 92.2676
1741334468.875, 2.033, 3.844, 0.6449, -0.8738, -5.0415, -0.4889, 55.6549, 92.2550
1741334468.955, 2.033, 3.844, 0.6449, -0.8737, -5.0416, -0.4725, 55.6559, 92.2520
1741334469.034, 2.033, 3.845, 0.6448, -0.8739, -5.0416, -0.4899, 55.6568, 92.2663
1741334469.114, 2.034, 3.843, 0.6448, -0.8739, -5.0416, -0.5027, 55.6468, 92.2785
1741334469.193, 2.033, 3.844, 0.6449, -0.8738, -5.0416, -0.4834, 55.6318, 92.2426
1741334469.273, 2.033, 3.845, 0.6449, -0.8738, -5.0416, -0.4755, 55.6419, 92.2456
1741334469.353, 2.033, 3.845, 0.6449, -0.8738, -5.0416, -0.4553, 55.6383, 92.2363
1741334469.432, 2.033, 3.845, 0.6449, -0.8739, -5.0416, -0.4636, 55.6395, 92.2327
1741334469.512, 2.032, 3.846, 0.6448, -0.8739, -5.0416, -0.4699, 55.6370, 92.2442
1741334469.592, 2.033, 3.846, 0.6449, -0.8739, -5.0416, -0.4859, 55.6506, 92.2388
1741334469.671, 2.034, 3.847, 0.6448, -0.8738, -5.0416, -0.4879, 55.6527, 92.2378
1741334469.751, 2.034, 3.847, 0.6449, -0.8739, -5.0416, -0.4746, 55.6527, 92.2369
1741334469.831, 2.033, 3.846, 0.6448, -0.8739, -5.0416, -0.4608, 55.6547, 92.2290
1741334469.910, 2.033, 3.845, 0.6448, -0.8739, -5.0416, -0.4726, 55.6524, 92.2332
1741334469.990, 2.034, 3.845, 0.6429, -0.8739, -5.0402, -0.5262, 55.7075, 92.3295
1741334470.070, 2.035, 3.847, 0.6366, -0.8739, -5.0359, -0.5730, 55.6935, 92.2493
1741334470.149, 2.035, 3.847, 0.6269, -0.8746, -5.0295, -0.5148, 55.5159, 92.1993
1741334470.229, 2.032, 3.839, 0.6157, -0.8751, -5.0217, -0.3986, 55.5122, 92.1378
1741334470.309, 2.033, 3.824, 0.6051, -0.8751, -5.0144, -0.3583, 55.4895, 92.1312
1741334470.388, 2.031, 3.811, 0.5958, -0.8753, -5.0081, -0.2472, 55.4065, 92.0700
1741334470.468, 2.033, 3.795, 0.5876, -0.8755, -5.0023, -0.2107, 55.2549, 92.0573
1741334470.547, 2.033, 3.795, 0.5801, -0.8760, -4.9971, -0.2273, 55.2174, 92.1184
1741334470.627, 2.034, 3.779, 0.5726, -0.8761, -4.9918, -0.2700, 55.1350, 92.1641
1741334470.707, 2.036, 3.770, 0.5644, -0.8765, -4.9856, -0.3823, 55.0483, 92.2774
1741334470.786, 2.037, 3.756, 0.5546, -0.8764, -4.9791, -0.3113, 55.0417, 92.1869
1741334470.866, 2.038, 3.744, 0.5441, -0.8773, -4.9717, -0.3425, 54.9997, 92.1516
1741334470.946, 2.038, 3.744, 0.5339, -0.8777, -4.9643, -0.3691, 54.9275, 92.1521
1741334471.025, 2.037, 3.727, 0.5239, -0.8782, -4.9569, -0.4622, 54.9194, 92.2365
1741334471.344, 2.040, 3.681, 0.4884, -0.8800, -4.9314, -0.3387, 54.4638, 92.2347
1741334471.543, 2.041, 3.657, 0.4657, -0.8796, -4.9150, -0.5233, 54.1991, 92.2697
1741334471.742, 2.044, 3.626, 0.4431, -0.8806, -4.8986, -0.3362, 53.8184, 92.0707
1741334473.755, 2.057, 3.351, 0.2143, -0.8886, -4.7342, -0.3895, 55.7487, 92.3266
1741334473.833, 2.057, 3.335, 0.2058, -0.8891, -4.7285, -0.4378, 55.7792, 92.3403
1741334473.912, 2.057, 3.318, 0.1979, -0.8894, -4.7230, -0.4328, 55.7983, 92.3019
1741334473.992, 2.057, 3.302, 0.1906, -0.8897, -4.7180, -0.5028, 55.7746, 92.2972
1741334474.072, 2.058, 3.294, 0.1831, -0.8896, -4.7127, -0.5280, 55.7937, 92.2482
1741334474.152, 2.058, 3.294, 0.1749, -0.8902, -4.7073, -0.5267, 55.7706, 92.2719
1741334474.231, 2.057, 3.279, 0.1665, -0.8903, -4.7015, -0.4032, 55.6554, 92.2111
1741334474.311, 2.058, 3.266, 0.1573, -0.8904, -4.6955, -0.2971, 55.4722, 92.0931
